col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,,All
,Vincent Furlong,Brian Mclaughlin,Mark B Cohen,Vikki Kristiansson,Stella Tsai,Deborah Cianfrani,Zac Shaffer,Jennifer Schultz,Daniel R Sulman,Lawrence J Bozzelli,Rania Major,John Macoretta,Wendi Barish,Vincent Melchiorre,Deborah Canty,David Conroy,Leon Goodman,Shanese Johnson,Henry Mcgregor Sias,Lucretia C Clemons,Crystal B Powell,Leonard Deutchman,Terri M Booker,Mark J Moore,Bill Rice,Jon Marshall,Danyl S Patterson,Dawn M Tancredi,Betsy Wahl,Matthew C Monroe,Christian Dicicco,Marissa Brumbach,Matt Wolf,George Twardy,Jon Marshall,Sherman Toppin,Bill Rice,Betsy Wahl,Christian Dicicco,Crystal B Powell,All
Vincent Furlong,77,624,413,474,306,376,320,213,280,357,321,352,198,331,195,222,181,166,183,112,68,89,68,55,68,52,33,1,0,0,0,604,477,334,119,68,85,0,0,0,All
Brian Mclaughlin,,24,340,423,272,337,247,183,225,351,298,330,155,289,163,181,144,150,183,84,43,74,55,63,67,59,30,0,0,0,0,500,402,295,115,50,67,0,0,0,All
Mark B Cohen,,,35,277,238,302,255,258,205,190,200,169,226,157,210,116,202,138,110,67,88,73,71,43,66,49,35,0,0,0,0,411,411,144,91,99,75,0,0,0,All
Vikki Kristiansson,,,,5,425,333,293,268,257,311,346,305,236,219,262,169,138,163,191,174,99,71,73,50,28,35,23,0,0,0,0,600,344,264,83,74,42,0,0,0,All
Stella Tsai,,,,,8,334,160,248,153,210,253,188,219,120,234,115,123,169,185,153,97,61,76,45,22,44,20,1,0,0,0,452,337,150,76,76,40,0,0,0,All
Deborah Cianfrani,,,,,,2,122,243,101,227,264,212,198,128,218,79,101,166,161,73,90,47,87,33,39,30,15,0,0,0,0,415,372,132,81,63,48,0,0,0,All
Zac Shaffer,,,,,,,6,188,274,175,178,174,178,227,144,153,171,47,67,96,49,71,36,42,39,41,28,2,0,0,0,353,208,176,81,81,40,0,0,0,All
Jennifer Schultz,,,,,,,,4,162,95,141,79,265,80,270,103,143,99,62,122,100,90,98,56,43,53,24,1,0,0,0,352,250,90,84,83,52,0,0,0,All
