col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,division
,Judge Of The Superior Court - Democrat,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Maria Mclaughlin,Carolyn H Nichols,Geoff Moulton,Debbie Kunselman,Bill Caye,Stella Tsai,Deborah Cianfrani,Vikki Kristiansson,Vincent Furlong,Rania Major,Brian Mclaughlin,Zac Shaffer,Lawrence J Bozzelli,Mark B Cohen,Henry Mcgregor Sias,John Macoretta,Daniel R Sulman,Jennifer Schultz,Lucretia C Clemons,Vincent Melchiorre,Deborah Canty,Shanese Johnson,Leon Goodman,Wendi Barish,David Conroy,Leonard Deutchman,Jon Marshall,Crystal B Powell,Terri M Booker,Danyl S Patterson,Mark J Moore,Bill Rice,Christian Dicicco,Matthew C Monroe,Betsy Wahl,Dawn M Tancredi,All
Maria Mclaughlin,7,205,168,108,70,176,163,156,129,123,110,85,87,85,77,79,79,77,72,69,68,73,56,56,53,38,40,35,24,23,19,17,0,1,0,0,All
Carolyn H Nichols,,9,135,104,74,161,141,125,109,127,111,57,96,83,81,85,48,73,49,36,66,69,57,57,25,32,23,36,25,22,19,18,0,1,0,0,All
Geoff Moulton,,,3,75,45,132,123,124,104,87,71,78,63,52,64,62,59,48,51,58,39,38,32,31,45,29,35,23,15,15,14,8,1,1,0,0,All
Debbie Kunselman,,,,0,51,73,71,61,49,59,48,34,40,43,34,35,32,58,26,30,48,31,33,47,18,32,17,20,18,11,12,7,0,1,0,0,All
Bill Caye,,,,,2,43,40,31,28,38,37,28,32,36,17,23,29,30,18,28,28,22,33,25,14,23,13,18,14,12,11,11,0,0,0,0,All
Stella Tsai,,,,,,2,136,154,119,113,79,77,79,44,84,68,60,41,54,53,39,48,31,37,39,33,21,14,12,10,6,8,0,1,0,0,All
Deborah Cianfrani,,,,,,,6,128,101,90,82,58,73,44,63,67,61,46,49,63,31,40,20,37,41,14,24,12,12,7,10,7,0,1,0,0,All
Vikki Kristiansson,,,,,,,,3,115,97,68,77,62,35,73,60,56,31,52,50,35,38,24,34,42,27,27,21,11,12,2,6,1,1,0,0,All
Vincent Furlong,,,,,,,,,0,84,70,58,61,33,72,60,41,17,36,42,21,32,28,14,34,30,13,11,6,7,6,8,0,0,0,0,All
Rania Major,,,,,,,,,,1,71,40,64,49,76,61,25,40,16,17,32,46,24,30,10,34,13,15,10,7,8,7,0,1,0,0,All
Brian Mclaughlin,,,,,,,,,,,2,22,70,42,63,68,19,26,13,20,21,30,21,17,10,17,11,6,9,9,9,13,0,0,0,0,All
Zac Shaffer,,,,,,,,,,,,1,14,26,32,13,53,25,41,60,30,12,30,22,43,37,22,11,7,13,5,8,0,0,0,0,All
Lawrence J Bozzelli,,,,,,,,,,,,,1,31,60,66,16,20,10,14,16,29,22,22,7,12,8,4,1,5,3,6,0,0,0,0,All
Mark B Cohen,,,,,,,,,,,,,,4,24,32,16,32,10,15,31,32,20,14,9,14,8,16,9,9,11,6,0,0,0,0,All
Henry Mcgregor Sias,,,,,,,,,,,,,,,1,57,14,16,9,6,14,21,15,11,3,28,3,4,1,2,5,1,0,1,0,0,All
John Macoretta,,,,,,,,,,,,,,,,3,13,12,4,11,11,28,13,10,4,13,9,3,3,1,5,6,0,1,0,0,All
Daniel R Sulman,,,,,,,,,,,,,,,,,1,18,40,55,21,9,20,16,36,14,21,6,3,7,5,6,0,1,0,0,All
Jennifer Schultz,,,,,,,,,,,,,,,,,,1,23,14,46,23,23,40,10,20,13,17,16,7,15,10,0,0,0,0,All
Lucretia C Clemons,,,,,,,,,,,,,,,,,,,1,35,19,17,24,20,40,7,17,21,11,12,13,8,1,0,0,0,All
Vincent Melchiorre,,,,,,,,,,,,,,,,,,,,0,16,9,13,15,39,12,17,5,2,6,2,6,0,0,0,0,All
Deborah Canty,,,,,,,,,,,,,,,,,,,,,1,25,25,39,10,21,11,21,14,5,8,8,1,0,0,0,All
Shanese Johnson,,,,,,,,,,,,,,,,,,,,,,0,16,23,4,8,8,14,7,4,5,6,0,0,0,0,All
Leon Goodman,,,,,,,,,,,,,,,,,,,,,,,0,25,12,17,13,18,9,11,9,9,0,1,0,0,All
