col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Vikki Kristiansson,Stella Tsai,Deborah Cianfrani,Shanese Johnson,Rania Major,Vincent Furlong,Deborah Canty,Lawrence J Bozzelli,Leon Goodman,Henry Mcgregor Sias,Jennifer Schultz,Mark B Cohen,Lucretia C Clemons,Zac Shaffer,John Macoretta,Wendi Barish,Vincent Melchiorre,Brian Mclaughlin,David Conroy,Daniel R Sulman,Crystal B Powell,Terri M Booker,Danyl S Patterson,Mark J Moore,Leonard Deutchman,Jon Marshall,Bill Rice,Matthew C Monroe,Betsy Wahl,Dawn M Tancredi,Christian Dicicco,All
Vikki Kristiansson,19,329,298,218,287,198,192,226,112,202,166,123,161,178,192,163,106,144,130,123,92,47,59,33,42,24,11,1,0,0,0,All
Stella Tsai,,47,248,166,215,166,175,171,82,207,171,95,141,89,171,169,55,141,56,85,81,50,36,37,38,22,15,3,0,1,0,All
Deborah Cianfrani,,,27,235,289,199,133,215,88,148,123,123,105,108,164,106,125,144,86,91,103,72,35,37,23,21,15,2,1,1,0,All
Shanese Johnson,,,,29,229,126,138,138,98,72,92,121,107,97,94,90,94,72,67,91,109,77,50,38,16,14,22,2,0,1,0,All
Rania Major,,,,,11,176,110,201,70,123,96,104,82,107,150,85,101,143,82,92,82,56,37,22,18,18,17,1,0,0,0,All
Vincent Furlong,,,,,,37,87,159,90,138,59,123,58,61,161,57,76,147,75,51,49,37,50,34,33,24,22,1,0,0,0,All
Deborah Canty,,,,,,,16,71,133,69,176,98,138,99,49,164,67,46,67,76,110,71,57,40,56,37,24,1,0,0,0,All
Lawrence J Bozzelli,,,,,,,,13,59,139,64,87,47,97,182,58,95,146,70,80,22,14,16,26,40,22,11,1,1,0,0,All
Leon Goodman,,,,,,,,,12,64,87,103,119,112,59,96,71,56,81,72,96,58,62,56,63,20,22,0,0,0,0,All
Henry Mcgregor Sias,,,,,,,,,,13,85,65,87,71,141,84,28,124,27,57,30,25,21,31,21,11,6,2,0,1,0,All
Jennifer Schultz,,,,,,,,,,,7,71,114,79,42,186,65,56,41,68,78,57,19,42,57,31,10,3,0,1,0,All
Mark B Cohen,,,,,,,,,,,,24,60,80,86,51,65,79,52,53,68,45,49,33,29,21,20,1,1,0,0,All
Lucretia C Clemons,,,,,,,,,,,,,6,108,26,136,60,40,71,60,109,66,59,55,32,21,18,0,0,0,0,All
Zac Shaffer,,,,,,,,,,,,,,13,41,79,124,45,111,128,56,17,55,24,53,16,5,0,0,1,0,All
John Macoretta,,,,,,,,,,,,,,,16,38,51,138,36,46,15,15,15,22,27,13,9,1,0,0,0,All
Wendi Barish,,,,,,,,,,,,,,,,5,58,44,44,73,75,54,24,45,55,24,13,2,1,1,0,All
Vincent Melchiorre,,,,,,,,,,,,,,,,,27,51,93,107,32,15,38,14,36,13,14,0,0,0,0,All
Brian Mclaughlin,,,,,,,,,,,,,,,,,,18,44,35,28,23,26,29,31,21,15,1,0,1,0,All
David Conroy,,,,,,,,,,,,,,,,,,,28,65,54,22,52,23,26,18,11,0,2,0,0,All
Daniel R Sulman,,,,,,,,,,,,,,,,,,,,7,28,22,28,23,38,11,7,1,0,0,0,All
Crystal B Powell,,,,,,,,,,,,,,,,,,,,,9,74,60,38,18,18,24,1,0,0,0,All
Terri M Booker,,,,,,,,,,,,,,,,,,,,,,7,30,39,9,13,15,0,0,0,0,All
Danyl S Patterson,,,,,,,,,,,,,,,,,,,,,,,6,20,9,11,9,1,0,0,0,All
Mark J Moore,,,,,,,,,,,,,,,,,,,,,,,,2,19,23,16,0,0,0,0,All
Leonard Deutchman,,,,,,,,,,,,,,,,,,,,,,,,,2,15,10,0,0,0,0,All
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,6,12,0,0,0,0,All
Bill Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,All
Matthew C Monroe,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,All
Betsy Wahl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,All
Dawn M Tancredi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,All
Christian Dicicco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,570,510,507,427,424,395,373,362,317,314,311,309,308,308,299,296,285,282,249,234,226,153,140,116,114,76,51,4,2,2,0,All
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Vikki Kristiansson,Stella Tsai,Deborah Cianfrani,Jennifer Schultz,Rania Major,Deborah Canty,John Macoretta,Lucretia C Clemons,Wendi Barish,Vincent Furlong,Shanese Johnson,Henry Mcgregor Sias,Lawrence J Bozzelli,Leon Goodman,Zac Shaffer,Brian Mclaughlin,Mark B Cohen,Daniel R Sulman,David Conroy,Jon Marshall,Mark J Moore,Leonard Deutchman,Crystal B Powell,Terri M Booker,Vincent Melchiorre,Danyl S Patterson,Bill Rice,Betsy Wahl,Christian Dicicco,Dawn M Tancredi,Matthew C Monroe,1
Vikki Kristiansson,0,23,16,17,19,12,19,12,15,10,10,11,16,10,9,8,8,4,5,3,3,5,2,1,1,2,0,0,0,0,0,1
Stella Tsai,,2,15,17,16,12,14,14,14,7,10,13,11,6,7,6,4,4,4,0,3,2,3,1,1,1,0,0,0,0,0,1
Deborah Cianfrani,,,0,10,19,9,11,7,7,9,11,7,7,2,5,7,6,7,4,3,3,0,5,4,3,2,1,0,0,0,0,1
Jennifer Schultz,,,,0,11,15,8,16,17,3,7,8,5,6,9,3,4,7,5,5,1,5,4,2,2,2,0,0,0,0,0,1
Rania Major,,,,,0,6,12,7,8,8,10,5,11,5,8,6,7,5,4,1,2,3,3,2,3,2,0,0,0,0,0,1
