col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,division
,Judge Of The Municipal Court - Democrat,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Matt Wolf,Marissa Brumbach,George Twardy,Sherman Toppin,Jon Marshall,Bill Rice,Crystal B Powell,Betsy Wahl,Christian Dicicco,Mark B Cohen,Shanese Johnson,Stella Tsai,Deborah Cianfrani,Vikki Kristiansson,Vincent Furlong,Rania Major,Leon Goodman,Lucretia C Clemons,Crystal B Powell,Daniel R Sulman,Zac Shaffer,Deborah Canty,John Macoretta,Brian Mclaughlin,Henry Mcgregor Sias,Jennifer Schultz,Lawrence J Bozzelli,Danyl S Patterson,David Conroy,Terri M Booker,Wendi Barish,Vincent Melchiorre,Mark J Moore,Jon Marshall,Bill Rice,Leonard Deutchman,Matthew C Monroe,Christian Dicicco,Dawn M Tancredi,Betsy Wahl,All
Matt Wolf,11,99,57,67,32,8,1,0,0,112,167,204,192,161,111,119,107,103,87,84,103,68,107,105,90,56,87,58,79,38,37,49,32,26,21,18,2,0,0,0,All
Marissa Brumbach,,5,28,19,12,4,0,0,0,69,106,114,115,90,76,94,41,57,36,43,49,52,61,64,58,47,66,35,36,26,37,30,18,17,8,10,0,1,0,0,All
George Twardy,,,1,23,10,3,0,0,0,142,74,60,59,58,113,43,30,34,42,79,40,42,46,40,40,37,30,29,21,28,19,25,17,9,13,10,0,1,0,0,All
Sherman Toppin,,,,3,17,11,0,0,0,67,87,38,68,67,30,46,89,79,81,39,69,63,16,17,19,38,8,37,49,36,36,23,21,9,19,8,3,0,0,0,All
Jon Marshall,,,,,6,7,0,0,0,27,27,31,28,27,25,25,42,16,19,27,33,38,27,30,14,33,21,10,10,21,33,16,12,22,8,23,1,0,1,0,All
Bill Rice,,,,,,0,0,0,0,15,20,8,11,5,9,13,16,17,17,6,8,13,7,10,5,10,8,10,6,19,7,5,11,7,10,5,0,0,0,0,All
Crystal B Powell,,,,,,,0,0,0,0,2,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,All
Betsy Wahl,,,,,,,,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All
Christian Dicicco,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All
