col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Shanese Johnson,Deborah Canty,Crystal B Powell,Vikki Kristiansson,Mark B Cohen,Danyl S Patterson,Deborah Cianfrani,Leon Goodman,Stella Tsai,John Macoretta,Zac Shaffer,Rania Major,Vincent Furlong,David Conroy,Lucretia C Clemons,Lawrence J Bozzelli,Wendi Barish,Brian Mclaughlin,Henry Mcgregor Sias,Jennifer Schultz,Daniel R Sulman,Vincent Melchiorre,Terri M Booker,Leonard Deutchman,Mark J Moore,Jon Marshall,Bill Rice,Dawn M Tancredi,Christian Dicicco,Matthew C Monroe,Betsy Wahl,All
Shanese Johnson,52,189,241,142,143,177,197,122,148,105,106,153,94,78,112,96,84,68,56,86,97,100,73,20,41,37,26,1,1,1,1,All
Deborah Canty,,47,180,193,189,168,114,193,108,96,144,112,74,138,97,31,107,35,37,93,46,45,65,90,29,29,30,3,1,2,1,All
Crystal B Powell,,,32,97,125,211,141,134,86,70,112,87,59,93,127,49,83,33,37,80,77,84,93,11,54,39,33,1,0,2,0,All
Vikki Kristiansson,,,,26,180,121,161,142,157,186,130,159,125,115,61,113,69,99,110,69,38,39,32,87,25,17,8,0,1,0,1,All
Mark B Cohen,,,,,31,129,104,168,79,126,136,90,94,110,62,58,53,74,48,60,32,35,48,78,36,27,32,0,1,2,0,All
Danyl S Patterson,,,,,,20,92,154,47,109,170,46,38,151,80,34,44,23,9,25,72,89,38,64,22,19,15,0,1,1,0,All
Deborah Cianfrani,,,,,,,19,72,167,136,93,150,111,43,65,131,77,99,118,82,80,77,45,19,34,21,11,1,2,0,0,All
Leon Goodman,,,,,,,,5,66,100,145,58,70,138,83,40,84,36,49,65,51,58,49,97,56,24,29,3,0,1,0,All
Stella Tsai,,,,,,,,,43,99,51,150,118,40,63,101,89,94,114,71,47,39,37,18,22,19,9,0,0,0,0,All
John Macoretta,,,,,,,,,,8,114,103,96,78,18,133,32,90,97,25,51,52,21,74,13,11,6,1,2,0,0,All
Zac Shaffer,,,,,,,,,,,4,38,42,125,53,49,52,21,20,38,94,109,24,82,19,17,12,3,1,1,0,All
Rania Major,,,,,,,,,,,,15,128,31,63,111,62,110,100,58,36,35,45,10,20,17,18,0,0,0,0,All
Vincent Furlong,,,,,,,,,,,,,8,45,41,97,39,100,100,43,29,26,21,17,17,23,23,0,0,2,0,All
David Conroy,,,,,,,,,,,,,,4,52,13,23,22,13,18,33,35,21,64,20,18,14,0,1,2,1,All
Lucretia C Clemons,,,,,,,,,,,,,,,4,20,80,29,33,71,38,43,60,10,49,25,25,1,2,0,0,All
Lawrence J Bozzelli,,,,,,,,,,,,,,,,4,25,100,100,18,52,44,10,14,13,10,12,0,0,0,1,All
Wendi Barish,,,,,,,,,,,,,,,,,3,20,36,94,48,44,43,25,38,19,14,3,2,0,0,All
Brian Mclaughlin,,,,,,,,,,,,,,,,,,12,85,19,23,16,12,10,20,12,14,0,2,0,1,All
Henry Mcgregor Sias,,,,,,,,,,,,,,,,,,,2,33,19,18,26,12,20,8,6,0,1,0,0,All
Jennifer Schultz,,,,,,,,,,,,,,,,,,,,5,32,25,45,23,30,10,12,4,1,0,0,All
Daniel R Sulman,,,,,,,,,,,,,,,,,,,,,4,92,17,18,12,14,7,2,1,0,0,All
Vincent Melchiorre,,,,,,,,,,,,,,,,,,,,,,1,9,21,10,18,11,3,1,0,0,All
Terri M Booker,,,,,,,,,,,,,,,,,,,,,,,3,6,32,20,24,1,0,1,0,All
Leonard Deutchman,,,,,,,,,,,,,,,,,,,,,,,,1,4,7,8,3,0,0,0,All
Mark J Moore,,,,,,,,,,,,,,,,,,,,,,,,,4,17,16,0,1,0,1,All
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,2,18,0,2,0,0,All
Bill Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,All
Dawn M Tancredi,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,All
Christian Dicicco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,All
Matthew C Monroe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,All
Betsy Wahl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,496,444,432,417,384,364,362,344,326,296,293,292,237,217,215,202,197,186,175,175,174,174,136,125,97,70,60,4,3,2,1,All
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Shanese Johnson,Crystal B Powell,Deborah Canty,Deborah Cianfrani,Vikki Kristiansson,Leon Goodman,Lucretia C Clemons,Mark B Cohen,Wendi Barish,Danyl S Patterson,Stella Tsai,John Macoretta,Rania Major,David Conroy,Jennifer Schultz,Terri M Booker,Henry Mcgregor Sias,Vincent Furlong,Zac Shaffer,Mark J Moore,Brian Mclaughlin,Daniel R Sulman,Bill Rice,Leonard Deutchman,Vincent Melchiorre,Jon Marshall,Lawrence J Bozzelli,Betsy Wahl,Christian Dicicco,Dawn M Tancredi,Matthew C Monroe,1
Shanese Johnson,4,15,15,13,11,7,10,6,8,7,9,3,9,4,9,8,2,4,3,2,3,4,4,1,3,3,2,0,0,0,0,1
Crystal B Powell,,1,12,13,6,9,12,6,10,11,7,1,6,6,9,11,5,1,3,7,0,2,3,0,1,2,0,0,0,0,0,1
Deborah Canty,,,2,11,14,10,7,11,7,9,8,8,6,9,8,8,2,5,6,2,2,3,5,4,1,1,1,0,0,0,0,1
Deborah Cianfrani,,,,0,12,7,11,6,10,4,10,7,7,6,12,8,9,4,3,8,4,4,1,2,2,1,2,0,0,0,0,1
Vikki Kristiansson,,,,,2,8,5,11,6,4,8,10,8,8,6,4,4,4,5,2,4,3,1,5,3,2,3,0,0,0,0,1
Leon Goodman,,,,,,1,9,10,8,10,4,7,5,9,5,5,7,3,6,5,2,2,3,4,4,3,0,0,0,0,0,1
Lucretia C Clemons,,,,,,,0,2,11,5,3,2,4,4,9,11,5,3,2,6,2,2,3,1,2,3,0,0,0,0,0,1
