col_1,col_2,col_3,division
,Justice Of The Supreme Court - Republican,District Attorney - Republican,All
,Sallie Mundy,Beth Grossman,All
Sallie Mundy,2,8,All
Beth Grossman,,1,All
Total,10,9,All
,District Attorney - Republican,Justice Of The Supreme Court - Republican,3
,Beth Grossman,Sallie Mundy,3
Beth Grossman,0,1,3
Sallie Mundy,,0,3
Total,1,1,3
,District Attorney - Republican,Justice Of The Supreme Court - Republican,8
,Beth Grossman,Sallie Mundy,8
Beth Grossman,0,1,8
Sallie Mundy,,0,8
Total,1,1,8
,District Attorney - Republican,Justice Of The Supreme Court - Republican,10
,Beth Grossman,Sallie Mundy,10
Beth Grossman,1,2,10
Sallie Mundy,,0,10
Total,3,2,10
,District Attorney - Republican,Justice Of The Supreme Court - Republican,12
,Beth Grossman,Sallie Mundy,12
Beth Grossman,0,2,12
Sallie Mundy,,0,12
Total,2,2,12
,Justice Of The Supreme Court - Republican,District Attorney - Republican,13
,Sallie Mundy,Beth Grossman,13
Sallie Mundy,2,2,13
Beth Grossman,,0,13
Total,4,2,13
