col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,division
,Judge Of The Commonwealth Court - Democrat,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,,All
,Ellen Ceisler,Joe Cosgrove,Timothy Barry,Todd Eagen,Irene M Clark,Bryan Barbin,Marissa Brumbach,Matt Wolf,George Twardy,Jon Marshall,Sherman Toppin,Bill Rice,Crystal B Powell,Betsy Wahl,Christian Dicicco,All
Ellen Ceisler,74,234,181,124,135,16,552,457,249,143,133,89,1,0,0,All
Joe Cosgrove,,26,143,36,11,7,291,298,161,72,34,36,0,0,0,All
Timothy Barry,,,18,27,15,7,230,299,97,76,41,43,0,0,0,All
Todd Eagen,,,,5,8,3,110,98,57,37,45,23,0,0,0,All
Irene M Clark,,,,,1,7,126,78,41,27,24,31,0,0,0,All
Bryan Barbin,,,,,,3,18,17,11,7,5,8,0,0,0,All
Marissa Brumbach,,,,,,,48,328,191,67,57,32,0,0,0,All
Matt Wolf,,,,,,,,64,103,78,47,40,0,0,0,All
George Twardy,,,,,,,,,150,18,26,11,1,0,0,All
Jon Marshall,,,,,,,,,,8,12,19,0,0,0,All
Sherman Toppin,,,,,,,,,,,7,11,0,0,0,All
Bill Rice,,,,,,,,,,,,4,0,0,0,All
Crystal B Powell,,,,,,,,,,,,,0,0,0,All
Betsy Wahl,,,,,,,,,,,,,,0,0,All
Christian Dicicco,,,,,,,,,,,,,,,0,All
Total,"1,036",573,489,221,185,47,879,836,574,219,180,138,1,0,0,All
,Judge Of The Commonwealth Court - Democrat,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,,1
,Ellen Ceisler,Joe Cosgrove,Timothy Barry,Todd Eagen,Irene M Clark,Bryan Barbin,Marissa Brumbach,Matt Wolf,George Twardy,Sherman Toppin,Jon Marshall,Bill Rice,Betsy Wahl,Christian Dicicco,Crystal B Powell,1
Ellen Ceisler,1,14,2,3,3,0,15,14,10,9,4,6,0,0,0,1
Joe Cosgrove,,1,5,1,1,0,14,12,8,3,3,3,0,0,0,1
Timothy Barry,,,1,1,1,0,7,6,2,2,3,0,0,0,0,1
Todd Eagen,,,,0,0,0,3,3,1,1,0,2,0,0,0,1
Irene M Clark,,,,,0,0,3,2,0,0,4,1,0,0,0,1
Bryan Barbin,,,,,,0,1,0,0,0,0,0,0,0,0,1
Marissa Brumbach,,,,,,,0,8,4,4,3,1,0,0,0,1
Matt Wolf,,,,,,,,0,6,1,3,1,0,0,0,1
George Twardy,,,,,,,,,3,3,0,1,0,0,0,1
Sherman Toppin,,,,,,,,,,0,0,0,0,0,0,1
Jon Marshall,,,,,,,,,,,0,1,0,0,0,1
Bill Rice,,,,,,,,,,,,0,0,0,0,1
Betsy Wahl,,,,,,,,,,,,,0,0,0,1
Christian Dicicco,,,,,,,,,,,,,,0,0,1
Crystal B Powell,,,,,,,,,,,,,,,0,1
Total,36,26,13,6,5,1,26,24,19,11,7,6,0,0,0,1
,Judge Of The Municipal Court - Democrat,,,,,,,,,Judge Of The Commonwealth Court - Democrat,,,,,,2
,Matt Wolf,Marissa Brumbach,George Twardy,Jon Marshall,Sherman Toppin,Bill Rice,Betsy Wahl,Christian Dicicco,Crystal B Powell,Ellen Ceisler,Joe Cosgrove,Timothy Barry,Irene M Clark,Todd Eagen,Bryan Barbin,2
Matt Wolf,1,9,4,0,1,0,0,0,0,10,11,10,1,3,1,2
Marissa Brumbach,,1,1,5,2,2,0,0,0,14,8,10,4,2,1,2
George Twardy,,,2,1,0,0,0,0,0,3,3,4,1,0,1,2
Jon Marshall,,,,0,0,0,0,0,0,7,2,2,2,0,1,2
Sherman Toppin,,,,,0,1,0,0,0,3,2,1,1,1,0,2
Bill Rice,,,,,,0,0,0,0,2,2,0,1,1,0,2
Betsy Wahl,,,,,,,0,0,0,0,0,0,0,0,0,2
Christian Dicicco,,,,,,,,0,0,0,0,0,0,0,0,2
Crystal B Powell,,,,,,,,,0,0,0,0,0,0,0,2
Ellen Ceisler,,,,,,,,,,0,4,5,4,3,2,2
Joe Cosgrove,,,,,,,,,,,0,7,1,1,0,2
Timothy Barry,,,,,,,,,,,,0,0,0,0,2
Irene M Clark,,,,,,,,,,,,,0,0,0,2
Todd Eagen,,,,,,,,,,,,,,0,0,2
Bryan Barbin,,,,,,,,,,,,,,,0,2
Total,23,22,9,8,4,3,0,0,0,20,18,18,5,4,2,2
,Judge Of The Commonwealth Court - Democrat,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,,3
,Ellen Ceisler,Timothy Barry,Joe Cosgrove,Irene M Clark,Bryan Barbin,Todd Eagen,Marissa Brumbach,Matt Wolf,George Twardy,Bill Rice,Sherman Toppin,Jon Marshall,Betsy Wahl,Christian Dicicco,Crystal B Powell,3
Ellen Ceisler,1,3,2,2,1,0,8,5,5,0,2,1,0,0,0,3
Timothy Barry,,0,2,1,0,0,4,3,0,2,2,1,0,0,0,3
Joe Cosgrove,,,0,0,1,0,2,4,2,2,1,1,0,0,0,3
Irene M Clark,,,,0,0,0,3,0,2,1,0,0,0,0,0,3
Bryan Barbin,,,,,0,0,1,0,0,1,0,0,0,0,0,3
Todd Eagen,,,,,,0,0,1,0,0,0,0,0,0,0,3
Marissa Brumbach,,,,,,,0,2,4,2,1,0,0,0,0,3
Matt Wolf,,,,,,,,0,2,0,0,1,0,0,0,3
George Twardy,,,,,,,,,0,0,0,0,0,0,0,3
Bill Rice,,,,,,,,,,1,1,0,0,0,0,3
Sherman Toppin,,,,,,,,,,,0,0,0,0,0,3
Jon Marshall,,,,,,,,,,,,0,0,0,0,3
Betsy Wahl,,,,,,,,,,,,,0,0,0,3
Christian Dicicco,,,,,,,,,,,,,,0,0,3
Crystal B Powell,,,,,,,,,,,,,,,0,3
Total,16,7,6,3,2,1,12,9,6,4,3,2,0,0,0,3
,Judge Of The Commonwealth Court - Democrat,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,,4
,Ellen Ceisler,Timothy Barry,Todd Eagen,Joe Cosgrove,Irene M Clark,Bryan Barbin,Matt Wolf,Marissa Brumbach,George Twardy,Jon Marshall,Sherman Toppin,Bill Rice,Betsy Wahl,Christian Dicicco,Crystal B Powell,4
Ellen Ceisler,1,4,5,2,3,0,7,10,3,4,3,1,0,0,0,4
Timothy Barry,,0,0,2,1,0,10,3,2,3,0,0,0,0,0,4
