col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,District Attorney - Democrat,,,,,,,All
,Stella Tsai,Vikki Kristiansson,Lucretia C Clemons,Deborah Cianfrani,Zac Shaffer,Deborah Canty,Shanese Johnson,Mark B Cohen,Vincent Furlong,Jennifer Schultz,Daniel R Sulman,Leon Goodman,Wendi Barish,Henry Mcgregor Sias,Rania Major,John Macoretta,David Conroy,Brian Mclaughlin,Crystal B Powell,Vincent Melchiorre,Lawrence J Bozzelli,Danyl S Patterson,Terri M Booker,Leonard Deutchman,Mark J Moore,Jon Marshall,Bill Rice,Dawn M Tancredi,Matthew C Monroe,Christian Dicicco,Betsy Wahl,Lawrence S Krasner,Joe Khan,Rich Negrin,Tariq Karim El Shabazz,Michael W Untermeyer,John O Neill,Teresa Carr Deni,All
Stella Tsai,184,"39,925","28,003","27,915","21,265","21,009","19,078","12,373","18,529","20,810","22,461","14,693","20,744","21,672","17,775","16,149","13,076","12,846","10,440","11,643","13,589","6,448","5,622","5,032","4,824","2,873","1,716",78,82,58,20,"27,203","13,102","9,502","5,128","3,606","1,965","1,091",All
Vikki Kristiansson,,151,"27,410","22,780","22,522","22,325","14,975","14,833","20,151","19,832","18,276","18,057","19,525","22,177","17,930","20,133","14,252","12,539","9,655","9,290","14,110","6,307","4,842","6,844","4,233","2,483","1,273",70,71,50,13,"26,289","13,437","8,525","5,102","3,485","2,683",882,All
Lucretia C Clemons,,,64,"13,107","19,652","17,092","13,536","8,601","9,145","16,018","16,831","15,596","16,813","14,107","7,647","8,345","14,095","4,497","12,994","10,176","4,658","7,298","6,492","3,541","6,741","3,078","1,991",36,29,67,19,"23,378","9,232","4,056","4,333","1,756","2,138",652,All
Deborah Cianfrani,,,,109,"11,443","12,753","18,356","11,580","16,691","12,901","11,460","7,031","10,954","10,750","17,140","11,204","8,992","11,598","10,724","10,575","11,190","5,221","6,195","2,455","3,069","1,802","1,686",61,66,53,17,"15,713","7,798","6,851","4,552","3,783","2,269","1,057",All
Zac Shaffer,,,,,69,"11,496","9,453","10,197","10,447","8,635","19,129","13,786","10,636","9,506","5,197","7,835","16,983","4,809","8,427","14,413","4,710","8,500","2,212","4,926","2,911","2,056","1,258",78,63,46,18,"16,611","6,851","4,129","4,498","2,362","3,152",410,All
Deborah Canty,,,,,,122,"12,899","12,055","7,679","18,549","9,709","13,776","17,246","8,718","10,863","7,719","7,230","6,170","10,360","4,565","6,337","6,259","6,473","6,429","4,911","3,056","2,018",94,88,63,20,"17,224","7,685","3,760","5,200","2,140","1,121",916,All
Shanese Johnson,,,,,,,119,"10,426","9,725","9,789","8,358","7,789","8,489","5,442","13,539","6,209","7,092","6,012","12,645","7,675","5,481","7,434","6,379","1,829","3,243","1,946","2,048",53,57,62,19,"13,701","6,197","4,150","5,976","3,049","1,426",781,All
Mark B Cohen,,,,,,,,265,"10,692","9,195","7,165","10,587","6,579","6,881","10,803","9,353","6,404","8,945","7,266","5,344","7,043","5,915","4,522","4,697","3,109","2,274","2,570",47,47,39,11,"12,323","7,457","4,729","4,730","3,781","1,530",441,All
Vincent Furlong,,,,,,,,,125,"6,082","9,498","6,744","5,239","10,154","11,536","12,258","9,704","12,598","5,012","9,720","11,089","3,000","2,608","3,007","2,313","1,958","1,924",43,41,27,13,"11,200","6,543","6,613","3,104","3,423","3,241",351,All
Jennifer Schultz,,,,,,,,,,32,"9,038","9,735","18,138","10,162","9,819","6,500","4,027","6,053","7,901","3,776","5,812","2,225","6,103","5,030","5,216","2,714","1,651",92,50,31,16,"16,377","7,075","3,635","2,430","1,800","1,150",852,All
Daniel R Sulman,,,,,,,,,,,50,"10,711","9,993","10,080","4,648","6,934","11,802","4,661","5,479","11,616","4,646","5,271","1,943","3,547","2,301","1,782","1,250",64,70,32,16,"14,243","6,732","3,770","3,235","2,295","1,971",422,All
Leon Goodman,,,,,,,,,,,,46,"10,761","10,695","5,712","10,073","8,523","5,601","7,043","4,641","5,324","5,744","4,540","5,953","5,475","2,594","1,962",82,78,32,14,"13,770","7,446","3,276","4,757","1,619","1,163",269,All
Wendi Barish,,,,,,,,,,,,,34,"9,675","8,040","5,356","4,449","4,685","6,905","3,884","5,503","2,422","5,052","4,267","4,335","2,265","1,144",78,67,30,14,"15,529","6,819","3,252","2,241","1,368","1,062",731,All
Henry Mcgregor Sias,,,,,,,,,,,,,,30,"9,467","13,510","2,962","9,210","2,429","2,663","10,400","1,647","2,175","2,928","3,240","1,256",727,38,40,10,4,"14,668","7,338","4,568","1,625","1,618",698,168,All
Rania Major,,,,,,,,,,,,,,,87,"9,820","2,554","10,079","6,853","3,445","10,578","3,006","4,522","2,553","2,129","1,581","1,561",48,51,33,12,"10,719","6,077","4,912","3,621","2,681",820,613,All
John Macoretta,,,,,,,,,,,,,,,,84,"5,750","10,609","2,414","3,917","12,114","2,828","1,601","4,491","2,209","1,668","1,107",46,60,19,9,"8,792","7,194","5,458","3,086","2,537","1,421",248,All
David Conroy,,,,,,,,,,,,,,,,,126,"4,169","7,723","11,605","3,406","7,763","1,898","3,792","2,490","1,879","1,426",25,32,55,20,"9,352","4,050","3,525","3,361","1,874","4,407",408,All
Brian Mclaughlin,,,,,,,,,,,,,,,,,,83,"2,596","4,416","11,069","1,926","2,170","2,727","2,564","2,180","1,800",33,34,22,6,"6,785","5,549","5,812","2,034","2,813","2,009",372,All
Crystal B Powell,,,,,,,,,,,,,,,,,,,50,"5,811","1,587","7,259","7,080",960,"3,818","1,981","1,963",24,27,57,19,"10,345","3,469","2,128","3,833","1,606","1,555",790,All
Vincent Melchiorre,,,,,,,,,,,,,,,,,,,,83,"3,492","5,315","1,779","2,271","1,693","1,290","1,282",57,44,34,9,"7,795","3,395","3,451","2,754","2,226","3,012",449,All
Lawrence J Bozzelli,,,,,,,,,,,,,,,,,,,,,50,"1,161","1,301","3,764","2,080","1,766",981,22,27,13,11,"7,071","5,314","5,179","1,664","2,257","1,280",265,All
Danyl S Patterson,,,,,,,,,,,,,,,,,,,,,,68,"2,427","2,090","2,033","1,434","1,258",20,26,46,10,"6,506","1,959","1,500","3,471","1,220",647,369,All
Terri M Booker,,,,,,,,,,,,,,,,,,,,,,,63,945,"3,256","1,744","1,858",26,15,44,13,"6,064","2,391","1,160","2,238",881,459,465,All
Leonard Deutchman,,,,,,,,,,,,,,,,,,,,,,,,16,"1,782","1,466",725,56,42,10,9,"4,316","2,635","1,771","2,037",748,498,125,All
Mark J Moore,,,,,,,,,,,,,,,,,,,,,,,,,31,"2,311","1,463",17,17,34,13,"5,498","2,316","1,295","1,419",608,549,204,All
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,15,"1,295",15,13,22,13,"2,609","1,655",970,862,548,457,188,All
Bill Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,13,22,5,"1,758","1,129",766,798,540,556,177,All
Dawn M Tancredi,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,25,3,2,69,30,20,46,13,7,6,All
Matthew C Monroe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,52,34,24,50,13,4,5,All
Christian Dicicco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,37,30,24,21,15,7,7,All
Betsy Wahl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,15,9,9,8,4,4,5,All
Lawrence S Krasner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,472",0,0,0,0,0,0,All
Joe Khan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,456",0,0,0,0,0,All
Rich Negrin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,499",0,0,0,0,All
Tariq Karim El Shabazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,176",0,0,0,All
Michael W Untermeyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,531",0,0,All
John O Neill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,793,0,All
Teresa Carr Deni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,All
Total,"63,155","61,930","46,380","43,338","39,214","38,760","36,331","35,988","35,542","33,691","33,577","32,948","31,337","31,166","30,107","29,519","28,119","25,902","24,402","24,073","23,533","16,371","13,911","12,393","12,101","7,431","5,820",206,197,156,61,"58,632","31,114","21,798","17,793","12,472","9,090","2,240",All
