col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,division
,Justice Of The Supreme Court - Democrat,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Dwayne Woodruff,Stella Tsai,Deborah Cianfrani,Shanese Johnson,Lucretia C Clemons,Vikki Kristiansson,Zac Shaffer,Crystal B Powell,Vincent Furlong,Deborah Canty,Rania Major,Mark B Cohen,Leon Goodman,David Conroy,John Macoretta,Henry Mcgregor Sias,Daniel R Sulman,Wendi Barish,Brian Mclaughlin,Lawrence J Bozzelli,Jennifer Schultz,Vincent Melchiorre,Danyl S Patterson,Terri M Booker,Mark J Moore,Leonard Deutchman,Jon Marshall,Bill Rice,Dawn M Tancredi,Betsy Wahl,Christian Dicicco,Matthew C Monroe,All
Dwayne Woodruff,102,536,464,435,422,415,349,352,368,301,289,258,250,257,214,232,227,195,197,180,173,174,142,113,99,75,58,47,3,1,1,0,All
Stella Tsai,,4,333,250,222,249,175,138,272,154,204,96,82,113,151,182,171,112,132,145,108,116,39,45,37,37,29,21,0,1,0,0,All
Deborah Cianfrani,,,4,286,199,220,161,184,270,116,198,93,89,134,135,151,131,91,125,132,83,113,44,53,34,21,18,16,0,1,1,0,All
Shanese Johnson,,,,9,216,148,178,209,208,139,139,110,102,129,77,61,120,90,62,66,75,119,63,66,40,19,22,25,0,1,0,0,All
Lucretia C Clemons,,,,,12,187,235,246,129,142,73,76,130,182,36,75,133,123,35,31,97,114,72,69,61,26,24,28,1,1,0,0,All
Vikki Kristiansson,,,,,,6,181,134,151,171,170,113,135,143,177,162,66,99,117,128,92,36,75,28,24,62,13,10,0,0,1,0,All
Zac Shaffer,,,,,,,4,187,134,121,47,91,144,205,64,43,144,73,31,18,44,138,86,21,19,53,15,11,2,1,1,1,All
Crystal B Powell,,,,,,,,8,123,121,75,83,107,159,26,38,91,80,31,15,68,93,78,82,45,7,22,25,0,0,0,0,All
Vincent Furlong,,,,,,,,,3,79,159,94,60,98,129,123,124,34,121,120,34,116,30,25,24,18,17,21,1,1,1,0,All
Deborah Canty,,,,,,,,,,23,109,139,136,92,70,49,66,127,39,41,121,53,86,60,38,72,28,27,2,0,1,0,All
Rania Major,,,,,,,,,,,6,97,60,27,125,116,37,64,134,126,72,27,30,47,25,17,17,19,0,0,0,0,All
