col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,division
,Judge Of The Superior Court - Democrat,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Maria Mclaughlin,Carolyn H Nichols,Geoff Moulton,Debbie Kunselman,Bill Caye,Vincent Furlong,Mark B Cohen,Brian Mclaughlin,Stella Tsai,Vikki Kristiansson,Deborah Cianfrani,John Macoretta,Daniel R Sulman,Vincent Melchiorre,Rania Major,David Conroy,Zac Shaffer,Jennifer Schultz,Lawrence J Bozzelli,Deborah Canty,Lucretia C Clemons,Wendi Barish,Leon Goodman,Crystal B Powell,Henry Mcgregor Sias,Shanese Johnson,Leonard Deutchman,Bill Rice,Terri M Booker,Jon Marshall,Mark J Moore,Danyl S Patterson,Dawn M Tancredi,Christian Dicicco,Betsy Wahl,Matthew C Monroe,All
Maria Mclaughlin,26,616,405,272,199,406,364,361,334,344,305,250,266,255,246,214,206,204,191,187,187,148,139,141,137,125,73,79,74,70,68,69,3,1,0,0,All
Carolyn H Nichols,,19,401,253,189,342,295,291,330,308,279,195,197,200,195,180,180,182,162,179,168,134,137,144,117,115,62,71,67,69,71,68,3,1,0,0,All
Geoff Moulton,,,5,215,144,232,212,221,214,213,212,161,118,113,153,106,111,139,145,128,93,102,112,73,111,89,57,57,49,56,54,57,2,1,0,0,All
Debbie Kunselman,,,,0,99,116,132,132,147,137,160,102,90,77,100,63,69,120,95,121,80,106,72,49,64,61,45,43,53,37,43,27,0,0,0,0,All
Bill Caye,,,,,1,112,122,114,80,76,107,83,79,75,77,60,58,80,70,66,42,55,64,48,37,36,32,50,30,39,26,27,1,0,0,0,All
Vincent Furlong,,,,,,8,168,193,212,218,172,147,145,181,113,152,134,82,119,70,106,52,70,78,87,57,37,36,26,36,33,32,2,1,0,0,All
Mark B Cohen,,,,,,,13,172,115,113,147,156,140,100,160,72,92,94,86,93,45,55,83,54,49,61,39,44,34,31,35,44,1,0,0,0,All
Brian Mclaughlin,,,,,,,,3,151,140,186,147,81,122,107,73,57,98,139,70,44,55,62,37,99,52,39,42,24,43,31,36,1,1,0,0,All
