col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,,All
,Vikki Kristiansson,Stella Tsai,Lucretia C Clemons,Wendi Barish,Jennifer Schultz,Henry Mcgregor Sias,Deborah Canty,Leon Goodman,Zac Shaffer,Deborah Cianfrani,Daniel R Sulman,John Macoretta,Lawrence J Bozzelli,Mark B Cohen,Shanese Johnson,Vincent Furlong,Rania Major,Brian Mclaughlin,David Conroy,Leonard Deutchman,Vincent Melchiorre,Crystal B Powell,Mark J Moore,Terri M Booker,Danyl S Patterson,Jon Marshall,Bill Rice,Christian Dicicco,Dawn M Tancredi,Betsy Wahl,Matthew C Monroe,Marissa Brumbach,Matt Wolf,George Twardy,Jon Marshall,Sherman Toppin,Bill Rice,Betsy Wahl,Christian Dicicco,Crystal B Powell,All
Vikki Kristiansson,78,"1,497","1,094",851,806,847,701,706,687,673,614,654,495,393,461,426,456,390,351,273,255,259,183,169,178,120,51,2,3,2,1,"1,660","1,197",516,212,194,42,0,0,0,All
Stella Tsai,,16,903,776,769,663,641,463,607,647,596,412,432,283,445,335,418,334,295,214,229,245,164,155,164,93,31,1,1,1,1,"1,439",954,310,185,150,34,0,0,0,All
Lucretia C Clemons,,,4,615,557,598,502,494,469,259,398,358,214,160,223,147,176,118,240,176,121,223,168,114,113,84,27,2,1,1,1,968,546,365,142,108,29,1,0,0,All
Wendi Barish,,,,6,673,358,608,315,329,312,281,196,253,180,228,149,249,149,158,182,81,181,141,135,44,81,26,1,1,1,1,864,491,187,167,106,26,0,0,0,All
Jennifer Schultz,,,,,3,325,588,265,281,357,249,185,209,205,241,129,268,164,117,160,76,193,153,138,41,81,30,2,2,1,1,840,516,144,132,121,29,0,0,0,All
Henry Mcgregor Sias,,,,,,5,260,421,321,213,322,454,283,181,104,244,168,234,94,90,76,51,96,33,55,48,19,1,1,0,0,704,449,335,89,65,11,0,0,0,All
Deborah Canty,,,,,,,1,254,208,301,192,169,227,156,237,151,233,149,140,154,65,179,136,123,48,86,24,2,0,1,1,724,401,153,165,107,26,1,0,0,All
Leon Goodman,,,,,,,,4,304,122,239,369,197,189,89,192,101,149,152,157,77,64,116,45,40,65,24,0,0,0,0,520,371,290,113,124,17,0,0,0,All
Zac Shaffer,,,,,,,,,2,202,421,163,157,203,166,110,120,124,251,114,210,87,108,42,127,70,23,0,1,0,1,666,468,184,94,88,15,0,0,0,All
Deborah Cianfrani,,,,,,,,,,5,206,213,226,218,402,218,369,224,128,49,180,206,30,128,107,38,32,2,2,0,0,663,507,126,86,105,28,0,0,0,All
Daniel R Sulman,,,,,,,,,,,3,174,167,148,167,121,90,128,220,107,195,69,68,30,131,42,34,0,0,0,0,590,439,157,73,74,17,0,0,0,All
John Macoretta,,,,,,,,,,,,2,305,167,97,246,195,237,103,119,74,38,67,31,27,44,22,0,1,0,0,465,394,283,76,52,16,0,0,0,All
Lawrence J Bozzelli,,,,,,,,,,,,,4,159,79,277,211,274,114,155,68,26,70,30,27,53,25,0,1,1,0,482,389,122,113,56,19,0,0,0,All
Mark B Cohen,,,,,,,,,,,,,,15,142,160,201,167,58,79,90,73,33,56,57,42,37,0,0,1,0,379,327,144,61,80,33,1,0,0,All
Shanese Johnson,,,,,,,,,,,,,,,4,112,242,92,107,21,143,176,16,88,108,19,13,2,0,1,0,456,334,97,56,100,19,0,0,0,All
Vincent Furlong,,,,,,,,,,,,,,,,6,189,269,96,105,81,38,57,35,23,56,33,0,0,0,0,364,342,134,86,58,23,1,0,0,All
