col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Commonwealth Court - Democrat,,,,,,All
,Deborah Cianfrani,Vincent Furlong,Stella Tsai,Rania Major,Vikki Kristiansson,Brian Mclaughlin,Henry Mcgregor Sias,John Macoretta,Lawrence J Bozzelli,Shanese Johnson,Mark B Cohen,Deborah Canty,Zac Shaffer,Jennifer Schultz,Daniel R Sulman,Wendi Barish,Leon Goodman,Crystal B Powell,Lucretia C Clemons,David Conroy,Danyl S Patterson,Vincent Melchiorre,Terri M Booker,Leonard Deutchman,Jon Marshall,Mark J Moore,Bill Rice,Matthew C Monroe,Betsy Wahl,Christian Dicicco,Dawn M Tancredi,Timothy Barry,Ellen Ceisler,Joe Cosgrove,Irene M Clark,Todd Eagen,Bryan Barbin,All
Deborah Cianfrani,28,147,114,89,91,70,70,72,67,53,36,28,32,30,34,23,14,13,13,19,17,23,10,12,9,5,4,0,0,0,0,87,63,79,13,15,2,All
Vincent Furlong,,5,94,74,80,67,71,68,65,41,35,11,31,11,24,6,9,8,3,20,15,14,4,10,8,2,3,0,0,0,0,71,45,66,7,17,3,All
Stella Tsai,,,6,94,95,71,75,73,67,62,36,33,29,32,28,23,16,17,12,18,17,20,12,18,10,9,3,0,0,0,0,92,71,79,16,18,1,All
Rania Major,,,,4,86,76,73,71,69,52,41,29,13,28,10,21,14,15,16,2,5,6,12,14,6,6,3,1,0,0,0,75,50,77,10,9,2,All
Vikki Kristiansson,,,,,4,73,73,75,68,41,32,23,15,26,9,22,13,15,13,9,9,2,9,12,8,4,4,1,0,0,0,76,50,76,8,10,2,All
Brian Mclaughlin,,,,,,3,64,69,65,33,35,17,9,12,7,9,15,3,8,6,4,4,5,5,6,6,5,1,0,0,0,67,32,76,7,7,2,All
Henry Mcgregor Sias,,,,,,,1,69,66,24,25,8,8,8,7,4,11,3,3,4,4,4,2,8,3,1,2,1,0,0,0,64,23,72,1,6,2,All
John Macoretta,,,,,,,,2,65,30,26,7,2,3,5,2,6,0,1,1,1,0,2,4,2,4,2,0,0,0,0,64,15,70,0,6,2,All
Lawrence J Bozzelli,,,,,,,,,2,20,26,5,6,8,4,5,5,1,0,3,1,1,3,6,5,2,0,1,0,0,0,58,22,68,4,4,1,All
