col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Vikki Kristiansson,Stella Tsai,Lucretia C Clemons,Henry Mcgregor Sias,Zac Shaffer,Leon Goodman,Daniel R Sulman,Wendi Barish,Jennifer Schultz,Deborah Canty,Mark B Cohen,Deborah Cianfrani,John Macoretta,David Conroy,Lawrence J Bozzelli,Rania Major,Brian Mclaughlin,Vincent Furlong,Vincent Melchiorre,Shanese Johnson,Leonard Deutchman,Crystal B Powell,Terri M Booker,Mark J Moore,Jon Marshall,Danyl S Patterson,Bill Rice,Christian Dicicco,Dawn M Tancredi,Matthew C Monroe,Betsy Wahl,All
Vikki Kristiansson,117,"2,573","2,123","1,692","1,535","1,377","1,156","1,082","1,065",906,592,707,892,651,566,620,475,486,453,411,297,228,196,166,127,99,37,1,1,0,0,All
Stella Tsai,,130,"1,927","1,461","1,574","1,088","1,254","1,098","1,093",890,583,826,621,702,585,606,477,498,544,530,294,260,207,193,141,166,52,3,1,1,0,All
Lucretia C Clemons,,,18,"1,332","1,382","1,178",970,784,736,625,294,317,535,683,277,211,164,187,458,304,193,241,155,205,128,179,47,3,1,0,0,All
Henry Mcgregor Sias,,,,37,954,"1,085",884,477,480,319,317,289,693,478,393,269,316,327,377,172,159,59,50,119,53,78,18,0,0,0,0,All
Zac Shaffer,,,,,12,917,"1,015",511,476,314,412,247,265,613,224,134,192,169,515,181,166,75,47,110,93,144,38,1,2,1,0,All
Leon Goodman,,,,,,12,830,479,424,348,407,182,577,562,282,157,221,243,387,118,231,79,67,150,110,46,46,1,0,1,0,All
Daniel R Sulman,,,,,,,24,493,474,305,350,263,261,590,249,151,209,218,469,186,171,79,62,75,80,134,41,1,2,3,0,All
Wendi Barish,,,,,,,,26,925,787,337,465,237,215,325,352,238,221,112,290,264,210,176,158,109,53,32,1,1,0,0,All
Jennifer Schultz,,,,,,,,,10,803,381,486,226,182,278,412,232,199,89,314,250,244,203,175,122,49,43,2,2,1,0,All
Deborah Canty,,,,,,,,,,11,264,423,187,204,282,369,207,206,67,300,225,225,175,139,115,55,36,4,3,1,0,All
Mark B Cohen,,,,,,,,,,,74,335,222,90,237,305,257,240,118,205,156,102,97,40,47,78,51,1,1,2,0,All
