col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,City Controller - Democrat,,,All
,Stella Tsai,Vikki Kristiansson,Deborah Cianfrani,Vincent Furlong,Lucretia C Clemons,Daniel R Sulman,Zac Shaffer,Shanese Johnson,David Conroy,Vincent Melchiorre,Mark B Cohen,Deborah Canty,Leon Goodman,Rania Major,Crystal B Powell,Jennifer Schultz,John Macoretta,Brian Mclaughlin,Terri M Booker,Henry Mcgregor Sias,Danyl S Patterson,Mark J Moore,Wendi Barish,Lawrence J Bozzelli,Leonard Deutchman,Bill Rice,Jon Marshall,Matthew C Monroe,Christian Dicicco,Dawn M Tancredi,Betsy Wahl,Alan L Butkovitz,Rebecca Rhynhart,Bobbie T Curry,All
Stella Tsai,29,"1,994","2,012","1,856","1,504","1,554","1,239",637,"1,150","1,132",425,428,328,456,258,296,318,258,165,252,128,177,234,258,70,61,73,5,1,1,0,"1,684",725,27,All
Vikki Kristiansson,,7,"1,927","1,795","1,422","1,482","1,273",554,"1,197","1,081",479,459,367,473,259,283,350,213,129,289,195,145,178,277,142,38,61,5,1,2,0,"1,627",681,18,All
Deborah Cianfrani,,,7,"1,868","1,418","1,531","1,174",581,"1,117","1,110",411,348,282,450,250,261,288,227,181,268,110,147,187,237,56,52,62,4,1,2,0,"1,620",624,21,All
Vincent Furlong,,,,3,"1,322","1,522","1,149",463,"1,122","1,105",345,274,249,324,153,144,262,227,103,203,100,109,89,201,43,68,57,5,1,1,0,"1,563",505,13,All
Lucretia C Clemons,,,,,21,"1,197","1,185",606,"1,195","1,118",387,416,417,267,403,254,115,107,254,121,230,267,204,75,49,79,89,4,1,0,0,"1,409",551,7,All
Daniel R Sulman,,,,,,4,"1,104",296,"1,021","1,056",217,260,208,159,115,153,108,70,75,73,79,92,120,71,66,32,56,3,1,1,0,"1,340",364,10,All
Zac Shaffer,,,,,,,4,253,"1,108","1,083",262,257,304,148,147,122,126,72,54,56,143,80,112,57,96,28,41,0,2,1,0,"1,153",296,8,All
Shanese Johnson,,,,,,,,49,213,206,539,495,436,462,409,309,215,174,279,170,227,195,223,181,74,111,89,5,1,0,0,665,697,14,All
