col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,division
,Justice Of The Supreme Court - Democrat,Judge Of The Commonwealth Court - Democrat,,,,,,All
,Dwayne Woodruff,Ellen Ceisler,Joe Cosgrove,Todd Eagen,Timothy Barry,Irene M Clark,Bryan Barbin,All
Dwayne Woodruff,336,"2,106",876,643,560,302,50,All
Ellen Ceisler,,200,571,594,255,277,19,All
Joe Cosgrove,,,40,48,181,13,14,All
Todd Eagen,,,,7,34,7,5,All
Timothy Barry,,,,,8,10,11,All
Irene M Clark,,,,,,1,3,All
Bryan Barbin,,,,,,,0,All
Total,"2,956","2,405",966,710,582,324,56,All
,Justice Of The Supreme Court - Democrat,Judge Of The Commonwealth Court - Democrat,,,,,,1
,Dwayne Woodruff,Ellen Ceisler,Todd Eagen,Joe Cosgrove,Timothy Barry,Irene M Clark,Bryan Barbin,1
Dwayne Woodruff,26,131,57,47,33,14,7,1
Ellen Ceisler,,11,51,29,14,10,2,1
Todd Eagen,,,0,4,3,1,1,1
Joe Cosgrove,,,,4,10,0,0,1
Timothy Barry,,,,,0,0,3,1
Irene M Clark,,,,,,0,1,1
Bryan Barbin,,,,,,,0,1
Total,191,145,60,54,34,14,7,1
,Justice Of The Supreme Court - Democrat,Judge Of The Commonwealth Court - Democrat,,,,,,2
,Dwayne Woodruff,Ellen Ceisler,Joe Cosgrove,Todd Eagen,Timothy Barry,Irene M Clark,Bryan Barbin,2
Dwayne Woodruff,24,141,60,52,43,15,4,2
Ellen Ceisler,,3,34,50,19,14,1,2
Joe Cosgrove,,,2,6,15,3,0,2
Todd Eagen,,,,0,1,0,0,2
Timothy Barry,,,,,0,0,1,2
Irene M Clark,,,,,,0,0,2
Bryan Barbin,,,,,,,0,2
Total,203,149,66,57,43,17,4,2
,Justice Of The Supreme Court - Democrat,Judge Of The Commonwealth Court - Democrat,,,,,,3
,Dwayne Woodruff,Ellen Ceisler,Joe Cosgrove,Todd Eagen,Timothy Barry,Irene M Clark,Bryan Barbin,3
Dwayne Woodruff,22,136,60,47,37,16,0,3
