col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,division
,Judge Of The Municipal Court - Democrat,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Marissa Brumbach,Matt Wolf,George Twardy,Jon Marshall,Sherman Toppin,Bill Rice,Crystal B Powell,Betsy Wahl,Christian Dicicco,Stella Tsai,Vikki Kristiansson,Jennifer Schultz,Wendi Barish,Lucretia C Clemons,Henry Mcgregor Sias,Deborah Canty,Deborah Cianfrani,Vincent Furlong,Zac Shaffer,Leon Goodman,Rania Major,Daniel R Sulman,Shanese Johnson,John Macoretta,Lawrence J Bozzelli,Brian Mclaughlin,Mark B Cohen,Vincent Melchiorre,David Conroy,Crystal B Powell,Leonard Deutchman,Mark J Moore,Terri M Booker,Danyl S Patterson,Jon Marshall,Bill Rice,Christian Dicicco,Dawn M Tancredi,Matthew C Monroe,Betsy Wahl,All
Marissa Brumbach,23,432,243,127,112,20,0,0,0,891,801,623,587,557,498,547,433,318,350,281,337,302,284,254,271,238,210,170,149,171,150,128,126,108,79,29,0,0,0,0,All
Matt Wolf,,12,96,33,19,16,0,0,0,478,383,275,249,212,254,249,281,266,200,154,184,178,175,166,182,189,138,132,122,89,80,80,62,100,50,21,0,0,0,0,All
George Twardy,,,10,26,17,5,0,0,0,303,272,180,175,219,221,144,172,192,234,157,93,168,118,123,86,91,95,153,96,64,49,48,34,80,40,15,0,0,1,0,All
Jon Marshall,,,,3,7,4,0,0,0,111,115,101,101,98,55,107,44,69,55,57,34,61,29,60,70,63,40,34,43,29,48,41,25,18,42,13,0,0,0,0,All
Sherman Toppin,,,,,4,5,0,0,0,102,99,124,107,92,74,92,86,34,44,71,71,46,47,34,36,30,52,43,17,68,27,43,58,24,11,9,0,0,0,0,All
Bill Rice,,,,,,0,1,0,0,27,16,24,24,17,13,21,26,20,8,19,23,12,14,13,14,20,18,11,12,16,6,11,16,16,12,15,0,0,0,0,All
Crystal B Powell,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All
Betsy Wahl,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All
Christian Dicicco,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All
Stella Tsai,,,,,,,,,,14,785,581,547,517,491,499,444,331,362,270,334,345,314,238,250,225,167,190,159,161,126,116,103,137,65,25,0,0,0,0,All
Vikki Kristiansson,,,,,,,,,,,4,533,518,529,509,464,347,261,272,307,299,261,225,284,241,192,159,82,86,127,121,104,88,60,54,17,0,0,1,0,All
Jennifer Schultz,,,,,,,,,,,,1,520,440,309,462,294,134,198,218,214,167,202,114,129,116,114,90,61,151,114,129,130,51,72,22,0,0,0,0,All
Wendi Barish,,,,,,,,,,,,,4,427,294,451,260,112,211,220,194,184,178,110,138,88,91,73,77,133,95,108,102,41,65,14,1,1,0,0,All
Lucretia C Clemons,,,,,,,,,,,,,,3,374,350,166,95,238,285,98,203,112,136,114,72,85,83,108,134,91,132,94,66,71,18,0,0,1,0,All
Henry Mcgregor Sias,,,,,,,,,,,,,,,12,220,177,194,216,245,137,211,79,221,175,156,135,66,38,52,76,90,44,49,30,10,0,0,1,0,All
Deborah Canty,,,,,,,,,,,,,,,,3,259,135,142,174,210,129,179,109,139,104,101,77,77,127,99,96,105,39,62,19,1,1,0,0,All
Deborah Cianfrani,,,,,,,,,,,,,,,,,5,233,130,79,286,117,269,132,136,140,121,142,86,171,38,45,118,94,25,14,1,1,0,0,All
Vincent Furlong,,,,,,,,,,,,,,,,,,12,187,100,157,136,125,177,174,191,128,170,119,57,80,32,37,85,33,26,0,0,0,0,All
Zac Shaffer,,,,,,,,,,,,,,,,,,,1,143,66,229,101,72,72,68,90,190,131,55,78,51,29,114,33,14,0,0,0,0,All
Leon Goodman,,,,,,,,,,,,,,,,,,,,0,51,149,45,143,109,81,73,47,70,51,82,91,46,25,30,14,1,1,1,0,All
Rania Major,,,,,,,,,,,,,,,,,,,,,3,45,193,116,124,121,98,53,18,100,50,25,69,27,13,12,1,1,0,0,All
Daniel R Sulman,,,,,,,,,,,,,,,,,,,,,,1,85,89,84,89,83,107,106,28,66,37,16,91,33,11,0,0,0,0,All
Shanese Johnson,,,,,,,,,,,,,,,,,,,,,,,7,53,56,48,70,97,64,117,21,16,66,72,10,9,1,1,0,0,All
John Macoretta,,,,,,,,,,,,,,,,,,,,,,,,2,160,157,77,51,39,24,47,35,19,18,28,17,0,0,1,0,All
Lawrence J Bozzelli,,,,,,,,,,,,,,,,,,,,,,,,,0,170,83,52,59,18,78,39,22,21,43,14,0,0,0,0,All
Brian Mclaughlin,,,,,,,,,,,,,,,,,,,,,,,,,,5,103,71,50,22,56,44,23,24,36,19,0,0,0,0,All
Mark B Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,9,62,35,44,42,29,39,39,19,26,0,0,0,0,All
Vincent Melchiorre,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,92,56,36,37,39,96,23,18,0,0,0,0,All
David Conroy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,37,51,39,17,77,41,13,0,0,0,0,All
Crystal B Powell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,45,100,59,16,17,0,0,0,0,All
Leonard Deutchman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,36,13,17,29,13,0,0,0,0,All
Mark J Moore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,45,29,40,10,0,0,0,0,All
Terri M Booker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25,21,18,0,0,0,0,All
Danyl S Patterson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,19,15,0,0,0,0,All
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,0,0,0,0,All
Bill Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,All
Christian Dicicco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,All
Dawn M Tancredi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,All
Matthew C Monroe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,All
Betsy Wahl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"1,262",722,532,217,207,60,1,0,0,"1,142","1,022",786,734,732,707,670,624,572,537,440,437,432,388,385,371,370,348,326,260,256,211,199,192,190,122,57,1,1,1,0,All
,Judge Of The Municipal Court - Democrat,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Marissa Brumbach,Matt Wolf,George Twardy,Jon Marshall,Sherman Toppin,Bill Rice,Betsy Wahl,Christian Dicicco,Crystal B Powell,Stella Tsai,Vikki Kristiansson,Wendi Barish,Jennifer Schultz,Lucretia C Clemons,Henry Mcgregor Sias,Deborah Canty,Deborah Cianfrani,Zac Shaffer,Vincent Furlong,Leon Goodman,Rania Major,Shanese Johnson,John Macoretta,Daniel R Sulman,Lawrence J Bozzelli,Vincent Melchiorre,Brian Mclaughlin,Mark B Cohen,Crystal B Powell,David Conroy,Leonard Deutchman,Mark J Moore,Terri M Booker,Danyl S Patterson,Jon Marshall,Bill Rice,Betsy Wahl,Christian Dicicco,Dawn M Tancredi,Matthew C Monroe,1
Marissa Brumbach,2,46,30,10,11,1,0,0,0,93,84,65,65,58,50,55,46,43,34,30,39,31,31,26,31,20,24,20,16,13,19,15,14,15,5,1,0,0,0,0,1
Matt Wolf,,2,6,2,1,1,0,0,0,43,40,26,29,25,26,25,21,20,24,16,16,16,16,13,18,12,15,9,6,9,10,10,7,4,4,0,0,0,0,0,1
George Twardy,,,2,5,3,0,0,0,0,37,33,25,19,28,31,16,17,27,15,23,10,12,12,17,11,17,8,9,9,9,6,7,6,6,3,2,0,0,0,0,1
Jon Marshall,,,,0,0,0,0,0,0,14,14,14,10,9,7,11,5,9,4,6,3,4,6,6,5,2,3,2,4,3,3,2,4,1,0,1,0,0,0,0,1
Sherman Toppin,,,,,0,0,0,0,0,5,10,9,8,6,4,7,9,3,2,4,8,7,1,2,3,2,2,6,10,2,1,2,6,7,0,0,0,0,0,0,1
Bill Rice,,,,,,0,0,0,0,1,1,2,0,0,1,0,2,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
Betsy Wahl,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Christian Dicicco,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Crystal B Powell,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Stella Tsai,,,,,,,,,,3,82,66,62,58,49,51,45,48,31,32,30,32,28,32,26,21,20,13,16,13,14,16,12,11,5,1,0,0,0,0,1
