col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,division
,Judge Of The Commonwealth Court - Democrat,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Ellen Ceisler,Joe Cosgrove,Timothy Barry,Todd Eagen,Irene M Clark,Bryan Barbin,Vincent Furlong,Brian Mclaughlin,Vincent Melchiorre,Vikki Kristiansson,Zac Shaffer,Stella Tsai,Mark B Cohen,David Conroy,Deborah Cianfrani,Wendi Barish,Deborah Canty,Jennifer Schultz,Rania Major,Lawrence J Bozzelli,Daniel R Sulman,Leon Goodman,John Macoretta,Lucretia C Clemons,Shanese Johnson,Henry Mcgregor Sias,Crystal B Powell,Terri M Booker,Leonard Deutchman,Bill Rice,Jon Marshall,Mark J Moore,Danyl S Patterson,Christian Dicicco,Dawn M Tancredi,Matthew C Monroe,Betsy Wahl,All
Ellen Ceisler,16,229,104,87,97,19,332,248,271,305,289,277,269,230,239,248,243,227,149,128,175,163,117,177,120,83,119,84,65,67,48,63,51,1,0,1,0,All
Joe Cosgrove,,8,90,35,14,8,278,227,167,215,166,222,160,146,172,134,98,98,107,141,105,88,126,87,75,108,37,37,48,27,37,32,20,0,2,0,0,All
Timothy Barry,,,10,14,5,3,140,150,63,111,55,121,117,52,132,51,58,58,95,89,42,63,90,26,73,71,30,31,17,24,25,21,17,0,0,1,0,All
Todd Eagen,,,,0,2,4,84,74,70,75,66,64,50,55,50,42,53,50,34,24,41,44,32,36,29,30,24,14,19,18,11,12,15,0,0,2,0,All
Irene M Clark,,,,,0,3,36,41,39,60,33,57,58,37,64,59,71,59,33,25,17,24,15,43,37,11,48,33,16,18,14,10,17,1,0,0,0,All
Bryan Barbin,,,,,,0,15,18,18,11,13,9,17,13,12,8,6,12,8,12,8,16,13,6,4,5,4,4,13,8,7,2,2,0,1,0,0,All
Vincent Furlong,,,,,,,26,275,277,250,225,234,215,219,196,144,116,101,123,137,130,127,146,106,95,100,55,42,44,44,31,35,24,0,1,0,0,All
Brian Mclaughlin,,,,,,,,27,195,190,132,196,193,139,215,87,121,119,112,165,87,99,141,54,77,102,40,40,53,51,46,34,28,0,0,0,0,All
Vincent Melchiorre,,,,,,,,,13,141,313,141,140,291,117,115,77,60,54,84,115,70,66,95,48,26,26,25,46,39,20,18,24,0,1,0,0,All
Vikki Kristiansson,,,,,,,,,,9,170,287,141,148,194,189,158,143,149,125,119,92,128,128,120,113,80,53,36,17,13,28,27,0,0,2,0,All
Zac Shaffer,,,,,,,,,,,4,141,142,274,82,142,100,79,59,67,130,113,53,103,40,38,55,28,30,28,31,27,36,1,1,1,0,All
Stella Tsai,,,,,,,,,,,,4,126,116,211,169,152,146,158,124,111,88,118,123,125,113,64,45,34,21,16,29,27,1,0,1,0,All
Mark B Cohen,,,,,,,,,,,,,20,110,161,105,107,111,118,100,88,120,93,67,81,61,64,50,47,41,33,36,32,1,2,1,0,All
David Conroy,,,,,,,,,,,,,,4,67,94,73,52,32,55,91,71,56,95,36,22,40,25,40,34,24,25,32,0,1,1,0,All
Deborah Cianfrani,,,,,,,,,,,,,,,5,117,136,148,156,135,59,59,115,54,102,83,64,59,31,30,21,22,22,0,1,1,0,All
Wendi Barish,,,,,,,,,,,,,,,,1,139,136,76,50,108,86,42,115,65,35,62,42,32,17,23,28,17,1,1,0,0,All
Deborah Canty,,,,,,,,,,,,,,,,,1,166,77,57,65,71,48,71,76,30,84,56,36,37,28,26,28,1,0,1,0,All
