col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,division
,Mayor - Republican,Council At Large - Republican,,,,,,,All
,Billy Ciancaglini,Matt Wolfe,Al Taubenberger,Bill Heeney,Dan Tinney,David Oh,Drew Murray,Irina M Goldstein,All
Billy Ciancaglini,4,44,37,39,37,26,17,14,All
Matt Wolfe,,0,32,33,31,14,12,9,All
Al Taubenberger,,,3,29,26,13,10,8,All
Bill Heeney,,,,0,25,14,9,8,All
Dan Tinney,,,,,3,20,11,10,All
David Oh,,,,,,2,12,9,All
Drew Murray,,,,,,,0,11,All
Irina M Goldstein,,,,,,,,0,All
Total,64,48,42,42,41,29,18,15,All
,Mayor - Republican,Council At Large - Republican,,,,,,,1
,Billy Ciancaglini,Bill Heeney,Matt Wolfe,Al Taubenberger,Dan Tinney,David Oh,Drew Murray,Irina M Goldstein,1
Billy Ciancaglini,0,8,8,5,4,3,3,2,1
Bill Heeney,,0,7,5,4,2,3,2,1
Matt Wolfe,,,0,5,3,2,2,1,1
Al Taubenberger,,,,0,3,1,1,1,1
Dan Tinney,,,,,0,2,1,1,1
David Oh,,,,,,0,1,1,1
Drew Murray,,,,,,,0,2,1
Irina M Goldstein,,,,,,,,0,1
Total,9,8,8,5,4,3,3,2,1
,Council At Large - Republican,,,,,,,Mayor - Republican,2
,Bill Heeney,Dan Tinney,David Oh,Matt Wolfe,Al Taubenberger,Drew Murray,Irina M Goldstein,Billy Ciancaglini,2
Bill Heeney,0,2,2,2,1,0,0,2,2
Dan Tinney,,0,2,2,1,0,0,2,2
David Oh,,,0,2,1,0,0,2,2
Matt Wolfe,,,,0,1,0,0,2,2
Al Taubenberger,,,,,0,0,0,1,2
Drew Murray,,,,,,0,0,0,2
Irina M Goldstein,,,,,,,0,0,2
Billy Ciancaglini,,,,,,,,0,2
Total,2,2,2,2,1,0,0,2,2
,Mayor - Republican,Council At Large - Republican,,,,,,,3
,Billy Ciancaglini,Al Taubenberger,Bill Heeney,Dan Tinney,Matt Wolfe,David Oh,Drew Murray,Irina M Goldstein,3
Billy Ciancaglini,2,3,3,2,3,0,0,0,3
Al Taubenberger,,0,3,2,3,0,0,0,3
Bill Heeney,,,0,2,3,0,0,0,3
Dan Tinney,,,,1,2,0,0,0,3
Matt Wolfe,,,,,0,0,0,0,3
David Oh,,,,,,1,0,0,3
Drew Murray,,,,,,,0,0,3
Irina M Goldstein,,,,,,,,0,3
