col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,division
,City Commissioners - Democrat,,,,,,,,,,,,,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Omar Sabir,Lisa Deeley,Marwan Kreidie,Annette Thompson,Kahlil Williams,Carla Cain,Dennis Lee,Luigi Borda,Jen Devor,Lewis Harris Jr,Warren Bloom,Robin Trent,Moira Bohannon,Adrián Rivera-reyes,Helen Gym,Allan Domb,Deja Lynn Alvarez,Isaiah Thomas,Katherine Gilmore Richardson,Derek S Green,Justin Diberardinis,Willie Floyd Singletary,Ogbonna Paul Hagins,Fernando Treviño,Erika Almirón,Eryn Santamoor,Edwin Santana,Beth Finn,Sandra Dungee Glenn,Joseph A Diorio,Asa Khalif,Billy Thompson,Latrice Y Bryant,Ethelind Baylor,Vinny Black,Fareed Abdullah,Hena Veit,Bobbie Curry,Devon Cade,Wayne Allen,Mark Ross,Wayne Edmund Dorsey,Sherrie Cohen,All
Omar Sabir,15,181,43,10,26,6,12,3,4,1,1,0,0,109,103,146,107,168,131,148,122,86,61,20,23,14,15,7,15,10,15,9,11,9,11,12,3,5,7,7,8,3,0,All
Lisa Deeley,,15,30,33,11,11,12,9,5,2,3,2,0,95,107,151,91,141,139,132,143,39,35,36,38,24,30,21,13,16,13,11,10,13,7,7,13,5,7,5,5,4,0,All
Marwan Kreidie,,,9,3,2,4,2,7,2,0,0,0,0,94,68,14,82,5,9,9,5,49,50,16,3,14,9,8,3,7,6,3,3,3,7,1,4,4,1,2,3,0,0,All
Annette Thompson,,,,1,9,11,2,1,3,3,4,0,0,25,41,26,23,17,24,9,14,6,8,16,19,10,7,14,15,8,10,12,9,2,5,6,11,1,4,6,4,2,0,All
Kahlil Williams,,,,,1,1,1,2,5,4,2,1,0,17,31,31,19,33,21,23,16,12,4,9,12,12,7,10,8,4,11,8,5,3,6,9,4,4,6,5,2,1,1,All
Carla Cain,,,,,,0,4,3,3,2,0,2,1,16,22,13,17,6,14,5,4,5,4,14,16,5,12,10,13,3,9,3,8,3,3,4,7,4,4,4,2,2,0,All
Dennis Lee,,,,,,,1,5,1,2,2,1,1,12,17,22,8,11,8,7,5,8,5,13,5,15,6,8,9,8,2,6,6,5,6,3,4,4,3,1,5,2,0,All
Luigi Borda,,,,,,,,0,1,0,1,1,1,15,15,12,12,5,3,7,6,1,3,18,5,5,10,9,3,9,1,4,5,3,6,3,2,5,3,4,5,0,0,All
Jen Devor,,,,,,,,,0,1,0,1,0,9,14,9,2,7,7,2,12,1,0,4,9,4,4,4,3,4,5,5,1,3,1,0,2,3,3,1,0,3,0,All
Lewis Harris Jr,,,,,,,,,,0,0,2,0,5,5,10,6,1,4,2,3,3,3,2,6,2,4,2,1,0,2,6,2,2,2,3,2,2,1,2,0,3,0,All
Warren Bloom,,,,,,,,,,,0,1,1,3,7,6,4,2,1,2,3,1,0,3,0,2,4,3,4,4,0,2,1,0,2,0,1,3,1,1,2,2,0,All
Robin Trent,,,,,,,,,,,,0,1,3,8,5,5,1,2,1,1,0,0,1,2,2,1,3,2,2,1,2,3,1,1,0,2,2,3,3,1,1,0,All
Moira Bohannon,,,,,,,,,,,,,0,3,2,2,2,1,1,0,1,0,1,4,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,All
