col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheriff - Democrat,,,,All
,Isaiah Thomas,Allan Domb,Helen Gym,Katherine Gilmore Richardson,Derek S Green,Eryn Santamoor,Adrián Rivera-reyes,Deja Lynn Alvarez,Willie Floyd Singletary,Erika Almirón,Ogbonna Paul Hagins,Sandra Dungee Glenn,Beth Finn,Fernando Treviño,Billy Thompson,Justin Diberardinis,Joseph A Diorio,Asa Khalif,Fareed Abdullah,Latrice Y Bryant,Edwin Santana,Ethelind Baylor,Hena Veit,Wayne Allen,Vinny Black,Bobbie Curry,Mark Ross,Wayne Edmund Dorsey,Devon Cade,Sherrie Cohen,Jewell Williams,Rochelle Bilal,Malika Rahman,Larry King Sr,All
Isaiah Thomas,31,321,137,281,306,245,53,31,30,46,12,48,21,17,27,36,19,44,37,32,20,28,12,17,16,7,8,10,11,0,305,86,80,38,All
Allan Domb,,25,152,262,277,281,63,41,31,31,10,38,32,25,38,45,39,27,26,10,26,11,15,19,20,11,9,9,11,0,293,97,70,46,All
Helen Gym,,,12,101,103,99,141,113,95,54,85,43,50,36,40,47,21,26,19,29,18,28,28,10,16,12,8,6,7,0,100,205,143,41,All
Katherine Gilmore Richardson,,,,2,244,229,29,24,11,35,5,48,36,21,22,30,16,16,11,26,11,12,11,8,11,6,11,3,5,0,246,54,55,29,All
Derek S Green,,,,,1,218,24,13,24,22,9,19,12,8,19,33,9,24,20,19,13,23,6,14,8,9,4,8,2,0,274,50,45,25,All
Eryn Santamoor,,,,,,3,45,31,10,33,7,26,28,28,23,26,18,14,8,15,20,7,18,5,9,8,7,4,5,0,248,61,53,29,All
Adrián Rivera-reyes,,,,,,,15,140,104,37,82,17,14,57,23,12,22,12,14,21,31,6,20,6,9,6,6,6,4,0,46,184,107,23,All
Deja Lynn Alvarez,,,,,,,,12,105,28,83,8,16,44,11,11,18,8,7,15,19,11,12,6,6,7,6,2,1,0,32,133,92,16,All
Willie Floyd Singletary,,,,,,,,,7,9,76,7,8,14,16,3,13,11,14,10,2,6,6,5,6,3,3,6,1,0,34,108,68,12,All
Erika Almirón,,,,,,,,,,0,1,21,18,30,8,15,6,4,8,8,19,7,5,2,4,4,1,0,1,0,27,34,40,9,All
Ogbonna Paul Hagins,,,,,,,,,,,1,3,8,7,9,2,6,6,6,3,3,1,5,1,5,1,3,0,1,0,8,62,43,4,All
Sandra Dungee Glenn,,,,,,,,,,,,1,30,8,12,8,13,8,7,17,6,7,8,2,5,5,3,5,0,0,33,41,23,15,All
Beth Finn,,,,,,,,,,,,,2,8,19,9,18,4,5,12,3,6,9,4,10,10,6,6,1,0,21,42,20,22,All
Fernando Treviño,,,,,,,,,,,,,,1,8,6,19,8,4,7,18,3,10,3,1,2,3,4,0,0,19,37,37,12,All
Billy Thompson,,,,,,,,,,,,,,,0,6,17,5,9,5,7,4,11,11,9,9,4,5,3,0,31,24,24,26,All
Justin Diberardinis,,,,,,,,,,,,,,,,3,12,8,5,3,1,10,1,6,5,2,4,2,0,0,25,25,14,12,All
Joseph A Diorio,,,,,,,,,,,,,,,,,1,6,11,7,3,5,8,4,5,7,7,5,5,0,19,28,21,20,All
Asa Khalif,,,,,,,,,,,,,,,,,,0,19,15,7,4,4,7,3,3,3,5,3,0,26,25,31,6,All
Fareed Abdullah,,,,,,,,,,,,,,,,,,,1,8,7,4,1,9,6,3,0,5,5,0,26,18,29,8,All
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,,1,4,7,8,8,3,3,5,3,4,0,32,20,19,6,All
Edwin Santana,,,,,,,,,,,,,,,,,,,,,0,2,2,3,4,3,3,3,1,0,14,18,24,8,All
Ethelind Baylor,,,,,,,,,,,,,,,,,,,,,,1,0,3,0,2,1,4,0,0,25,11,12,8,All
Hena Veit,,,,,,,,,,,,,,,,,,,,,,,0,1,4,1,3,2,0,0,11,18,16,8,All
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,,3,2,5,2,1,2,0,14,10,14,7,All
Vinny Black,,,,,,,,,,,,,,,,,,,,,,,,,0,1,3,2,2,0,16,14,10,4,All
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,2,3,0,10,8,9,11,All
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,11,10,3,8,All
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,8,5,6,9,All
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,7,7,2,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,All
Jewell Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0,0,0,All
