col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,division
,District Council 7th District - Democrat,,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Maria Quiñones Sánchez,Angel L Cruz,Helen Gym,Adrián Rivera-reyes,Deja Lynn Alvarez,Allan Domb,Willie Floyd Singletary,Isaiah Thomas,Katherine Gilmore Richardson,Derek S Green,Ogbonna Paul Hagins,Justin Diberardinis,Erika Almirón,Beth Finn,Fernando Treviño,Asa Khalif,Eryn Santamoor,Fareed Abdullah,Billy Thompson,Hena Veit,Bobbie Curry,Edwin Santana,Ethelind Baylor,Mark Ross,Vinny Black,Wayne Edmund Dorsey,Devon Cade,Joseph A Diorio,Sandra Dungee Glenn,Wayne Allen,Latrice Y Bryant,Sherrie Cohen,All
Maria Quiñones Sánchez,16,0,34,24,19,13,15,15,14,10,6,12,10,8,7,8,6,5,4,4,3,3,3,1,2,1,0,0,3,2,1,0,All
Angel L Cruz,,8,21,15,15,10,11,7,9,7,9,3,3,3,3,2,3,3,1,0,1,1,1,3,2,3,2,3,0,1,1,0,All
Helen Gym,,,0,22,16,16,12,11,9,10,12,8,6,5,3,3,7,2,4,1,0,0,2,1,2,0,1,2,2,1,0,0,All
Adrián Rivera-reyes,,,,0,19,4,16,4,4,1,13,3,7,4,5,2,2,3,1,1,1,3,2,1,0,0,0,1,0,1,0,0,All
Deja Lynn Alvarez,,,,,0,6,12,5,2,3,11,2,3,5,7,3,2,2,1,3,1,2,1,1,0,0,1,0,0,1,0,0,All
Allan Domb,,,,,,0,0,11,10,9,0,4,0,1,3,3,5,1,2,4,1,1,0,1,2,0,2,1,0,0,1,0,All
Willie Floyd Singletary,,,,,,,0,2,1,1,11,1,1,0,2,0,1,1,2,1,0,0,0,0,1,0,0,1,1,1,0,0,All
Isaiah Thomas,,,,,,,,0,13,12,0,6,3,1,1,5,1,2,2,1,0,0,2,0,0,1,2,1,0,1,0,0,All
Katherine Gilmore Richardson,,,,,,,,,0,11,0,8,4,1,0,5,3,2,0,2,0,0,0,1,0,2,0,1,1,2,0,0,All
