col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,division
,City Commissioners - Republican,Council At Large - Republican,,,,,,,All
,Al Schmidt,Al Taubenberger,Dan Tinney,Bill Heeney,Matt Wolfe,David Oh,Drew Murray,Irina M Goldstein,All
Al Schmidt,1,10,10,9,10,4,3,2,All
Al Taubenberger,,0,10,10,8,3,3,2,All
Dan Tinney,,,0,10,8,2,2,2,All
Bill Heeney,,,,0,8,3,2,1,All
Matt Wolfe,,,,,0,2,2,1,All
David Oh,,,,,,1,2,1,All
Drew Murray,,,,,,,0,3,All
Irina M Goldstein,,,,,,,,0,All
Total,15,12,12,11,10,5,4,3,All
,City Commissioners - Republican,Council At Large - Republican,,,,,,,1
,Al Schmidt,Al Taubenberger,Dan Tinney,Drew Murray,Irina M Goldstein,Matt Wolfe,Bill Heeney,David Oh,1
Al Schmidt,0,1,1,1,1,1,0,0,1
Al Taubenberger,,0,1,1,1,1,0,0,1
Dan Tinney,,,0,1,1,1,0,0,1
Drew Murray,,,,0,1,1,0,0,1
Irina M Goldstein,,,,,0,1,0,0,1
Matt Wolfe,,,,,,0,0,0,1
Bill Heeney,,,,,,,0,0,1
David Oh,,,,,,,,0,1
Total,1,1,1,1,1,1,0,0,1
,Council At Large - Republican,,,,,,,City Commissioners - Republican,3
,Al Taubenberger,Bill Heeney,Dan Tinney,Drew Murray,Irina M Goldstein,David Oh,Matt Wolfe,Al Schmidt,3
Al Taubenberger,0,2,2,1,1,0,0,0,3
Bill Heeney,,0,2,1,1,0,0,0,3
Dan Tinney,,,0,1,1,0,0,0,3
Drew Murray,,,,0,2,1,0,1,3
Irina M Goldstein,,,,,0,1,0,1,3
David Oh,,,,,,0,0,1,3
Matt Wolfe,,,,,,,0,0,3
Al Schmidt,,,,,,,,0,3
Total,2,2,2,2,2,1,0,1,3
,City Commissioners - Republican,Council At Large - Republican,,,,,,,4
,Al Schmidt,Al Taubenberger,Bill Heeney,Dan Tinney,Matt Wolfe,David Oh,Drew Murray,Irina M Goldstein,4
Al Schmidt,0,1,1,1,1,0,0,0,4
Al Taubenberger,,0,1,1,1,0,0,0,4
Bill Heeney,,,0,1,1,0,0,0,4
Dan Tinney,,,,0,1,0,0,0,4
