col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Helen Gym,Allan Domb,Justin Diberardinis,Katherine Gilmore Richardson,Derek S Green,Adrián Rivera-reyes,Eryn Santamoor,Deja Lynn Alvarez,Isaiah Thomas,Beth Finn,Erika Almirón,Joseph A Diorio,Sandra Dungee Glenn,Billy Thompson,Willie Floyd Singletary,Ogbonna Paul Hagins,Fernando Treviño,Bobbie Curry,Vinny Black,Mark Ross,Wayne Edmund Dorsey,Ethelind Baylor,Hena Veit,Asa Khalif,Latrice Y Bryant,Edwin Santana,Wayne Allen,Fareed Abdullah,Devon Cade,Sherrie Cohen,All
Isaiah Thomas,,,,,,,,,0,0,1,0,1,0,2,1,0,0,1,2,1,0,0,1,1,0,1,0,0,0,3
Billy Thompson,,,,,,,,,,0,6,3,0,0,1,5,3,0,0,0,1,4,0,0,0,0,0,0,0,0,3
Joseph A Diorio,,,,,,,,,,,1,3,0,0,2,2,1,1,1,0,0,2,0,0,0,0,1,0,0,0,3
Beth Finn,,,,,,,,,,,,1,2,0,0,2,2,0,0,0,1,1,1,0,1,2,0,0,0,0,3
Erika Almirón,,,,,,,,,,,,,1,0,2,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,3
Willie Floyd Singletary,,,,,,,,,,,,,,2,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,3
Fernando Treviño,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3
Mark Ross,,,,,,,,,,,,,,,,0,2,0,1,0,0,2,0,0,1,0,0,0,0,0,3
Sandra Dungee Glenn,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
Ogbonna Paul Hagins,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,3
Vinny Black,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,1,0,0,0,0,0,3
Ethelind Baylor,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,3
Hena Veit,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,0,0,0,0,3
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,3
Asa Khalif,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0,0,0,0,3
