col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,division
,District Council 3rd District - Democrat,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Jamie Gauthier,Jannie L Blackwell,Jennifer Schultz,Tiffany Palmer,Joshua Roberts,Cateria R Mccabe,Anthony Kyriakakis,Carmella Jacquinto,Wendi Barish,Henry Mcgregor Sias,Kay Yu,Nicola Serianni,Craig Levin,Sherman Toppin,Leon Goodman,James C Crumlish,Kendra Mccrae,Jon Marshall,Janine D Momasso,Terri M Booker,Chris Hall,Laurie Dow,Beth Grossman,Vicki Markovitz,James F Berardinelli,Robert Trimble,Gregory Weyer,All
Jamie Gauthier,"1,873",0,"4,488","5,178","2,500","3,022","3,267","1,849","2,787","2,156","2,876","2,395","1,549","1,183","1,696","1,993","1,810","1,130","1,471","1,267","1,572","1,301","1,319",762,703,331,259,All
Jannie L Blackwell,,"1,963","2,564","1,410","3,638","2,282","1,819","1,941","1,053","1,477",625,"1,030","1,820","1,788","1,194",849,"1,066","1,358",856,"1,021",516,726,624,369,370,305,206,All
Jennifer Schultz,,,69,"3,155","1,371","2,028","1,324",715,"2,149","1,111","1,733","2,334","1,402",309,814,"1,011",930,"1,269","1,137",512,501,583,873,479,252,207,100,All
Tiffany Palmer,,,,15,535,"2,368","2,554",793,"2,361","1,681","2,613","2,061",457,328,"1,159","1,605","1,311",312,"1,229",839,"1,465",674,762,451,528,184,219,All
Joshua Roberts,,,,,136,"2,154","2,015","2,045",569,"1,764",249,607,"1,338","2,221",789,744,534,"1,243",196,664,300,404,383,196,163,195,89,All
Cateria R Mccabe,,,,,,14,"2,370","2,071","1,468","2,439","1,134","1,724",409,"2,206",714,275,930,242,"1,394",636,242,490,319,223,255,118,140,All
Anthony Kyriakakis,,,,,,,14,"1,971",878,"2,532","1,505",648,276,"1,912",885,"1,653",540,154,314,231,"1,277",253,287,208,264,81,85,All
Carmella Jacquinto,,,,,,,,21,647,"1,630",485,500,431,"1,789",679,547,835,158,570,549,237,510,471,277,198,122,75,All
Wendi Barish,,,,,,,,,1,605,973,"1,735",501,231,525,609,731,325,"1,137",507,394,582,740,429,318,121,122,All
Henry Mcgregor Sias,,,,,,,,,,6,"1,166",657,127,"1,775",339,339,238,97,250,130,303,167,168,166,217,54,96,All
Kay Yu,,,,,,,,,,,20,895,214,203,650,775,658,125,355,402,629,360,372,257,336,91,114,All
Nicola Serianni,,,,,,,,,,,,7,523,210,425,555,582,420,"1,093",348,221,368,529,322,146,114,139,All
Craig Levin,,,,,,,,,,,,,49,348,508,576,378,"1,105",290,459,235,467,341,193,251,154,79,All
Sherman Toppin,,,,,,,,,,,,,,3,477,187,388,212,265,500,163,335,124,115,111,99,74,All
Leon Goodman,,,,,,,,,,,,,,,8,866,788,436,497,760,408,420,387,256,258,210,113,All
James C Crumlish,,,,,,,,,,,,,,,,16,335,373,204,296,"1,213",306,246,133,264,156,34,All
Kendra Mccrae,,,,,,,,,,,,,,,,,11,291,536,853,439,537,596,298,184,211,93,All
Jon Marshall,,,,,,,,,,,,,,,,,,24,88,300,189,201,266,110,101,149,51,All
Janine D Momasso,,,,,,,,,,,,,,,,,,,10,368,81,412,338,208,303,58,134,All
Terri M Booker,,,,,,,,,,,,,,,,,,,,17,353,548,397,180,112,190,103,All
Chris Hall,,,,,,,,,,,,,,,,,,,,,1,279,248,98,168,165,61,All
Laurie Dow,,,,,,,,,,,,,,,,,,,,,,16,477,203,249,110,86,All
Beth Grossman,,,,,,,,,,,,,,,,,,,,,,,3,389,180,87,68,All
Vicki Markovitz,,,,,,,,,,,,,,,,,,,,,,,,2,119,78,36,All
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,,,2,55,57,All
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,,,,,5,39,All
Gregory Weyer,,,,,,,,,,,,,,,,,,,,,,,,,,,1,All
Total,"13,193","10,432","7,427","6,888","6,648","5,784","5,440","4,099","4,018","3,988","3,664","3,656","3,557","3,282","3,017","3,009","2,962","2,597","2,511","2,390","2,158","2,113","1,986","1,156","1,153",668,499,All
