col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,division
,District Council 6th District - Democrat,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Bobby Henon,Helen Gym,Allan Domb,Katherine Gilmore Richardson,Isaiah Thomas,Derek S Green,Eryn Santamoor,Justin Diberardinis,Adrián Rivera-reyes,Deja Lynn Alvarez,Beth Finn,Erika Almirón,Willie Floyd Singletary,Joseph A Diorio,Sandra Dungee Glenn,Ogbonna Paul Hagins,Billy Thompson,Fernando Treviño,Hena Veit,Vinny Black,Bobbie Curry,Latrice Y Bryant,Mark Ross,Asa Khalif,Ethelind Baylor,Fareed Abdullah,Edwin Santana,Wayne Allen,Wayne Edmund Dorsey,Devon Cade,Sherrie Cohen,All
Bobby Henon,665,"3,536","2,820","1,665","1,625","1,546","1,261","1,167","1,292","1,118",793,644,782,623,543,519,477,412,397,327,324,315,269,267,247,247,237,202,156,149,1,All
Helen Gym,,133,"2,030","1,354","1,199","1,190",950,863,744,632,519,535,453,277,363,415,236,243,228,134,144,143,120,131,196,101,86,75,55,59,0,All
Allan Domb,,,164,"1,256","1,263","1,368",974,936,269,216,387,228,140,386,270,58,258,156,165,209,161,70,174,103,99,102,89,114,80,80,1,All
Katherine Gilmore Richardson,,,,13,"1,011","1,012",544,362,139,134,300,268,65,136,280,34,100,143,92,70,90,98,62,51,66,52,37,35,41,26,1,All
Isaiah Thomas,,,,,39,"1,106",287,385,174,130,87,172,97,90,117,46,92,72,61,55,22,104,38,116,133,123,63,53,39,37,0,All
Derek S Green,,,,,,24,410,427,113,108,85,95,56,90,84,35,105,52,45,87,58,53,61,59,102,70,49,72,30,22,0,All
Eryn Santamoor,,,,,,,36,477,223,182,272,261,81,152,156,40,111,165,132,80,83,67,77,56,46,30,60,23,26,40,0,All
Justin Diberardinis,,,,,,,,32,153,84,235,306,25,197,113,22,93,72,139,98,85,41,81,57,114,30,44,43,30,35,0,All
Adrián Rivera-reyes,,,,,,,,,32,600,136,159,425,109,79,372,78,198,91,42,36,72,26,57,44,52,94,27,18,23,1,All
Deja Lynn Alvarez,,,,,,,,,,31,116,158,415,77,68,363,47,146,74,28,42,68,37,64,44,30,81,27,19,19,2,All
Beth Finn,,,,,,,,,,,7,176,40,163,217,33,120,60,102,64,101,57,72,41,49,24,41,43,41,29,0,All
Erika Almirón,,,,,,,,,,,,4,26,41,134,23,40,142,144,26,36,68,18,55,79,26,44,17,13,19,1,All
Willie Floyd Singletary,,,,,,,,,,,,,19,67,36,338,61,50,42,31,34,59,26,28,17,25,22,25,28,18,0,All
Joseph A Diorio,,,,,,,,,,,,,,22,65,39,144,74,61,80,110,31,86,23,16,18,40,41,46,34,0,All
Sandra Dungee Glenn,,,,,,,,,,,,,,,5,21,49,38,62,38,54,71,33,43,40,24,19,25,24,11,0,All
Ogbonna Paul Hagins,,,,,,,,,,,,,,,,18,32,44,29,13,9,12,10,24,9,20,9,6,7,6,0,All
Billy Thompson,,,,,,,,,,,,,,,,,9,42,41,61,95,32,66,19,14,25,22,50,32,28,0,All
Fernando Treviño,,,,,,,,,,,,,,,,,,5,53,19,26,32,20,20,17,24,68,17,13,13,0,All
Hena Veit,,,,,,,,,,,,,,,,,,,8,40,30,38,28,30,15,21,13,10,17,18,0,All
Vinny Black,,,,,,,,,,,,,,,,,,,,12,31,22,35,26,17,13,15,29,16,35,0,All
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,4,28,68,11,10,8,34,33,31,24,1,All
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,,,,4,22,46,27,42,18,21,21,18,0,All
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,1,12,14,15,11,43,31,10,0,All
Asa Khalif,,,,,,,,,,,,,,,,,,,,,,,,4,27,83,24,30,10,17,0,All
Ethelind Baylor,,,,,,,,,,,,,,,,,,,,,,,,,2,24,10,24,14,3,0,All
Fareed Abdullah,,,,,,,,,,,,,,,,,,,,,,,,,,8,16,29,10,10,0,All
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,,,,,,4,19,14,12,0,All
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,18,15,0,All
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,18,0,All
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"7,325","4,538","3,931","2,164","2,065","1,997","1,777","1,741","1,527","1,306","1,018",922,880,812,686,617,609,556,524,434,414,369,356,346,343,307,295,263,204,182,2,All
