col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,District Council 1st District - Democrat,,All
,Helen Gym,Eryn Santamoor,Allan Domb,Justin Diberardinis,Derek S Green,Erika Almirón,Katherine Gilmore Richardson,Isaiah Thomas,Adrián Rivera-reyes,Deja Lynn Alvarez,Beth Finn,Fernando Treviño,Sandra Dungee Glenn,Ethelind Baylor,Asa Khalif,Ogbonna Paul Hagins,Hena Veit,Willie Floyd Singletary,Latrice Y Bryant,Joseph A Diorio,Fareed Abdullah,Billy Thompson,Mark Ross,Edwin Santana,Vinny Black,Bobbie Curry,Wayne Allen,Devon Cade,Wayne Edmund Dorsey,Sherrie Cohen,Mark F Squilla,Lou Lanni,All
Helen Gym,36,"1,851","1,339","1,451","1,305","1,273","1,072",907,830,669,567,471,243,246,121,152,115,90,99,59,73,72,45,37,28,29,32,23,8,0,"2,745",663,All
Eryn Santamoor,,9,"1,056",930,986,629,830,619,361,210,306,363,93,60,47,39,47,20,30,26,30,21,15,18,15,19,12,13,6,0,"1,809",312,All
Allan Domb,,,57,748,766,242,423,396,257,151,300,173,109,41,49,27,41,28,37,65,44,61,52,19,34,28,28,26,15,0,"1,488",341,All
Justin Diberardinis,,,,21,661,687,295,480,424,270,227,146,71,168,39,21,25,11,35,38,28,26,21,18,12,11,11,9,4,0,"1,405",288,All
Derek S Green,,,,,1,326,540,650,207,222,165,96,71,44,42,18,15,14,15,17,19,28,10,15,7,6,15,3,4,0,"1,341",189,All
Erika Almirón,,,,,,0,385,329,341,300,213,265,109,195,78,33,37,2,38,10,32,12,12,11,9,7,8,5,1,0,"1,076",249,All
Katherine Gilmore Richardson,,,,,,,2,331,158,159,236,231,121,37,36,31,47,12,44,20,16,26,11,14,13,13,9,12,4,0,"1,060",193,All
Isaiah Thomas,,,,,,,,0,172,91,86,39,54,139,34,20,15,11,21,17,23,21,15,21,4,4,11,10,1,0,911,162,All
Adrián Rivera-reyes,,,,,,,,,6,427,198,166,65,72,55,131,38,73,40,27,39,37,10,26,16,12,9,8,7,0,790,300,All
Deja Lynn Alvarez,,,,,,,,,,5,164,82,65,59,75,103,33,84,48,22,30,14,15,9,10,6,11,7,4,0,625,251,All
Beth Finn,,,,,,,,,,,3,78,115,47,39,16,66,18,46,29,23,33,28,14,13,22,22,11,10,0,533,240,All
Fernando Treviño,,,,,,,,,,,,3,19,15,23,24,15,12,14,16,24,24,11,20,9,11,11,8,2,0,451,123,All
Sandra Dungee Glenn,,,,,,,,,,,,,2,20,44,8,33,9,38,18,19,8,10,5,11,11,8,5,4,0,212,119,All
Ethelind Baylor,,,,,,,,,,,,,,0,14,7,5,0,15,4,10,5,3,6,3,0,8,0,2,0,210,65,All
Asa Khalif,,,,,,,,,,,,,,,1,10,19,11,22,10,43,6,7,10,11,6,7,4,2,0,135,70,All
Ogbonna Paul Hagins,,,,,,,,,,,,,,,,1,17,59,10,5,14,11,1,8,3,5,3,0,0,0,112,92,All
Hena Veit,,,,,,,,,,,,,,,,,0,12,17,13,8,7,8,7,6,4,4,6,3,0,92,74,All
Willie Floyd Singletary,,,,,,,,,,,,,,,,,,2,10,13,8,17,5,5,5,6,6,4,3,0,80,82,All
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,0,9,16,9,4,6,3,7,4,9,3,0,86,73,All
Joseph A Diorio,,,,,,,,,,,,,,,,,,,,3,9,19,11,1,18,9,7,8,4,0,84,47,All
Fareed Abdullah,,,,,,,,,,,,,,,,,,,,,0,6,4,3,8,5,3,3,4,0,79,54,All
Billy Thompson,,,,,,,,,,,,,,,,,,,,,,1,9,3,12,10,9,11,2,0,70,59,All
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,0,4,8,6,8,1,3,0,55,31,All
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,6,0,1,0,38,30,All
Vinny Black,,,,,,,,,,,,,,,,,,,,,,,,,0,11,1,10,1,0,39,32,All
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,7,3,0,36,32,All
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,0,40,25,All
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,24,25,All
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,18,8,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,All
Mark F Squilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,0,All
Lou Lanni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,All
Total,"3,793","2,333","2,101","1,940","1,668","1,485","1,329","1,177","1,175",943,840,627,365,315,224,216,174,170,168,145,141,137,90,76,76,69,67,55,27,0,"3,672","1,056",All
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,District Council 1st District - Democrat,,1
,Helen Gym,Eryn Santamoor,Justin Diberardinis,Allan Domb,Katherine Gilmore Richardson,Derek S Green,Erika Almirón,Isaiah Thomas,Beth Finn,Fernando Treviño,Adrián Rivera-reyes,Deja Lynn Alvarez,Sandra Dungee Glenn,Asa Khalif,Ethelind Baylor,Joseph A Diorio,Hena Veit,Fareed Abdullah,Billy Thompson,Ogbonna Paul Hagins,Willie Floyd Singletary,Bobbie Curry,Latrice Y Bryant,Mark Ross,Vinny Black,Edwin Santana,Devon Cade,Wayne Allen,Sherrie Cohen,Wayne Edmund Dorsey,Mark F Squilla,Lou Lanni,1
Helen Gym,1,126,100,75,80,68,74,55,30,41,34,19,12,2,9,4,7,5,3,6,4,3,3,4,2,2,3,2,0,0,159,33,1
Eryn Santamoor,,0,83,64,71,56,46,51,19,34,20,6,2,2,2,2,1,2,0,1,1,2,2,0,1,2,1,0,0,0,132,12,1
