col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Helen Gym,Isaiah Thomas,Allan Domb,Derek S Green,Katherine Gilmore Richardson,Adrián Rivera-reyes,Deja Lynn Alvarez,Willie Floyd Singletary,Erika Almirón,Justin Diberardinis,Sandra Dungee Glenn,Ogbonna Paul Hagins,Eryn Santamoor,Fareed Abdullah,Asa Khalif,Ethelind Baylor,Billy Thompson,Latrice Y Bryant,Fernando Treviño,Beth Finn,Joseph A Diorio,Edwin Santana,Hena Veit,Wayne Allen,Bobbie Curry,Wayne Edmund Dorsey,Vinny Black,Mark Ross,Devon Cade,Sherrie Cohen,All
Helen Gym,205,435,412,369,340,193,142,112,157,145,92,118,100,58,61,80,51,36,41,41,14,16,33,15,15,14,15,13,11,1,All
Isaiah Thomas,,29,337,360,317,47,35,57,82,90,52,19,39,62,47,55,29,31,21,18,14,14,8,16,7,13,7,16,14,0,All
Allan Domb,,,74,319,291,55,27,43,22,38,54,19,61,44,33,17,32,17,15,19,14,15,9,12,11,13,9,10,12,0,All
Derek S Green,,,,17,284,30,20,36,39,56,39,14,44,35,36,23,14,19,11,9,7,15,7,12,9,8,6,7,6,0,All
Katherine Gilmore Richardson,,,,,12,23,28,23,43,30,63,8,40,31,22,11,29,27,13,17,4,11,13,6,8,4,8,9,10,0,All
Adrián Rivera-reyes,,,,,,72,132,110,48,36,18,108,46,21,19,19,14,14,34,24,15,10,17,9,9,4,6,2,9,0,All
Deja Lynn Alvarez,,,,,,,63,102,41,19,22,85,25,15,18,15,14,25,30,13,11,4,10,2,9,9,6,6,5,1,All
Willie Floyd Singletary,,,,,,,,80,2,6,13,78,18,18,17,9,19,14,19,7,17,10,9,10,5,8,5,8,3,0,All
Erika Almirón,,,,,,,,,2,88,51,5,41,15,21,55,15,13,17,14,2,4,14,8,3,2,3,3,2,0,All
Justin Diberardinis,,,,,,,,,,2,37,3,49,11,8,57,2,7,14,8,17,15,5,4,3,2,3,4,3,0,All
Sandra Dungee Glenn,,,,,,,,,,,8,9,28,15,23,11,21,19,19,11,19,24,9,4,7,6,8,2,0,0,All
Ogbonna Paul Hagins,,,,,,,,,,,,18,9,15,9,6,12,7,10,6,2,3,5,3,4,1,4,2,1,1,All
Eryn Santamoor,,,,,,,,,,,,,2,12,6,5,14,17,19,11,10,8,9,4,8,3,3,7,8,0,All
Fareed Abdullah,,,,,,,,,,,,,,6,48,12,7,21,10,4,2,5,5,14,7,4,4,5,4,0,All
Asa Khalif,,,,,,,,,,,,,,,1,9,15,17,7,3,4,8,5,11,7,3,10,5,0,0,All
Ethelind Baylor,,,,,,,,,,,,,,,,4,4,8,2,6,2,8,6,8,2,0,1,1,0,0,All
Billy Thompson,,,,,,,,,,,,,,,,,3,12,10,6,9,4,7,4,7,4,8,4,2,0,All
Latrice Y Bryant,,,,,,,,,,,,,,,,,,4,8,10,7,5,5,8,5,4,6,7,6,0,All
Fernando Treviño,,,,,,,,,,,,,,,,,,,2,7,20,19,10,5,8,3,1,1,2,0,All
Beth Finn,,,,,,,,,,,,,,,,,,,,5,6,6,8,4,4,2,4,3,4,0,All
Joseph A Diorio,,,,,,,,,,,,,,,,,,,,,3,15,8,1,5,3,3,5,5,0,All
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,2,1,5,2,1,2,0,1,0,All
Hena Veit,,,,,,,,,,,,,,,,,,,,,,,0,4,1,1,5,2,1,0,All
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,,1,3,5,4,4,2,0,All
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,9,2,1,All
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,8,3,1,2,0,All
Vinny Black,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,5,0,All
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,All
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"1,101",646,645,524,475,387,315,309,214,203,192,184,180,146,127,119,105,103,102,76,67,63,58,49,46,42,40,38,33,1,All
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Helen Gym,Isaiah Thomas,Erika Almirón,Allan Domb,Derek S Green,Katherine Gilmore Richardson,Adrián Rivera-reyes,Deja Lynn Alvarez,Justin Diberardinis,Eryn Santamoor,Ethelind Baylor,Sandra Dungee Glenn,Asa Khalif,Latrice Y Bryant,Fareed Abdullah,Beth Finn,Willie Floyd Singletary,Fernando Treviño,Ogbonna Paul Hagins,Hena Veit,Wayne Allen,Billy Thompson,Edwin Santana,Joseph A Diorio,Wayne Edmund Dorsey,Devon Cade,Vinny Black,Bobbie Curry,Mark Ross,Sherrie Cohen,1
Helen Gym,11,44,32,36,33,31,20,17,24,16,18,9,10,6,5,5,5,7,5,6,3,1,1,1,1,0,0,0,0,0,1
Isaiah Thomas,,3,15,25,28,24,8,8,15,5,10,7,5,6,6,2,2,3,2,0,3,2,1,1,1,0,0,0,0,0,1
Erika Almirón,,,0,1,11,5,12,11,23,15,17,10,5,3,0,4,0,2,0,4,3,1,0,1,0,0,1,0,0,0,1
Allan Domb,,,,2,22,26,2,4,3,1,2,4,5,2,3,2,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1
Derek S Green,,,,,1,24,6,6,8,4,4,3,2,4,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1
Katherine Gilmore Richardson,,,,,,0,3,5,4,4,3,5,4,2,1,3,0,2,1,1,0,1,0,0,0,1,0,0,0,0,1
Adrián Rivera-reyes,,,,,,,3,18,7,10,8,3,2,3,1,7,4,3,5,4,3,1,2,1,0,0,1,0,0,0,1
Deja Lynn Alvarez,,,,,,,,2,5,11,7,3,2,5,1,6,5,3,3,3,0,1,0,1,0,0,0,0,0,0,1
