col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,Sheriff - Democrat,,,,All
,Jennifer Schultz,Joshua Roberts,Tiffany Palmer,Anthony Kyriakakis,Cateria R Mccabe,Carmella Jacquinto,Sherman Toppin,Kay Yu,Craig Levin,Leon Goodman,Terri M Booker,Wendi Barish,Kendra Mccrae,Henry Mcgregor Sias,Jon Marshall,James C Crumlish,Janine D Momasso,Chris Hall,Beth Grossman,Laurie Dow,Nicola Serianni,Vicki Markovitz,James F Berardinelli,Robert Trimble,Gregory Weyer,Rochelle Bilal,Jewell Williams,Malika Rahman,Larry King Sr,All
Jennifer Schultz,38,248,335,218,160,124,76,242,238,139,117,216,128,82,208,108,99,142,133,104,173,61,31,42,18,462,214,262,30,All
Joshua Roberts,,59,104,288,308,322,350,53,209,167,142,82,78,243,196,150,85,40,56,48,69,38,21,42,11,257,453,152,30,All
Tiffany Palmer,,,11,307,202,122,85,315,69,157,183,188,200,97,63,160,106,257,123,117,126,71,78,43,17,299,181,228,27,All
Anthony Kyriakakis,,,,2,327,264,301,210,33,76,35,93,45,296,20,131,65,200,48,34,58,32,41,17,7,159,303,131,18,All
Cateria R Mccabe,,,,,4,269,327,108,43,98,86,102,127,264,18,35,138,39,57,67,85,40,39,17,6,159,325,84,15,All
Carmella Jacquinto,,,,,,7,272,74,48,124,113,94,108,218,31,85,89,40,75,67,49,47,13,18,13,110,339,86,10,All
Sherman Toppin,,,,,,,4,50,55,109,109,37,82,243,35,50,85,34,29,53,41,31,18,23,12,100,323,69,17,All
Kay Yu,,,,,,,,4,43,73,101,96,125,66,28,65,65,149,81,80,77,33,35,26,9,201,115,136,12,All
Craig Levin,,,,,,,,,14,81,67,75,54,19,179,64,44,33,62,51,68,28,17,27,15,194,122,108,26,All
Leon Goodman,,,,,,,,,,2,171,99,114,51,73,117,71,76,71,71,53,37,37,42,16,136,187,109,30,All
Terri M Booker,,,,,,,,,,,5,96,151,21,57,90,71,75,77,109,43,23,15,51,19,127,191,106,21,All
Wendi Barish,,,,,,,,,,,,2,94,41,37,77,76,40,109,85,132,53,22,18,9,165,123,86,26,All
Kendra Mccrae,,,,,,,,,,,,,1,25,32,54,79,53,83,95,76,35,21,41,10,163,119,114,19,All
Henry Mcgregor Sias,,,,,,,,,,,,,,0,6,24,47,17,25,18,23,17,28,15,9,85,226,33,10,All
Jon Marshall,,,,,,,,,,,,,,,12,62,29,26,43,27,60,17,14,29,10,156,78,99,24,All
James C Crumlish,,,,,,,,,,,,,,,,4,25,134,43,41,51,19,27,32,7,109,122,100,21,All
Janine D Momasso,,,,,,,,,,,,,,,,,17,28,54,60,61,30,39,17,9,132,124,63,14,All
Chris Hall,,,,,,,,,,,,,,,,,,1,43,49,25,15,34,18,7,109,77,112,13,All
Beth Grossman,,,,,,,,,,,,,,,,,,,2,85,77,67,19,10,15,109,101,86,18,All
Laurie Dow,,,,,,,,,,,,,,,,,,,,1,57,41,21,28,13,120,89,86,16,All
Nicola Serianni,,,,,,,,,,,,,,,,,,,,,1,38,19,21,6,135,73,75,18,All
Vicki Markovitz,,,,,,,,,,,,,,,,,,,,,,0,16,8,9,56,51,50,8,All
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,0,8,3,40,39,36,10,All
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,,,0,6,48,34,33,15,All
Gregory Weyer,,,,,,,,,,,,,,,,,,,,,,,,,0,13,19,18,8,All
Rochelle Bilal,,,,,,,,,,,,,,,,,,,,,,,,,,117,0,0,0,All
Jewell Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,88,0,0,All
