col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,City Commissioners - Democrat,,,,,,,,,,,,,All
,Helen Gym,Allan Domb,Isaiah Thomas,Derek S Green,Katherine Gilmore Richardson,Justin Diberardinis,Adrián Rivera-reyes,Eryn Santamoor,Erika Almirón,Deja Lynn Alvarez,Willie Floyd Singletary,Sandra Dungee Glenn,Ethelind Baylor,Beth Finn,Ogbonna Paul Hagins,Fernando Treviño,Fareed Abdullah,Asa Khalif,Billy Thompson,Latrice Y Bryant,Joseph A Diorio,Hena Veit,Edwin Santana,Wayne Allen,Vinny Black,Mark Ross,Bobbie Curry,Devon Cade,Wayne Edmund Dorsey,Sherrie Cohen,Omar Sabir,Lisa Deeley,Kahlil Williams,Jen Devor,Marwan Kreidie,Annette Thompson,Dennis Lee,Luigi Borda,Carla Cain,Moira Bohannon,Robin Trent,Warren Bloom,Lewis Harris Jr,All
Helen Gym,"2,127","38,120","39,135","38,528","29,252","30,495","20,009","22,605","27,166","14,241","8,080","8,758","10,036","8,043","7,989","6,315","3,985","4,429","3,778","3,614","2,517","2,907","1,791","1,673","1,617","1,385","1,404","1,055",894,6,"38,289","36,234","33,496","19,225","13,441","7,632","5,740","6,351","5,320","3,194","2,570","1,646","1,404",All
Allan Domb,,"2,283","28,958","33,901","23,812","13,627","5,288","15,818","4,234","3,483","2,842","5,895","1,787","3,882","1,319","2,802","3,448","2,602","2,900","1,680","3,106","1,238","1,525","1,619","1,613","1,546","1,267","1,096",968,8,"28,371","27,750","16,833","5,754","4,008","4,756","3,836","3,818","2,867","1,247","1,591","1,869","1,437",All
Isaiah Thomas,,,763,"34,207","24,341","16,393","5,707","7,675","13,456","3,401","2,870","7,084","8,662","2,084","1,433","1,678","4,460","3,744","2,595","2,766","1,474",849,"1,433","1,530","1,012","1,121",596,988,704,13,"32,570","25,091","19,014","7,619","3,602","4,302","4,223","3,167","2,450","1,106","1,506",919,"1,290",All
Derek S Green,,,,486,"25,789","15,973","4,493","12,598","8,146","3,426","2,086","6,200","3,509","2,188","1,069","1,640","3,387","2,809","2,213","2,011","1,112",501,"1,160","1,363","1,020",836,758,442,666,9,"28,890","25,686","19,457","6,519","3,699","3,492","4,118","2,603","2,500",965,"1,400","1,009","1,198",All
Katherine Gilmore Richardson,,,,,262,"6,960","3,477","10,240","6,575","2,739","1,332","5,744","1,581","3,571",925,"2,916","1,863","1,604","1,819","2,102","1,089","1,172",875,753,797,725,721,500,469,11,"23,069","22,237","10,625","5,273","2,678","3,877","2,748","1,966","2,496","1,237","1,315",701,704,All
Justin Diberardinis,,,,,,418,"6,308","13,147","16,105","3,180",497,"3,046","7,362","2,884",685,"2,287",784,"1,111",854,763,"1,752",554,847,435,646,634,500,315,273,8,"5,910","10,381","20,005","13,392","4,375","2,110","2,472","4,656","2,175","1,556",997,763,504,All
Adrián Rivera-reyes,,,,,,,643,"5,581","6,943","11,909","7,382","1,837","1,760","3,221","6,930","3,407","1,432","1,801","1,354","1,603","1,247","1,168","1,211",628,626,469,553,362,346,7,"11,938","9,450","8,001","4,670","10,656","2,811","1,698","2,405","1,993","1,386","1,057",537,588,All
Eryn Santamoor,,,,,,,,194,"7,808","3,439","1,211","2,745","1,156","3,606","1,008","4,106",993,"1,043","1,214","1,355","1,127","1,411",728,436,680,643,729,438,288,7,"6,339","9,807","15,903","9,547","3,914","2,933","1,912","2,605","2,114","1,482",944,708,485,All
Erika Almirón,,,,,,,,,152,"4,850",549,"3,266","7,348","3,409",865,"3,389","1,072","1,914",903,"1,496",449,"1,005",589,390,377,306,356,273,227,7,"4,976","5,677","17,151","13,010","4,043","2,640","1,939","3,168","2,248","1,775","1,107",375,373,All
Deja Lynn Alvarez,,,,,,,,,,486,"6,980","1,377","1,395","2,267","6,348","2,300","1,150","1,583",978,"1,705",992,"1,118",824,476,468,487,498,340,269,7,"10,302","8,203","5,056","2,831","7,321","2,146","1,209","1,605","1,805","1,135",847,378,414,All
Willie Floyd Singletary,,,,,,,,,,,460,768,286,583,"5,366",831,"1,091",798,"1,370","1,033",900,474,342,551,502,427,443,265,365,2,"9,933","5,321","2,428",227,"5,102","1,544","1,125",554,566,167,385,394,596,All
Sandra Dungee Glenn,,,,,,,,,,,,141,"1,641","2,391",534,930,"1,361","1,634","1,229","1,562",985,895,948,465,441,342,520,264,330,3,"7,634","5,864","4,391","1,454","1,028","2,804","2,363",630,"1,989",768,840,389,456,All
Ethelind Baylor,,,,,,,,,,,,,118,841,345,381,641,517,414,625,176,235,268,318,175,165,124,143,143,2,"3,426","3,120","5,131","4,390","1,465",883,664,"1,611","1,230",665,511,189,272,All
Beth Finn,,,,,,,,,,,,,,101,572,"1,100",612,839,963,"1,101","1,015","1,216",503,509,506,610,625,272,291,7,"2,134","4,835","3,134","2,577","2,042","2,702",920,"1,408","1,770","1,212",785,613,318,All
Ogbonna Paul Hagins,,,,,,,,,,,,,,,209,707,567,562,608,464,444,505,256,192,231,161,188,125,140,6,"6,340","4,027","1,622",452,"4,734",848,648,471,437,327,323,215,227,All
Fernando Treviño,,,,,,,,,,,,,,,,84,589,595,767,559,"1,282",650,"1,169",310,274,260,278,180,141,4,"2,481","2,305","4,318","2,939","1,823","1,040","1,255","1,279","1,127",485,393,334,286,All
Fareed Abdullah,,,,,,,,,,,,,,,,,154,"2,582",806,"1,289",403,341,593,627,463,372,318,383,278,2,"5,886","1,904","3,777",459,688,"1,473",925,323,841,297,418,314,572,All
