col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,division
,District Council 4th District - Democrat,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Curtis Jones Jr,Ron Adams,James C Crumlish,Jennifer Schultz,Anthony Kyriakakis,Tiffany Palmer,Kay Yu,Wendi Barish,Carmella Jacquinto,Beth Grossman,Chris Hall,Nicola Serianni,Joshua Roberts,Henry Mcgregor Sias,Cateria R Mccabe,Kendra Mccrae,Craig Levin,Vicki Markovitz,Laurie Dow,James F Berardinelli,Leon Goodman,Terri M Booker,Janine D Momasso,Jon Marshall,Sherman Toppin,Robert Trimble,Gregory Weyer,All
Curtis Jones Jr,240,0,"1,318","1,150","1,386","1,254",864,698,724,558,692,521,530,556,488,412,347,267,327,252,320,293,210,183,150,78,41,All
Ron Adams,,163,920,"1,081",719,730,492,560,417,526,373,439,315,219,269,272,291,310,258,263,200,162,185,187,85,93,65,All
James C Crumlish,,,24,853,"1,561","1,095",677,488,729,400,888,292,501,443,250,157,259,178,166,257,158,119,72,136,72,87,37,All
Jennifer Schultz,,,,51,679,790,562,692,421,605,288,597,359,262,367,329,382,341,297,188,180,172,204,255,87,93,33,All
Anthony Kyriakakis,,,,,7,"1,415",858,516,599,345,926,320,394,598,336,170,190,154,144,264,156,81,71,45,62,49,28,All
Tiffany Palmer,,,,,,11,828,635,330,379,913,417,139,433,345,280,151,194,233,201,178,175,124,42,58,26,31,All
Kay Yu,,,,,,,10,351,428,215,372,265,162,448,240,201,91,133,139,116,99,141,105,30,54,18,38,All
Wendi Barish,,,,,,,,3,273,429,231,460,158,131,210,246,172,248,253,122,122,146,158,86,52,37,15,All
Carmella Jacquinto,,,,,,,,,7,247,125,206,317,312,254,222,93,147,149,84,131,151,138,34,60,25,24,All
Beth Grossman,,,,,,,,,,6,183,297,125,61,146,239,158,276,252,175,128,121,122,61,42,47,27,All
Chris Hall,,,,,,,,,,,3,117,79,156,85,97,79,70,110,133,74,65,24,30,29,40,16,All
Nicola Serianni,,,,,,,,,,,,5,140,104,190,201,183,186,159,112,83,94,136,91,38,29,19,All
Joshua Roberts,,,,,,,,,,,,,6,244,148,55,257,69,54,59,103,83,23,203,57,42,15,All
Henry Mcgregor Sias,,,,,,,,,,,,,,2,228,42,35,36,28,71,52,29,37,13,32,23,22,All
Cateria R Mccabe,,,,,,,,,,,,,,,0,181,54,102,115,61,117,99,140,38,71,25,15,All
Kendra Mccrae,,,,,,,,,,,,,,,,3,54,129,178,52,132,139,115,30,64,31,16,All
Craig Levin,,,,,,,,,,,,,,,,,4,98,60,68,126,50,40,193,31,39,20,All
Vicki Markovitz,,,,,,,,,,,,,,,,,,2,144,70,83,60,82,38,27,27,13,All
Laurie Dow,,,,,,,,,,,,,,,,,,,4,49,77,116,84,36,36,19,17,All
James F Berardinelli,,,,,,,,,,,,,,,,,,,,2,100,36,64,37,26,44,27,All
Leon Goodman,,,,,,,,,,,,,,,,,,,,,1,124,75,58,82,31,28,All
Terri M Booker,,,,,,,,,,,,,,,,,,,,,,2,74,41,64,25,23,All
