col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,City Commissioners - Democrat,,,,,,,,,,,,,All
,Helen Gym,Isaiah Thomas,Allan Domb,Derek S Green,Katherine Gilmore Richardson,Adrián Rivera-reyes,Deja Lynn Alvarez,Willie Floyd Singletary,Erika Almirón,Justin Diberardinis,Sandra Dungee Glenn,Ogbonna Paul Hagins,Eryn Santamoor,Fareed Abdullah,Asa Khalif,Ethelind Baylor,Billy Thompson,Latrice Y Bryant,Fernando Treviño,Beth Finn,Joseph A Diorio,Edwin Santana,Hena Veit,Wayne Allen,Bobbie Curry,Wayne Edmund Dorsey,Vinny Black,Mark Ross,Devon Cade,Sherrie Cohen,Omar Sabir,Lisa Deeley,Kahlil Williams,Marwan Kreidie,Annette Thompson,Dennis Lee,Jen Devor,Warren Bloom,Carla Cain,Robin Trent,Luigi Borda,Lewis Harris Jr,Moira Bohannon,All
Helen Gym,25,435,412,369,340,193,142,112,157,145,92,118,100,58,61,80,51,36,41,41,14,16,33,15,15,14,15,13,11,1,627,445,207,124,72,65,68,35,33,28,35,17,18,All
Isaiah Thomas,,11,337,360,317,47,35,57,82,90,52,19,39,62,47,55,29,31,21,18,14,14,8,16,7,13,7,16,14,0,423,286,133,26,58,46,30,20,18,23,18,14,14,All
Allan Domb,,,39,319,291,55,27,43,22,38,54,19,61,44,33,17,32,17,15,19,14,15,9,12,11,13,9,10,12,0,358,263,130,21,53,42,18,35,21,15,10,12,9,All
Derek S Green,,,,8,284,30,20,36,39,56,39,14,44,35,36,23,14,19,11,9,7,15,7,12,9,8,6,7,6,0,349,246,125,16,28,39,16,20,18,10,8,8,8,All
Katherine Gilmore Richardson,,,,,6,23,28,23,43,30,63,8,40,31,22,11,29,27,13,17,4,11,13,6,8,4,8,9,10,0,317,252,86,13,27,39,16,16,24,12,4,9,6,All
Adrián Rivera-reyes,,,,,,10,132,110,48,36,18,108,46,21,19,19,14,14,34,24,15,10,17,9,9,4,6,2,9,0,174,96,71,139,19,15,20,12,9,16,16,7,10,All
Deja Lynn Alvarez,,,,,,,10,102,41,19,22,85,25,15,18,15,14,25,30,13,11,4,10,2,9,9,6,6,5,1,151,96,41,94,17,9,19,9,14,10,10,6,11,All
Willie Floyd Singletary,,,,,,,,12,2,6,13,78,18,18,17,9,19,14,19,7,17,10,9,10,5,8,5,8,3,0,176,78,54,83,19,17,2,14,6,5,4,6,1,All
