col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,division
,City Commissioners - Democrat,,,,,,,,,,,,,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Lisa Deeley,Omar Sabir,Luigi Borda,Kahlil Williams,Marwan Kreidie,Annette Thompson,Dennis Lee,Jen Devor,Carla Cain,Moira Bohannon,Robin Trent,Warren Bloom,Lewis Harris Jr,Helen Gym,Allan Domb,Katherine Gilmore Richardson,Derek S Green,Eryn Santamoor,Isaiah Thomas,Justin Diberardinis,Adrián Rivera-reyes,Beth Finn,Deja Lynn Alvarez,Joseph A Diorio,Erika Almirón,Willie Floyd Singletary,Fernando Treviño,Ogbonna Paul Hagins,Sandra Dungee Glenn,Billy Thompson,Vinny Black,Hena Veit,Bobbie Curry,Ethelind Baylor,Latrice Y Bryant,Mark Ross,Edwin Santana,Wayne Allen,Fareed Abdullah,Devon Cade,Wayne Edmund Dorsey,Asa Khalif,Sherrie Cohen,All
Lisa Deeley,32,40,80,36,28,41,22,14,13,21,6,9,2,246,223,129,127,100,106,94,51,71,60,51,30,41,25,25,41,25,27,31,17,18,21,21,15,13,6,13,13,5,0,All
Omar Sabir,,4,5,17,25,8,4,2,1,1,0,3,1,67,60,24,31,26,40,13,42,8,41,8,10,35,12,31,8,7,10,4,7,10,6,4,6,5,16,3,2,8,0,All
Luigi Borda,,,1,7,10,2,7,3,3,4,1,2,0,95,89,58,61,26,57,34,13,17,9,20,10,6,10,4,8,6,15,7,11,3,5,8,7,6,3,3,4,5,0,All
Kahlil Williams,,,,2,6,3,1,26,5,6,6,1,5,75,68,31,46,40,37,37,20,15,12,11,35,9,27,8,11,8,8,5,6,12,9,4,13,6,9,3,1,9,0,All
Marwan Kreidie,,,,,9,4,7,3,3,4,6,2,0,60,30,11,13,25,7,23,45,24,37,13,16,32,11,31,5,9,4,9,7,9,5,1,5,6,7,6,3,4,0,All
Annette Thompson,,,,,,0,3,2,8,1,4,3,1,44,33,24,13,22,18,12,14,24,10,16,18,7,4,3,16,6,5,13,6,5,14,4,4,5,4,5,2,4,0,All
Dennis Lee,,,,,,,1,2,4,2,8,3,5,21,30,16,10,16,8,14,16,14,8,24,3,7,11,3,7,18,8,6,13,5,7,13,9,7,0,10,15,2,0,All
Jen Devor,,,,,,,,1,4,4,2,1,4,42,34,22,9,24,6,14,9,20,10,7,23,3,16,1,10,7,8,9,2,8,2,4,2,2,3,2,0,3,0,All
Carla Cain,,,,,,,,,2,5,2,0,0,24,24,11,6,19,10,9,10,12,12,9,9,4,6,1,6,5,2,9,12,3,8,4,3,3,2,3,1,2,0,All
Moira Bohannon,,,,,,,,,,1,0,1,1,26,23,16,11,20,2,18,6,16,3,7,9,2,4,1,4,7,8,8,4,7,2,7,5,2,1,0,2,1,0,All
Robin Trent,,,,,,,,,,,0,2,0,15,18,11,10,4,9,13,4,13,4,9,6,2,3,1,5,4,0,2,6,4,1,2,5,3,1,4,5,0,0,All
Warren Bloom,,,,,,,,,,,,1,0,10,15,5,5,3,7,5,4,5,4,7,0,3,5,0,1,6,1,3,3,0,1,7,1,5,1,1,6,2,0,All
Lewis Harris Jr,,,,,,,,,,,,,0,7,11,4,5,1,2,5,4,3,1,2,1,2,1,1,1,6,2,2,3,1,1,1,2,4,2,0,1,0,0,All
Helen Gym,,,,,,,,,,,,,,12,204,132,116,102,103,84,69,65,60,39,54,45,34,47,37,22,20,34,12,22,17,12,14,9,10,7,6,11,0,All
Allan Domb,,,,,,,,,,,,,,,19,110,138,114,115,103,29,44,24,50,27,18,27,6,26,21,31,19,20,16,8,18,17,15,13,11,7,8,0,All
Katherine Gilmore Richardson,,,,,,,,,,,,,,,,1,90,58,80,26,10,35,15,17,33,8,23,1,24,8,10,13,6,7,15,6,7,3,3,5,8,2,0,All
Derek S Green,,,,,,,,,,,,,,,,,1,44,99,45,13,13,14,12,9,4,10,6,10,9,10,3,5,17,9,4,4,6,6,2,3,4,0,All
Eryn Santamoor,,,,,,,,,,,,,,,,,,0,30,53,22,40,18,19,28,9,28,1,18,9,16,23,10,8,8,7,7,0,6,7,2,4,0,All
Isaiah Thomas,,,,,,,,,,,,,,,,,,,5,30,17,13,10,13,16,5,12,3,10,10,6,3,2,12,7,5,7,6,12,4,3,2,0,All
Justin Diberardinis,,,,,,,,,,,,,,,,,,,,2,12,31,7,25,18,3,7,6,13,15,16,8,14,12,3,11,3,5,3,5,4,5,0,All
Adrián Rivera-reyes,,,,,,,,,,,,,,,,,,,,,2,21,56,18,15,45,17,42,3,10,4,10,6,5,9,2,14,3,5,4,3,5,0,All
Beth Finn,,,,,,,,,,,,,,,,,,,,,,2,16,25,27,7,11,2,21,12,8,16,13,9,7,7,11,9,5,7,5,5,0,All
Deja Lynn Alvarez,,,,,,,,,,,,,,,,,,,,,,,4,10,18,42,8,43,10,3,1,6,5,7,10,4,6,4,3,1,4,2,0,All
Joseph A Diorio,,,,,,,,,,,,,,,,,,,,,,,,1,5,9,17,3,4,17,6,11,15,2,5,12,7,5,3,5,8,3,0,All
Erika Almirón,,,,,,,,,,,,,,,,,,,,,,,,,0,3,22,6,10,7,2,12,2,12,8,0,6,2,7,2,2,4,0,All
Willie Floyd Singletary,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,41,4,7,5,6,2,1,9,3,3,5,3,5,6,3,0,All
Fernando Treviño,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,5,7,3,7,6,6,5,3,9,5,2,3,3,2,0,All
Ogbonna Paul Hagins,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,4,0,2,2,3,1,1,1,3,4,0,0,1,0,All
Sandra Dungee Glenn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,5,8,6,9,8,2,1,3,1,2,3,2,0,All
Billy Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,10,4,2,9,3,7,3,3,5,1,0,All
Vinny Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,5,3,3,5,1,5,4,5,2,5,0,All
Hena Veit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,1,7,4,3,0,2,2,3,1,0,All
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,15,7,6,0,6,7,1,0,All
Ethelind Baylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,3,2,5,7,0,3,4,0,All
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,5,5,1,0,All
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,7,1,1,5,0,0,All
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,2,2,1,0,All
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,5,3,0,All
Fareed Abdullah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,6,0,All
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,2,0,All
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,All
Asa Khalif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,490,147,138,134,128,84,79,69,55,52,38,28,20,463,419,207,200,188,187,178,142,141,135,106,94,92,79,71,70,64,60,59,51,48,44,42,40,36,31,28,28,26,0,All
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,City Commissioners - Democrat,,,,,,,,,,,,,1
,Allan Domb,Helen Gym,Eryn Santamoor,Derek S Green,Katherine Gilmore Richardson,Isaiah Thomas,Beth Finn,Justin Diberardinis,Adrián Rivera-reyes,Fernando Treviño,Deja Lynn Alvarez,Willie Floyd Singletary,Erika Almirón,Joseph A Diorio,Vinny Black,Ethelind Baylor,Fareed Abdullah,Latrice Y Bryant,Ogbonna Paul Hagins,Sandra Dungee Glenn,Wayne Allen,Bobbie Curry,Hena Veit,Wayne Edmund Dorsey,Asa Khalif,Billy Thompson,Edwin Santana,Devon Cade,Mark Ross,Sherrie Cohen,Lisa Deeley,Luigi Borda,Omar Sabir,Marwan Kreidie,Kahlil Williams,Moira Bohannon,Jen Devor,Annette Thompson,Carla Cain,Dennis Lee,Robin Trent,Warren Bloom,Lewis Harris Jr,1
Allan Domb,1,25,15,17,16,15,5,8,5,5,4,0,2,2,3,2,2,0,0,0,1,2,0,1,0,0,0,0,0,0,22,11,9,3,5,5,3,2,4,1,0,1,0,1
Helen Gym,,1,11,17,20,14,5,7,5,4,4,4,4,3,3,0,3,1,4,1,1,1,1,1,0,0,0,0,0,0,23,13,8,5,5,3,3,4,2,0,1,0,0,1
Eryn Santamoor,,,0,7,6,5,5,5,3,6,2,0,4,1,1,2,1,0,0,1,0,1,1,1,0,1,1,0,0,0,10,1,3,2,6,3,3,2,3,1,0,1,0,1
Derek S Green,,,,0,12,11,3,2,0,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,12,2,0,5,2,2,1,0,0,0,1,0,1
Katherine Gilmore Richardson,,,,,0,11,3,0,1,2,1,0,3,0,2,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,14,9,3,1,2,2,1,3,1,0,0,0,0,1
Isaiah Thomas,,,,,,0,2,2,1,0,0,0,0,0,1,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,12,10,3,0,4,0,0,2,0,0,1,0,0,1
Beth Finn,,,,,,,0,3,0,1,1,0,4,2,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,7,2,2,0,0,3,1,3,0,2,2,1,0,1
Justin Diberardinis,,,,,,,,0,0,0,0,0,1,2,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,6,2,0,1,2,1,0,0,1,1,0,0,0,1
Adrián Rivera-reyes,,,,,,,,,0,3,3,4,0,3,0,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,6,1,3,4,0,1,0,0,1,1,0,0,0,1
Fernando Treviño,,,,,,,,,,0,2,0,1,1,0,2,0,3,0,2,1,0,0,0,0,0,0,0,0,0,2,0,1,2,2,1,2,1,2,0,0,1,0,1
Deja Lynn Alvarez,,,,,,,,,,,0,3,1,2,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,7,1,1,2,0,0,1,1,1,1,0,0,0,1
Willie Floyd Singletary,,,,,,,,,,,,0,0,2,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,4,1,1,4,0,0,1,0,0,0,0,0,0,1
Erika Almirón,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,1,0,0,0,2,1,2,1,0,0,0,0,1
Joseph A Diorio,,,,,,,,,,,,,,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,5,1,0,2,0,1,0,1,0,2,0,0,0,1
