col_1,col_2,division
,District Council 1st District - Republican,All
,Daniel Orsino,All
Daniel Orsino,569,All
Total,569,All
,District Council 1st District - Republican,1
,Daniel Orsino,1
Daniel Orsino,10,1
Total,10,1
,District Council 1st District - Republican,2
,Daniel Orsino,2
Daniel Orsino,2,2
Total,2,2
,District Council 1st District - Republican,3
,Daniel Orsino,3
Daniel Orsino,19,3
Total,19,3
,District Council 1st District - Republican,4
,Daniel Orsino,4
Daniel Orsino,13,4
Total,13,4
,District Council 1st District - Republican,5
,Daniel Orsino,5
Daniel Orsino,5,5
Total,5,5
,District Council 1st District - Republican,6
,Daniel Orsino,6
Daniel Orsino,13,6
Total,13,6
,District Council 1st District - Republican,7
,Daniel Orsino,7
Daniel Orsino,26,7
Total,26,7
,District Council 1st District - Republican,8
,Daniel Orsino,8
Daniel Orsino,11,8
Total,11,8
,District Council 1st District - Republican,9
,Daniel Orsino,9
Daniel Orsino,5,9
Total,5,9
,District Council 1st District - Republican,10
,Daniel Orsino,10
Daniel Orsino,6,10
Total,6,10
,District Council 1st District - Republican,11
,Daniel Orsino,11
Daniel Orsino,2,11
Total,2,11
,District Council 1st District - Republican,12
,Daniel Orsino,12
Daniel Orsino,14,12
Total,14,12
,District Council 1st District - Republican,13
,Daniel Orsino,13
Daniel Orsino,3,13
Total,3,13
,District Council 1st District - Republican,15
,Daniel Orsino,15
Daniel Orsino,18,15
Total,18,15
,District Council 1st District - Republican,16
,Daniel Orsino,16
Daniel Orsino,11,16
Total,11,16
,District Council 1st District - Republican,17
,Daniel Orsino,17
Daniel Orsino,6,17
Total,6,17
,District Council 1st District - Republican,18
,Daniel Orsino,18
Daniel Orsino,8,18
Total,8,18
,District Council 1st District - Republican,19
,Daniel Orsino,19
Daniel Orsino,2,19
Total,2,19
,District Council 1st District - Republican,20
,Daniel Orsino,20
Daniel Orsino,16,20
Total,16,20
,District Council 1st District - Republican,21
,Daniel Orsino,21
Daniel Orsino,16,21
Total,16,21
,District Council 1st District - Republican,22
,Daniel Orsino,22
Daniel Orsino,13,22
Total,13,22
,District Council 1st District - Republican,23
,Daniel Orsino,23
Daniel Orsino,4,23
Total,4,23
,District Council 1st District - Republican,24
,Daniel Orsino,24
Daniel Orsino,10,24
Total,10,24
,District Council 1st District - Republican,25
,Daniel Orsino,25
Daniel Orsino,24,25
Total,24,25
,District Council 1st District - Republican,26
,Daniel Orsino,26
Daniel Orsino,23,26
Total,23,26
,District Council 1st District - Republican,27
,Daniel Orsino,27
Daniel Orsino,16,27
Total,16,27
,District Council 1st District - Republican,28
,Daniel Orsino,28
Daniel Orsino,4,28
Total,4,28
,District Council 1st District - Republican,29
,Daniel Orsino,29
Daniel Orsino,17,29
Total,17,29
,District Council 1st District - Republican,30
,Daniel Orsino,30
Daniel Orsino,8,30
Total,8,30
,District Council 1st District - Republican,31
,Daniel Orsino,31
Daniel Orsino,18,31
Total,18,31
,District Council 1st District - Republican,32
,Daniel Orsino,32
Daniel Orsino,14,32
Total,14,32
,District Council 1st District - Republican,33
,Daniel Orsino,33
Daniel Orsino,20,33
Total,20,33
,District Council 1st District - Republican,34
,Daniel Orsino,34
Daniel Orsino,7,34
Total,7,34
,District Council 1st District - Republican,35
,Daniel Orsino,35
Daniel Orsino,16,35
Total,16,35
,District Council 1st District - Republican,37
,Daniel Orsino,37
Daniel Orsino,16,37
Total,16,37
,District Council 1st District - Republican,38
,Daniel Orsino,38
Daniel Orsino,26,38
Total,26,38
,District Council 1st District - Republican,39
,Daniel Orsino,39
Daniel Orsino,32,39
Total,32,39
,District Council 1st District - Republican,40
,Daniel Orsino,40
Daniel Orsino,4,40
Total,4,40
,District Council 1st District - Republican,42
,Daniel Orsino,42
Daniel Orsino,20,42
Total,20,42
,District Council 1st District - Republican,43
,Daniel Orsino,43
Daniel Orsino,16,43
Total,16,43
,District Council 1st District - Republican,44
,Daniel Orsino,44
Daniel Orsino,15,44
Total,15,44
,District Council 1st District - Republican,45
,Daniel Orsino,45
Daniel Orsino,21,45
Total,21,45
,District Council 1st District - Republican,46
,Daniel Orsino,46
Daniel Orsino,19,46
Total,19,46
