col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,division
,Sheriff - Democrat,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Jewell Williams,Rochelle Bilal,Malika Rahman,Larry King Sr,Joshua Roberts,Carmella Jacquinto,Cateria R Mccabe,Jennifer Schultz,Sherman Toppin,Kendra Mccrae,Craig Levin,Leon Goodman,Anthony Kyriakakis,Tiffany Palmer,Terri M Booker,Laurie Dow,Jon Marshall,Henry Mcgregor Sias,Wendi Barish,Nicola Serianni,Beth Grossman,James C Crumlish,Janine D Momasso,Chris Hall,Kay Yu,James F Berardinelli,Vicki Markovitz,Robert Trimble,Gregory Weyer,All
Jewell Williams,198,0,0,0,895,861,773,296,730,404,372,433,605,321,376,330,214,504,186,157,183,185,185,154,105,113,138,79,53,All
Rochelle Bilal,,148,0,0,505,295,281,588,203,343,406,268,178,337,282,261,293,125,223,226,198,146,148,133,151,96,79,64,51,All
Malika Rahman,,,132,0,348,250,235,391,154,358,301,285,147,323,263,251,239,67,178,183,171,147,112,148,151,62,72,59,41,All
Larry King Sr,,,,14,70,60,52,58,43,57,57,65,33,50,58,60,39,17,40,41,52,43,22,38,20,38,17,31,11,All
Joshua Roberts,,,,,130,742,756,393,782,227,400,277,681,182,250,153,409,620,163,150,142,168,50,108,70,45,65,63,24,All
Carmella Jacquinto,,,,,,51,840,188,723,354,277,322,690,272,340,302,98,582,153,125,142,189,260,84,100,121,112,55,30,All
Cateria R Mccabe,,,,,,,9,179,816,410,181,334,740,289,223,239,114,646,116,138,94,57,244,76,117,71,99,39,19,All
Jennifer Schultz,,,,,,,,37,109,289,419,178,116,288,209,203,363,60,254,287,248,137,98,117,137,61,103,74,29,All
Sherman Toppin,,,,,,,,,11,240,121,217,677,173,224,186,111,637,74,82,50,57,101,69,70,41,43,36,25,All
Kendra Mccrae,,,,,,,,,,21,190,427,141,476,432,359,148,52,212,193,220,111,169,163,181,69,61,81,48,All
Craig Levin,,,,,,,,,,,32,303,81,157,161,223,325,38,131,190,125,210,180,91,60,128,114,70,58,All
Leon Goodman,,,,,,,,,,,,8,134,352,341,273,167,66,130,162,175,143,190,164,119,88,116,89,72,All
Anthony Kyriakakis,,,,,,,,,,,,,3,220,80,79,52,622,79,61,82,136,65,155,105,65,29,31,16,All
Tiffany Palmer,,,,,,,,,,,,,,5,373,289,124,80,231,192,213,167,97,267,204,86,73,73,43,All
Terri M Booker,,,,,,,,,,,,,,,15,269,129,40,179,127,156,108,101,178,153,36,63,81,46,All
Laurie Dow,,,,,,,,,,,,,,,,21,114,52,175,155,195,155,179,109,105,135,57,66,30,All
Jon Marshall,,,,,,,,,,,,,,,,,25,32,103,110,92,107,45,71,45,22,31,54,21,All
Henry Mcgregor Sias,,,,,,,,,,,,,,,,,,4,37,45,38,22,30,15,45,48,27,22,10,All
Wendi Barish,,,,,,,,,,,,,,,,,,,3,169,204,117,96,88,95,51,85,42,22,All
Nicola Serianni,,,,,,,,,,,,,,,,,,,,2,157,94,75,60,94,53,85,43,64,All
Beth Grossman,,,,,,,,,,,,,,,,,,,,,4,81,67,103,76,74,96,37,39,All
James C Crumlish,,,,,,,,,,,,,,,,,,,,,,1,95,157,57,122,26,45,8,All
Janine D Momasso,,,,,,,,,,,,,,,,,,,,,,,6,21,45,125,86,14,17,All
Chris Hall,,,,,,,,,,,,,,,,,,,,,,,,2,98,41,23,60,27,All
Kay Yu,,,,,,,,,,,,,,,,,,,,,,,,,3,35,30,29,26,All
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,,,,3,42,21,16,All
Vicki Markovitz,,,,,,,,,,,,,,,,,,,,,,,,,,,1,23,10,All
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,All
Gregory Weyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,All
Total,"2,161","1,738","1,446",251,"2,106","1,742","1,504","1,436","1,272","1,259","1,252","1,142","1,123","1,091","1,068",989,846,818,660,649,633,580,538,515,459,353,322,249,173,All
,Sheriff - Democrat,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,1
,Jewell Williams,Rochelle Bilal,Malika Rahman,Larry King Sr,Carmella Jacquinto,Joshua Roberts,Cateria R Mccabe,Sherman Toppin,Craig Levin,Henry Mcgregor Sias,Anthony Kyriakakis,Jennifer Schultz,Leon Goodman,Janine D Momasso,Jon Marshall,Kendra Mccrae,Terri M Booker,Vicki Markovitz,Wendi Barish,Beth Grossman,James F Berardinelli,Robert Trimble,Tiffany Palmer,Laurie Dow,Nicola Serianni,Chris Hall,Kay Yu,Gregory Weyer,James C Crumlish,1
Jewell Williams,3,0,0,0,23,14,20,17,7,16,14,1,9,7,0,4,0,4,2,2,2,2,2,1,0,1,0,0,0,1
Rochelle Bilal,,3,0,0,4,9,4,3,8,2,1,11,1,1,6,2,4,0,2,0,0,1,0,0,1,0,0,0,0,1
Malika Rahman,,,2,0,0,0,0,1,2,0,0,0,2,1,1,2,1,0,0,1,1,0,0,1,1,0,1,0,0,1
Larry King Sr,,,,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Carmella Jacquinto,,,,,3,16,18,17,4,14,15,2,3,3,1,3,2,2,2,1,0,1,1,1,1,0,0,0,0,1
Joshua Roberts,,,,,,5,15,17,7,14,12,6,2,0,6,2,2,0,2,0,0,0,1,0,1,1,0,0,0,1
Cateria R Mccabe,,,,,,,0,17,6,16,13,2,7,8,1,2,2,4,2,0,2,1,3,0,0,0,0,0,0,1
Sherman Toppin,,,,,,,,0,2,15,15,1,2,2,1,3,1,0,2,1,0,0,1,1,1,1,1,0,0,1
Craig Levin,,,,,,,,,0,1,0,8,6,4,6,2,2,4,1,1,0,2,0,0,0,1,0,0,0,1
Henry Mcgregor Sias,,,,,,,,,,0,12,1,2,2,1,0,1,0,1,1,2,0,2,1,0,0,0,0,0,1
Anthony Kyriakakis,,,,,,,,,,,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1
Jennifer Schultz,,,,,,,,,,,,1,0,0,6,1,2,0,1,1,0,2,0,0,0,0,0,0,0,1
Leon Goodman,,,,,,,,,,,,,0,8,0,4,1,4,0,1,3,1,2,0,1,1,1,0,0,1
Janine D Momasso,,,,,,,,,,,,,,0,0,3,1,4,1,0,2,0,2,0,1,0,1,0,0,1
Jon Marshall,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Kendra Mccrae,,,,,,,,,,,,,,,,0,3,0,3,2,1,1,0,0,2,1,1,0,0,1
Terri M Booker,,,,,,,,,,,,,,,,,0,0,2,1,1,1,0,0,1,0,0,0,0,1
Vicki Markovitz,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1
Wendi Barish,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,1,0,0,0,0,1
Beth Grossman,,,,,,,,,,,,,,,,,,,,0,1,1,0,1,0,0,0,0,0,1
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,0,0,2,0,0,0,0,0,0,1
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1
Tiffany Palmer,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1
Laurie Dow,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1
Nicola Serianni,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1
Chris Hall,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
Kay Yu,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
Gregory Weyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
James C Crumlish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
Total,34,23,8,2,31,31,25,22,18,18,16,15,13,9,8,8,5,4,4,3,3,3,3,2,2,1,1,0,0,1
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,Sheriff - Democrat,,,,2
,Joshua Roberts,Cateria R Mccabe,Carmella Jacquinto,Sherman Toppin,Kendra Mccrae,Anthony Kyriakakis,Jennifer Schultz,Henry Mcgregor Sias,Terri M Booker,Craig Levin,Leon Goodman,Jon Marshall,Laurie Dow,Tiffany Palmer,Janine D Momasso,Wendi Barish,James C Crumlish,Beth Grossman,Kay Yu,Chris Hall,Nicola Serianni,Robert Trimble,Vicki Markovitz,James F Berardinelli,Gregory Weyer,Jewell Williams,Rochelle Bilal,Malika Rahman,Larry King Sr,2
Joshua Roberts,5,22,20,22,6,21,8,19,6,8,5,4,4,4,3,2,4,3,0,1,3,1,2,1,2,28,10,4,1,2
Cateria R Mccabe,,1,26,26,10,21,4,19,6,4,6,6,8,3,10,1,1,0,4,3,2,1,3,2,0,24,7,4,1,2
Carmella Jacquinto,,,0,22,8,17,5,16,5,4,5,6,7,4,8,4,1,3,2,0,0,1,4,1,0,22,6,0,2,2
Sherman Toppin,,,,0,5,18,4,19,2,0,2,5,7,3,8,2,2,0,0,1,0,0,0,0,0,22,2,1,1,2
Kendra Mccrae,,,,,3,5,7,3,8,2,6,1,4,6,4,5,2,3,7,2,2,4,1,2,0,11,5,4,1,2
Anthony Kyriakakis,,,,,,0,2,17,3,2,3,1,1,1,2,0,0,1,1,1,1,0,1,0,1,15,4,1,0,2
Jennifer Schultz,,,,,,,1,2,3,5,3,4,2,5,0,2,3,3,2,1,2,2,1,1,0,6,9,4,1,2
Henry Mcgregor Sias,,,,,,,,0,1,1,2,0,1,1,0,1,0,1,2,0,0,0,0,0,0,15,3,1,0,2
Terri M Booker,,,,,,,,,0,1,6,2,4,4,2,3,2,3,3,3,1,3,1,0,0,8,3,3,3,2
Craig Levin,,,,,,,,,,0,5,3,3,2,2,3,2,1,1,2,2,1,3,0,2,7,5,6,1,2
Leon Goodman,,,,,,,,,,,1,2,3,5,3,4,4,2,3,5,1,1,2,1,0,7,4,3,2,2
Jon Marshall,,,,,,,,,,,,1,5,2,5,1,1,1,0,0,1,0,0,0,0,7,2,5,1,2
Laurie Dow,,,,,,,,,,,,,1,4,5,4,1,2,1,2,1,4,1,0,0,10,2,1,1,2
Tiffany Palmer,,,,,,,,,,,,,,0,0,3,3,2,1,4,1,5,0,1,1,6,1,4,1,2
Janine D Momasso,,,,,,,,,,,,,,,0,1,1,0,0,1,1,0,2,1,0,7,3,1,1,2
Wendi Barish,,,,,,,,,,,,,,,,0,2,2,1,1,1,1,0,0,0,3,2,2,1,2
James C Crumlish,,,,,,,,,,,,,,,,,0,1,0,1,4,1,1,1,1,6,0,1,1,2
Beth Grossman,,,,,,,,,,,,,,,,,,0,1,0,1,1,1,0,1,3,3,1,0,2
Kay Yu,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,0,2,2,2,1,2
Chris Hall,,,,,,,,,,,,,,,,,,,,0,1,2,0,1,0,4,1,1,1,2
Nicola Serianni,,,,,,,,,,,,,,,,,,,,,0,0,1,0,1,3,2,1,1,2
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,4,1,1,0,2
Vicki Markovitz,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3,1,0,1,2
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,2,0,0,2
Gregory Weyer,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,0,0,2
Jewell Williams,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,2
Rochelle Bilal,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2
Malika Rahman,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,2
Larry King Sr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2
Total,52,45,36,32,29,25,23,22,20,19,19,16,16,14,13,10,9,8,8,7,7,6,5,4,2,48,27,21,7,2
,Sheriff - Democrat,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,3
