col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,City Commissioners - Democrat,,,,,,,,,,,,,All
,Helen Gym,Isaiah Thomas,Allan Domb,Derek S Green,Katherine Gilmore Richardson,Adrián Rivera-reyes,Erika Almirón,Deja Lynn Alvarez,Willie Floyd Singletary,Justin Diberardinis,Sandra Dungee Glenn,Fareed Abdullah,Ethelind Baylor,Ogbonna Paul Hagins,Eryn Santamoor,Asa Khalif,Billy Thompson,Latrice Y Bryant,Beth Finn,Fernando Treviño,Joseph A Diorio,Hena Veit,Vinny Black,Edwin Santana,Wayne Allen,Mark Ross,Wayne Edmund Dorsey,Devon Cade,Bobbie Curry,Sherrie Cohen,Omar Sabir,Lisa Deeley,Kahlil Williams,Marwan Kreidie,Dennis Lee,Annette Thompson,Jen Devor,Luigi Borda,Carla Cain,Robin Trent,Moira Bohannon,Lewis Harris Jr,Warren Bloom,All
Helen Gym,49,883,642,656,522,314,438,248,189,373,140,92,220,161,144,89,66,51,70,50,33,29,25,27,19,17,15,20,14,0,"1,036",681,356,232,141,114,160,94,65,46,48,23,15,All
Isaiah Thomas,,29,594,647,544,92,302,84,75,261,146,152,189,29,49,91,71,47,28,26,26,21,18,27,30,20,14,18,16,0,774,496,291,75,122,87,76,57,39,33,27,26,24,All
Allan Domb,,,42,581,470,64,44,49,70,71,125,91,31,24,78,49,44,29,35,20,47,14,25,23,26,22,22,10,14,0,653,436,190,55,68,72,22,16,28,19,5,21,19,All
Derek S Green,,,,2,492,47,92,51,52,99,121,97,51,16,61,53,53,29,20,16,7,5,22,19,20,14,11,11,10,0,604,411,197,46,108,61,30,24,20,20,11,19,10,All
Katherine Gilmore Richardson,,,,,8,37,70,37,38,56,85,58,20,14,50,25,45,37,32,14,15,10,10,20,10,12,5,7,10,1,532,403,123,34,68,64,19,11,26,19,8,11,13,All
Adrián Rivera-reyes,,,,,,13,96,201,161,60,19,27,31,136,50,29,23,21,37,34,22,14,14,7,13,8,5,4,9,0,273,148,93,195,33,43,45,25,18,19,18,10,4,All
Erika Almirón,,,,,,,2,81,19,284,60,40,183,16,72,42,17,27,36,16,10,14,10,5,9,5,1,7,4,1,141,82,216,78,33,56,138,80,38,23,43,3,5,All
Deja Lynn Alvarez,,,,,,,,9,169,34,20,22,19,140,39,30,19,21,30,34,18,14,6,6,4,8,7,3,5,0,241,140,62,154,25,22,38,17,25,21,19,8,12,All
Willie Floyd Singletary,,,,,,,,,22,9,27,32,0,121,25,17,31,23,12,23,25,7,10,4,9,9,6,8,9,0,277,137,52,129,36,25,5,7,9,9,2,9,10,All
Justin Diberardinis,,,,,,,,,,5,40,17,171,7,72,26,10,8,13,14,14,4,7,16,7,3,5,4,4,0,115,71,177,56,20,30,121,62,28,15,26,8,2,All
Sandra Dungee Glenn,,,,,,,,,,,2,57,28,10,29,38,38,17,18,19,30,8,6,19,7,5,3,11,4,1,178,65,86,13,76,29,24,4,32,11,2,7,9,All
Fareed Abdullah,,,,,,,,,,,,7,36,14,11,41,39,27,13,8,10,6,13,12,12,6,10,6,4,0,162,37,85,14,49,39,2,4,17,14,4,14,8,All
Ethelind Baylor,,,,,,,,,,,,,5,7,11,11,20,9,9,2,2,7,8,8,5,4,2,4,3,0,82,56,70,28,29,27,57,50,14,11,21,5,2,All
Ogbonna Paul Hagins,,,,,,,,,,,,,,4,15,11,14,7,7,20,7,11,5,6,4,4,1,2,2,1,168,76,20,103,23,5,6,9,6,9,5,3,2,All
Eryn Santamoor,,,,,,,,,,,,,,,1,12,22,19,22,18,12,16,8,5,5,6,4,6,7,0,74,44,94,38,26,34,50,20,13,8,11,4,3,All
Asa Khalif,,,,,,,,,,,,,,,,0,18,20,12,11,5,9,10,6,10,4,6,9,2,0,110,22,75,9,26,25,8,7,14,10,11,10,5,All
Billy Thompson,,,,,,,,,,,,,,,,,1,13,14,18,14,17,14,10,13,10,7,4,7,0,79,32,54,21,61,31,3,11,6,4,2,10,8,All
Latrice Y Bryant,,,,,,,,,,,,,,,,,,1,18,7,9,7,12,5,10,8,8,7,7,1,56,25,56,14,12,36,7,2,13,9,8,8,4,All
Beth Finn,,,,,,,,,,,,,,,,,,,4,9,12,7,7,3,7,4,3,0,3,2,42,41,32,23,17,27,17,7,14,8,12,4,3,All
