col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,City Commissioners - Democrat,,,,,,,,,,,,,All
,Helen Gym,Isaiah Thomas,Allan Domb,Derek S Green,Adrián Rivera-reyes,Erika Almirón,Katherine Gilmore Richardson,Justin Diberardinis,Deja Lynn Alvarez,Eryn Santamoor,Willie Floyd Singletary,Sandra Dungee Glenn,Ogbonna Paul Hagins,Asa Khalif,Ethelind Baylor,Fernando Treviño,Fareed Abdullah,Beth Finn,Billy Thompson,Latrice Y Bryant,Hena Veit,Joseph A Diorio,Edwin Santana,Bobbie Curry,Wayne Allen,Vinny Black,Wayne Edmund Dorsey,Mark Ross,Devon Cade,Sherrie Cohen,Omar Sabir,Lisa Deeley,Kahlil Williams,Marwan Kreidie,Jen Devor,Annette Thompson,Dennis Lee,Carla Cain,Luigi Borda,Robin Trent,Moira Bohannon,Warren Bloom,Lewis Harris Jr,All
Helen Gym,57,384,303,318,255,291,278,268,171,193,92,95,120,59,101,62,49,73,40,38,48,21,17,18,23,20,17,8,8,0,440,350,297,163,140,80,58,68,73,37,33,23,12,All
Isaiah Thomas,,5,219,240,63,144,186,118,40,56,32,52,24,47,67,16,48,15,33,19,13,14,15,9,13,16,13,5,6,1,287,183,169,36,49,48,34,20,30,18,15,16,16,All
Allan Domb,,,18,232,38,21,188,53,26,81,24,32,13,21,13,14,32,20,27,14,13,10,10,12,15,15,14,11,7,0,230,169,115,33,31,41,25,18,12,12,2,17,11,All
Derek S Green,,,,3,42,75,185,90,34,70,19,39,10,24,18,15,34,9,22,14,3,3,4,10,7,9,4,1,2,0,213,163,136,38,34,32,23,18,10,11,12,17,8,All
Adrián Rivera-reyes,,,,,10,96,40,66,145,62,76,20,98,28,19,46,12,39,17,12,19,16,10,8,7,13,4,5,3,1,150,95,101,119,50,36,17,24,29,10,13,5,11,All
Erika Almirón,,,,,,1,65,176,78,99,9,65,24,39,66,37,14,37,10,17,18,6,7,3,3,5,4,3,1,0,84,57,181,46,126,33,21,31,41,17,20,1,4,All
Katherine Gilmore Richardson,,,,,,,1,40,28,74,12,45,13,23,16,21,23,33,19,18,19,4,10,6,5,10,7,2,4,0,195,159,84,23,36,40,23,32,17,15,15,9,3,All
Justin Diberardinis,,,,,,,,1,33,125,5,59,13,15,54,30,11,14,6,11,7,17,15,6,5,5,1,6,4,0,58,57,167,38,121,18,29,19,42,8,11,7,3,All
Deja Lynn Alvarez,,,,,,,,,11,33,82,21,77,20,20,29,15,30,23,20,27,12,6,8,8,6,4,10,4,1,130,82,61,84,30,36,10,22,18,18,15,6,3,All
Eryn Santamoor,,,,,,,,,,0,16,57,25,16,12,43,10,31,19,15,30,10,5,14,7,6,5,5,2,0,54,57,130,39,87,28,30,27,28,13,18,7,1,All
Willie Floyd Singletary,,,,,,,,,,,11,12,65,12,5,10,8,7,18,10,8,10,5,8,3,7,5,5,3,0,137,61,21,62,1,18,10,7,4,6,3,7,10,All
Sandra Dungee Glenn,,,,,,,,,,,,1,15,25,10,14,25,14,10,27,19,12,14,8,9,6,7,4,2,0,61,33,82,6,33,34,28,28,10,12,10,7,5,All
Ogbonna Paul Hagins,,,,,,,,,,,,,2,10,5,18,7,10,8,9,12,3,6,5,1,3,0,2,3,0,84,53,27,62,9,20,16,9,11,6,8,2,4,All
Asa Khalif,,,,,,,,,,,,,,1,5,16,30,10,9,14,9,4,4,8,5,5,5,8,3,0,65,20,57,12,6,27,12,13,5,7,7,5,4,All
Ethelind Baylor,,,,,,,,,,,,,,,2,2,9,11,6,8,6,2,2,2,7,4,2,4,2,0,23,24,41,21,24,6,9,15,24,12,9,2,1,All
Fernando Treviño,,,,,,,,,,,,,,,,0,5,14,14,6,11,22,17,2,5,3,0,2,0,0,40,17,35,21,22,10,24,15,13,5,11,1,4,All
Fareed Abdullah,,,,,,,,,,,,,,,,,1,7,14,18,9,5,7,8,7,7,6,5,5,0,69,19,45,9,4,24,14,12,1,1,5,6,5,All
Beth Finn,,,,,,,,,,,,,,,,,,1,10,13,24,3,6,5,7,2,1,1,2,0,24,36,22,22,21,28,10,19,10,4,9,4,0,All
Billy Thompson,,,,,,,,,,,,,,,,,,,2,10,7,12,7,8,4,8,7,8,4,0,48,14,31,8,1,21,27,7,9,7,3,8,6,All
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,,0,8,3,4,10,6,2,3,10,1,0,35,23,21,11,8,19,9,20,6,6,3,5,5,All
Hena Veit,,,,,,,,,,,,,,,,,,,,,0,8,3,2,4,2,3,0,1,0,30,26,13,10,10,22,14,10,14,7,5,2,1,All
Joseph A Diorio,,,,,,,,,,,,,,,,,,,,,,0,11,5,1,2,0,2,4,1,23,10,7,8,1,9,18,10,11,3,4,0,2,All
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,,0,3,4,4,4,1,1,0,20,10,11,14,2,8,15,11,3,2,2,3,1,All
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,,,0,2,4,2,8,5,0,22,12,9,5,2,8,9,6,4,7,2,2,2,All
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,3,2,0,15,9,17,5,5,10,1,4,2,1,4,4,6,All
Vinny Black,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,5,0,0,22,8,12,4,5,8,7,2,0,4,4,3,4,All
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,0,19,3,12,0,2,9,8,1,1,3,3,4,1,All
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,18,5,8,5,2,2,4,6,0,5,2,3,3,All
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,12,3,8,2,1,4,1,3,1,0,1,3,3,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,All
Omar Sabir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,232,107,65,9,31,33,11,11,4,5,10,4,All
Lisa Deeley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,32,27,9,35,9,14,8,8,4,3,0,All
Kahlil Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,31,113,29,9,13,6,13,11,6,9,All
Marwan Kreidie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,7,5,3,9,14,8,5,5,1,All
Jen Devor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,9,22,0,9,1,0,All
Annette Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,13,7,7,4,4,4,All
Dennis Lee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,14,9,5,0,2,4,All
Carla Cain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,5,6,1,1,All
Luigi Borda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,3,1,0,All
Robin Trent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,All
Moira Bohannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,All
Warren Bloom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,All
Lewis Harris Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"1,136",532,449,426,414,389,365,353,322,301,239,198,187,130,129,126,125,120,108,92,87,60,57,50,46,45,36,34,22,1,769,478,455,268,188,162,116,109,103,60,54,46,32,All
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,City Commissioners - Democrat,,,,,,,,,,,,,1
,Helen Gym,Erika Almirón,Justin Diberardinis,Adrián Rivera-reyes,Derek S Green,Isaiah Thomas,Allan Domb,Eryn Santamoor,Katherine Gilmore Richardson,Deja Lynn Alvarez,Sandra Dungee Glenn,Fernando Treviño,Beth Finn,Ogbonna Paul Hagins,Ethelind Baylor,Fareed Abdullah,Asa Khalif,Hena Veit,Wayne Edmund Dorsey,Willie Floyd Singletary,Latrice Y Bryant,Vinny Black,Wayne Allen,Billy Thompson,Edwin Santana,Mark Ross,Bobbie Curry,Devon Cade,Joseph A Diorio,Sherrie Cohen,Kahlil Williams,Jen Devor,Omar Sabir,Marwan Kreidie,Luigi Borda,Lisa Deeley,Moira Bohannon,Dennis Lee,Annette Thompson,Robin Trent,Carla Cain,Lewis Harris Jr,Warren Bloom,1
Helen Gym,3,34,36,23,23,20,18,18,17,15,8,7,5,5,5,1,1,1,1,2,2,1,1,0,0,0,0,0,0,0,29,15,7,12,10,9,7,6,5,4,3,1,1,1
Erika Almirón,,0,17,14,11,18,3,12,10,7,6,6,7,2,4,0,1,2,1,0,1,2,0,1,1,0,0,0,0,0,23,16,3,5,2,4,6,4,2,4,2,2,0,1
Justin Diberardinis,,,0,10,10,11,7,9,6,6,5,3,2,2,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,16,10,1,3,7,3,3,4,1,1,0,1,1,1
Adrián Rivera-reyes,,,,0,7,7,4,6,6,10,1,5,2,5,1,1,1,0,0,2,1,0,1,0,0,0,0,0,0,0,17,8,3,5,5,3,1,2,1,1,0,1,0,1
Derek S Green,,,,,0,9,11,4,9,4,5,3,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,6,5,3,3,5,4,1,2,1,1,1,0,1
Isaiah Thomas,,,,,,0,3,5,6,3,3,1,2,1,5,0,2,0,1,0,0,1,0,1,1,0,0,0,0,0,10,6,7,3,3,4,3,3,2,1,0,0,0,1
Allan Domb,,,,,,,0,9,8,3,2,4,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,12,4,5,1,3,3,0,1,3,0,1,1,1,1
Eryn Santamoor,,,,,,,,0,7,1,2,7,2,2,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,10,7,3,3,4,3,3,3,2,0,1,1,0,1
Katherine Gilmore Richardson,,,,,,,,,0,1,4,4,3,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,8,6,5,1,4,4,0,0,2,1,0,1,0,1
Deja Lynn Alvarez,,,,,,,,,,1,4,2,3,3,1,2,1,1,1,3,1,0,1,0,0,1,0,0,0,0,8,5,3,1,2,3,3,1,2,1,2,0,0,1
Sandra Dungee Glenn,,,,,,,,,,,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,6,3,3,2,2,0,1,0,1,0,2,0,0,1
Fernando Treviño,,,,,,,,,,,,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,2,1,1,3,1,0,2,0,1,0,1
Beth Finn,,,,,,,,,,,,,0,0,0,1,0,3,0,0,1,1,0,0,0,0,0,0,0,0,3,4,1,1,1,3,2,0,0,1,1,0,0,1
Ogbonna Paul Hagins,,,,,,,,,,,,,,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,3,0,3,1,2,1,1,1,0,0,0,0,0,1
Ethelind Baylor,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,2,1,1,1,0,0,0,0,0,1
Fareed Abdullah,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1
Asa Khalif,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,1,0,0,1,0,0,0,0,1
Hena Veit,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,0,0,1
Willie Floyd Singletary,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,1
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
Vinny Black,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1
Billy Thompson,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Joseph A Diorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Kahlil Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,2,2,3,1,1,3,2,0,0,1,0,1
Jen Devor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,2,2,1,0,0,0,0,0,1
Omar Sabir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,4,0,0,1,0,1,0,0,1
Marwan Kreidie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,2,1,1,2,0,0,1,1
Luigi Borda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,1,0,0,0,0,1
Lisa Deeley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,0,0,1
Moira Bohannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2,0,0,1
Dennis Lee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1
Annette Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,1
Robin Trent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
Carla Cain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
Lewis Harris Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
Warren Bloom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
Total,79,43,39,28,28,26,24,24,22,21,13,12,9,7,6,4,3,3,3,3,2,2,2,1,1,1,0,0,0,0,36,21,15,14,13,12,8,7,6,6,4,2,1,1
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,City Commissioners - Democrat,,,,,,,,,,,,,2
,Helen Gym,Isaiah Thomas,Allan Domb,Adrián Rivera-reyes,Derek S Green,Katherine Gilmore Richardson,Eryn Santamoor,Erika Almirón,Deja Lynn Alvarez,Ogbonna Paul Hagins,Willie Floyd Singletary,Justin Diberardinis,Asa Khalif,Sandra Dungee Glenn,Beth Finn,Ethelind Baylor,Billy Thompson,Fareed Abdullah,Fernando Treviño,Hena Veit,Edwin Santana,Wayne Edmund Dorsey,Wayne Allen,Bobbie Curry,Joseph A Diorio,Latrice Y Bryant,Devon Cade,Mark Ross,Sherrie Cohen,Vinny Black,Omar Sabir,Lisa Deeley,Kahlil Williams,Marwan Kreidie,Jen Devor,Annette Thompson,Carla Cain,Dennis Lee,Luigi Borda,Robin Trent,Lewis Harris Jr,Moira Bohannon,Warren Bloom,2
Helen Gym,2,17,18,17,18,19,14,12,13,11,8,7,4,4,4,3,3,3,4,4,0,2,1,0,0,1,0,0,0,0,26,25,17,11,9,5,5,3,1,2,0,0,0,2
Isaiah Thomas,,0,13,4,12,9,3,2,2,1,1,2,2,1,1,2,2,2,0,0,1,1,0,0,1,1,0,0,0,0,12,11,9,1,1,2,2,0,0,2,1,0,0,2
Allan Domb,,,0,2,11,10,2,1,1,1,2,0,3,1,2,1,3,1,0,1,0,2,0,0,0,0,0,0,0,0,13,11,5,1,0,3,1,3,0,0,1,0,0,2
Adrián Rivera-reyes,,,,0,1,2,5,3,10,7,6,3,3,0,4,1,2,0,2,0,2,1,0,1,1,0,0,0,0,0,8,3,7,9,3,3,2,2,0,1,0,0,0,2
Derek S Green,,,,,0,12,2,3,1,1,0,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,6,2,3,1,1,0,0,1,0,0,0,2
Katherine Gilmore Richardson,,,,,,0,7,5,0,0,1,5,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,10,11,5,2,7,0,1,0,0,0,0,0,0,2
Eryn Santamoor,,,,,,,0,7,3,1,2,6,0,1,3,1,2,1,2,1,0,0,0,0,0,1,0,0,0,0,2,2,9,5,8,2,2,1,0,1,0,0,0,2
Erika Almirón,,,,,,,,0,3,3,0,4,0,2,1,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,2,7,5,7,1,2,0,2,1,0,0,0,2
