col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,All
,Helen Gym,Derek S Green,Justin Diberardinis,Isaiah Thomas,Allan Domb,Erika Almirón,Katherine Gilmore Richardson,Eryn Santamoor,Adrián Rivera-reyes,Sandra Dungee Glenn,Deja Lynn Alvarez,Ethelind Baylor,Willie Floyd Singletary,Asa Khalif,Latrice Y Bryant,Fareed Abdullah,Fernando Treviño,Ogbonna Paul Hagins,Beth Finn,Billy Thompson,Edwin Santana,Mark Ross,Wayne Allen,Hena Veit,Joseph A Diorio,Bobbie Curry,Vinny Black,Devon Cade,Wayne Edmund Dorsey,Sherrie Cohen,Theresa Brunson,David H Conroy,All
Helen Gym,101,"1,973","1,641","1,172","1,027","1,424",963,804,627,446,438,321,253,209,188,173,246,232,226,120,57,50,58,70,47,37,34,30,19,0,"1,516","1,616",All
Derek S Green,,48,"1,440","1,380","1,081",819,810,577,221,561,151,378,108,164,157,193,108,50,90,98,63,49,55,18,24,26,29,23,29,0,"1,114","1,349",All
Justin Diberardinis,,,11,837,514,976,449,525,232,316,128,354,31,64,53,46,94,28,79,23,26,16,14,11,22,17,12,8,3,0,627,"1,193",All
Isaiah Thomas,,,,31,723,427,517,300,177,506,103,370,120,155,148,173,61,47,57,93,41,55,54,20,33,21,23,26,25,0,895,841,All
Allan Domb,,,,,31,164,395,439,119,260,95,73,102,119,81,134,91,44,82,71,42,36,37,26,43,22,33,30,20,0,717,596,All
Erika Almirón,,,,,,11,406,328,240,116,167,197,21,79,68,44,142,32,99,39,14,9,23,28,8,13,6,10,6,0,558,838,All
Katherine Gilmore Richardson,,,,,,,12,327,102,225,57,58,39,70,109,70,120,38,93,54,35,32,22,24,15,16,9,11,14,1,584,568,All
Eryn Santamoor,,,,,,,,7,148,86,90,50,32,45,55,38,150,34,79,22,19,20,10,30,17,17,9,7,6,0,436,492,All
Adrián Rivera-reyes,,,,,,,,,22,60,328,54,211,57,66,50,89,192,75,46,18,18,16,34,28,20,10,13,10,0,455,410,All
Sandra Dungee Glenn,,,,,,,,,,4,38,226,29,85,80,51,27,12,68,45,34,15,17,20,16,9,10,10,10,0,459,336,All
Deja Lynn Alvarez,,,,,,,,,,,10,39,186,66,62,40,48,177,62,22,15,19,20,26,26,13,12,8,3,0,346,283,All
Ethelind Baylor,,,,,,,,,,,,6,10,21,31,27,19,17,27,16,15,11,13,3,4,3,4,3,4,0,252,321,All
Willie Floyd Singletary,,,,,,,,,,,,,13,29,34,44,25,147,16,33,6,15,17,10,14,14,11,10,9,0,267,176,All
Asa Khalif,,,,,,,,,,,,,,1,54,109,28,21,34,21,22,14,15,18,7,15,9,11,8,0,267,91,All
Latrice Y Bryant,,,,,,,,,,,,,,,3,47,22,21,42,21,24,18,18,18,7,21,9,17,8,0,272,96,All
Fareed Abdullah,,,,,,,,,,,,,,,,3,15,13,11,23,29,13,20,14,12,10,15,16,11,0,260,79,All
Fernando Treviño,,,,,,,,,,,,,,,,,2,20,15,12,17,8,5,12,20,4,9,5,4,0,151,162,All
Ogbonna Paul Hagins,,,,,,,,,,,,,,,,,,6,16,12,8,9,6,11,12,6,2,7,6,0,164,143,All
Beth Finn,,,,,,,,,,,,,,,,,,,0,10,4,12,11,23,10,10,9,4,4,0,205,95,All
Billy Thompson,,,,,,,,,,,,,,,,,,,,1,12,16,16,9,16,16,18,7,9,0,149,75,All
Edwin Santana,,,,,,,,,,,,,,,,,,,,,0,7,6,5,9,8,7,5,0,0,90,41,All
Mark Ross,,,,,,,,,,,,,,,,,,,,,,3,15,4,6,14,11,9,5,0,74,44,All
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,3,4,8,5,5,8,2,0,75,42,All
Hena Veit,,,,,,,,,,,,,,,,,,,,,,,,1,13,6,6,2,4,0,84,29,All
Joseph A Diorio,,,,,,,,,,,,,,,,,,,,,,,,,0,5,9,7,4,0,66,42,All
