col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,division
,Register Of Wills - Democrat,,,City Commissioners - Democrat,,,,,,,,,,,,,All
,Tracey Gordon,Ronald R Donatucci,Jacque P Whaumbush,Omar Sabir,Lisa Deeley,Kahlil Williams,Jen Devor,Marwan Kreidie,Annette Thompson,Dennis Lee,Luigi Borda,Carla Cain,Moira Bohannon,Robin Trent,Warren Bloom,Lewis Harris Jr,All
Tracey Gordon,"4,100",0,0,"22,880","16,401","21,675","10,865","12,959","7,607","4,918","4,172","4,500","2,770","2,651","1,365","1,595",All
Ronald R Donatucci,,"5,282",0,"31,368","32,717","11,805","5,081","4,346","2,863","2,734","4,130","1,791",906,"1,015","1,349","1,022",All
Jacque P Whaumbush,,,"1,697","9,778","6,375","6,344","2,828","3,374","2,521","2,546","1,399","2,399",877,785,603,676,All
Omar Sabir,,,,"3,996","26,745","8,202",557,"4,945","2,641","2,900",787,"1,224",390,581,515,659,All
Lisa Deeley,,,,,"2,334","5,421","1,436","3,383","3,516","1,258","1,947","1,568",672,589,453,282,All
Kahlil Williams,,,,,,"2,332","14,512","3,007","2,290","2,124","1,386","1,171",790,821,490,797,All
Jen Devor,,,,,,,534,"1,016",409,302,"1,640",723,581,228,123,198,All
Marwan Kreidie,,,,,,,,"1,026",543,656,"1,195",552,470,447,245,93,All
Annette Thompson,,,,,,,,,459,418,344,"1,053",435,487,285,298,All
Dennis Lee,,,,,,,,,,458,504,744,143,316,306,276,All
Luigi Borda,,,,,,,,,,,635,461,273,163,217,98,All
Carla Cain,,,,,,,,,,,,240,439,316,151,161,All
Moira Bohannon,,,,,,,,,,,,,90,212,85,66,All
Robin Trent,,,,,,,,,,,,,,95,153,141,All
Warren Bloom,,,,,,,,,,,,,,,150,168,All
Lewis Harris Jr,,,,,,,,,,,,,,,,125,All
Total,"70,923","64,138","25,664","70,651","60,485","47,961","23,293","22,839","14,106","11,362","11,110","9,367","4,886","4,787","3,671","3,644",All
