col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,division
,Judge Of The Court Of Common Pleas - Republican,Council At Large - Republican,,,,,,,All
,Beth Grossman,Dan Tinney,Al Taubenberger,Matt Wolfe,Bill Heeney,David Oh,Drew Murray,Irina M Goldstein,All
Beth Grossman,268,"11,031","10,228","10,433","9,944","5,131","3,217","3,036",All
Dan Tinney,,445,"9,817","9,095","9,592","4,193","2,723","2,588",All
Al Taubenberger,,,343,"8,471","8,954","3,914","2,439","2,413",All
Matt Wolfe,,,,285,"8,421","4,149","2,212","1,755",All
Bill Heeney,,,,,222,"3,519","2,430","2,230",All
David Oh,,,,,,203,"2,019","1,634",All
Drew Murray,,,,,,,31,"1,624",All
Irina M Goldstein,,,,,,,,112,All
Total,"15,671","13,438","12,338","12,185","11,815","6,295","3,845","3,703",All
