col_1,col_2,col_3,division
,Mayor - Republican,District Council 2nd District - Republican,All
,Billy Ciancaglini,Michael Bradley,All
Billy Ciancaglini,23,101,All
Michael Bradley,,5,All
Total,124,106,All
,Mayor - Republican,District Council 2nd District - Republican,14
,Billy Ciancaglini,Michael Bradley,14
Billy Ciancaglini,5,39,14
Michael Bradley,,3,14
Total,44,42,14
,Mayor - Republican,District Council 2nd District - Republican,36
,Billy Ciancaglini,Michael Bradley,36
Billy Ciancaglini,8,24,36
Michael Bradley,,2,36
Total,32,26,36
,Mayor - Republican,District Council 2nd District - Republican,41
,Billy Ciancaglini,Michael Bradley,41
Billy Ciancaglini,10,38,41
Michael Bradley,,0,41
Total,48,38,41
