col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,division
,District Council 3rd District - Democrat,,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Jannie L Blackwell,Jamie Gauthier,Helen Gym,Allan Domb,Isaiah Thomas,Katherine Gilmore Richardson,Derek S Green,Adrián Rivera-reyes,Deja Lynn Alvarez,Willie Floyd Singletary,Ogbonna Paul Hagins,Erika Almirón,Ethelind Baylor,Justin Diberardinis,Eryn Santamoor,Asa Khalif,Fareed Abdullah,Billy Thompson,Beth Finn,Latrice Y Bryant,Devon Cade,Fernando Treviño,Hena Veit,Joseph A Diorio,Sandra Dungee Glenn,Wayne Allen,Vinny Black,Edwin Santana,Mark Ross,Wayne Edmund Dorsey,Bobbie Curry,Sherrie Cohen,All
Jannie L Blackwell,28,0,138,78,57,65,47,33,36,30,16,12,10,11,6,7,8,10,7,4,6,4,3,4,4,3,4,1,2,2,1,0,All
Jamie Gauthier,,14,67,33,27,21,19,17,8,14,11,8,10,6,9,7,5,2,1,2,1,3,4,3,3,4,2,3,2,2,2,0,All
Helen Gym,,,11,93,73,83,58,25,18,23,20,20,21,11,11,7,6,6,4,4,5,3,4,5,3,2,3,2,0,3,1,0,All
Allan Domb,,,,2,54,76,59,4,6,6,2,3,5,12,10,6,7,3,2,2,2,0,3,4,2,4,3,2,1,2,2,0,All
Isaiah Thomas,,,,,2,52,56,4,2,4,4,18,21,8,4,9,8,4,3,3,2,1,0,1,2,4,1,3,0,0,1,0,All
Katherine Gilmore Richardson,,,,,,0,51,3,4,3,2,7,5,3,5,2,1,3,2,4,3,1,1,2,4,0,1,1,0,1,0,0,All
Derek S Green,,,,,,,1,3,0,3,0,3,4,7,7,3,4,3,1,1,2,1,0,1,1,1,1,0,0,2,1,0,All
Adrián Rivera-reyes,,,,,,,,0,18,22,18,1,0,1,0,2,2,3,1,0,0,2,2,0,0,0,0,0,0,0,0,0,All
Deja Lynn Alvarez,,,,,,,,,0,19,16,2,1,1,2,0,0,0,0,0,1,0,2,0,1,1,1,0,0,0,0,0,All
Willie Floyd Singletary,,,,,,,,,,0,17,1,0,1,1,1,2,3,2,0,0,2,2,1,0,1,1,0,1,0,0,0,All
Ogbonna Paul Hagins,,,,,,,,,,,0,1,1,2,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,All
Erika Almirón,,,,,,,,,,,,0,13,2,1,3,0,1,2,3,0,2,1,0,1,0,0,1,0,1,0,0,All
Ethelind Baylor,,,,,,,,,,,,,1,5,2,2,1,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,All
Justin Diberardinis,,,,,,,,,,,,,,0,4,0,0,2,1,1,0,0,0,1,0,0,1,0,1,0,0,0,All
Eryn Santamoor,,,,,,,,,,,,,,,0,1,1,0,1,0,1,2,1,2,0,1,1,2,0,0,1,0,All
Asa Khalif,,,,,,,,,,,,,,,,0,5,1,1,3,1,1,1,0,1,1,0,1,0,0,0,0,All
Fareed Abdullah,,,,,,,,,,,,,,,,,0,1,0,2,0,0,1,0,2,2,0,0,0,0,0,0,All
Billy Thompson,,,,,,,,,,,,,,,,,,0,0,0,2,0,0,1,1,2,1,0,1,0,1,0,All
Beth Finn,,,,,,,,,,,,,,,,,,,0,2,0,1,0,1,0,0,1,1,2,1,0,0,All
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,3,0,1,0,0,0,0,0,All
Devon Cade,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,2,0,1,0,0,0,All
Fernando Treviño,,,,,,,,,,,,,,,,,,,,,,0,2,1,0,0,1,0,1,0,0,0,All
Hena Veit,,,,,,,,,,,,,,,,,,,,,,,0,1,2,1,0,0,0,0,1,0,All
Joseph A Diorio,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,All
Sandra Dungee Glenn,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,1,0,All
