col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,division
Sandra Dungee Glenn,,,,,,,,,,,,,,,,,2,7,18,12,19,8,8,9,13,5,7,7,7,3,1,2,0,All
Fernando Treviño,,,,,,,,,,,,,,,,,,0,10,10,14,12,5,0,7,10,25,2,10,6,4,2,0,All
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,0,21,25,6,13,10,8,12,11,5,9,9,4,4,0,All
Fareed Abdullah,,,,,,,,,,,,,,,,,,,,3,35,12,8,9,3,10,4,5,3,3,3,3,0,All
Asa Khalif,,,,,,,,,,,,,,,,,,,,,3,6,7,3,4,7,4,3,4,4,3,2,0,All
Billy Thompson,,,,,,,,,,,,,,,,,,,,,,1,6,2,13,5,4,11,9,3,2,6,0,All
Vinny Black,,,,,,,,,,,,,,,,,,,,,,,3,0,12,7,8,10,9,7,3,2,0,All
Ethelind Baylor,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,1,1,3,1,3,1,0,All
Joseph A Diorio,,,,,,,,,,,,,,,,,,,,,,,,,0,5,2,8,6,4,5,2,0,All
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,7,0,6,3,6,0,All
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,5,4,2,1,0,All
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,8,1,3,0,All
Hena Veit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,2,2,0,All
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,0,All
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,All
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"1,425",782,289,"1,059",873,866,700,533,508,400,357,335,282,198,175,173,172,151,142,141,136,106,103,100,86,76,69,65,62,53,39,38,0,All
,Mayor - Democrat,,,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Jim Kenney,Anthony Hardy Williams,Alan Butkovitz,Helen Gym,Allan Domb,Adrián Rivera-reyes,Isaiah Thomas,Katherine Gilmore Richardson,Deja Lynn Alvarez,Derek S Green,Eryn Santamoor,Beth Finn,Justin Diberardinis,Latrice Y Bryant,Erika Almirón,Willie Floyd Singletary,Fernando Treviño,Sandra Dungee Glenn,Asa Khalif,Joseph A Diorio,Vinny Black,Fareed Abdullah,Ogbonna Paul Hagins,Hena Veit,Billy Thompson,Ethelind Baylor,Mark Ross,Edwin Santana,Wayne Allen,Devon Cade,Bobbie Curry,Sherrie Cohen,Wayne Edmund Dorsey,1
Jim Kenney,3,0,0,25,13,12,14,18,6,14,10,10,5,6,5,4,3,7,2,2,2,2,1,2,2,1,2,0,1,0,0,0,0,1
Anthony Hardy Williams,,4,0,8,10,6,6,1,9,6,3,2,2,4,4,5,3,2,4,0,1,4,3,0,0,0,0,1,0,0,0,0,0,1
Alan Butkovitz,,,1,10,7,5,3,3,5,2,4,3,5,3,2,3,1,0,1,5,3,0,2,2,2,0,1,1,1,1,0,0,0,1
Helen Gym,,,,0,11,13,12,13,9,11,6,8,10,5,7,6,3,5,2,5,1,2,4,2,2,2,1,1,1,0,0,0,0,1
Allan Domb,,,,,0,4,11,13,5,15,9,4,3,4,2,3,1,1,4,3,1,1,1,0,1,0,1,1,0,0,0,0,0,1
Adrián Rivera-reyes,,,,,,0,2,2,9,0,2,4,4,3,4,4,5,0,2,3,0,1,4,0,1,0,0,1,0,0,0,0,0,1
Isaiah Thomas,,,,,,,0,12,4,15,5,3,5,4,3,2,1,3,3,0,0,5,0,3,1,1,1,0,0,1,0,0,0,1
Katherine Gilmore Richardson,,,,,,,,0,3,13,9,5,3,3,2,0,0,4,1,1,0,0,0,3,1,2,1,0,1,1,0,0,0,1
Deja Lynn Alvarez,,,,,,,,,1,2,3,5,1,0,3,4,5,2,1,2,1,2,4,2,1,0,0,0,0,1,0,0,0,1
Derek S Green,,,,,,,,,,0,8,3,3,3,1,2,0,2,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1
Eryn Santamoor,,,,,,,,,,,1,3,2,4,1,1,0,3,3,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1
Beth Finn,,,,,,,,,,,,0,3,1,4,1,2,5,1,1,1,0,1,1,1,1,2,0,0,0,0,0,0,1
Justin Diberardinis,,,,,,,,,,,,,0,0,4,2,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1
Latrice Y Bryant,,,,,,,,,,,,,,0,2,3,1,1,2,2,2,3,0,1,1,0,0,2,1,0,0,0,0,1
Erika Almirón,,,,,,,,,,,,,,,0,0,0,2,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1
Willie Floyd Singletary,,,,,,,,,,,,,,,,0,0,1,2,1,1,1,3,0,2,0,0,0,1,0,0,0,0,1
Fernando Treviño,,,,,,,,,,,,,,,,,0,1,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,1
Sandra Dungee Glenn,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1
Asa Khalif,,,,,,,,,,,,,,,,,,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
Joseph A Diorio,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
Vinny Black,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,0,1,1,0,0,0,0,1
Fareed Abdullah,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1
