col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,Sheriff - Democrat,,,,All
,Joshua Roberts,Jennifer Schultz,Carmella Jacquinto,Wendi Barish,Craig Levin,Anthony Kyriakakis,James C Crumlish,Tiffany Palmer,Cateria R Mccabe,Jon Marshall,Henry Mcgregor Sias,Leon Goodman,Terri M Booker,Kendra Mccrae,Sherman Toppin,Kay Yu,Nicola Serianni,Chris Hall,Beth Grossman,Janine D Momasso,Laurie Dow,Vicki Markovitz,Robert Trimble,Gregory Weyer,James F Berardinelli,Rochelle Bilal,Jewell Williams,Malika Rahman,Larry King Sr,All
Joshua Roberts,18,84,111,103,83,98,106,20,41,76,92,43,32,24,56,14,25,15,13,12,17,7,17,2,6,99,143,46,4,All
Jennifer Schultz,,12,35,56,88,28,36,61,36,75,10,29,19,33,13,30,49,20,33,25,27,21,11,5,11,147,58,59,3,All
Carmella Jacquinto,,,4,85,20,106,77,27,58,5,86,33,30,37,42,24,20,10,20,21,18,14,6,5,4,38,118,30,4,All
Wendi Barish,,,,1,28,79,85,47,30,19,66,22,31,29,13,21,30,16,24,24,20,15,7,7,8,61,96,21,4,All
Craig Levin,,,,,18,18,22,23,12,63,6,28,18,12,17,7,16,15,13,10,15,7,11,7,4,79,42,37,7,All
Anthony Kyriakakis,,,,,,2,83,39,49,4,89,29,13,21,41,24,7,24,9,12,10,11,8,1,11,39,104,20,3,All
James C Crumlish,,,,,,,1,26,15,15,59,32,27,16,21,13,18,25,8,5,11,10,10,2,5,42,90,13,5,All
Tiffany Palmer,,,,,,,,1,37,12,16,41,40,44,16,36,29,40,22,24,21,14,12,12,18,68,36,38,6,All
Cateria R Mccabe,,,,,,,,,0,8,43,32,22,34,40,18,21,10,12,27,4,10,7,7,10,49,55,13,3,All
Jon Marshall,,,,,,,,,,5,3,18,14,15,12,4,20,8,6,2,4,4,5,3,7,67,23,24,1,All
Henry Mcgregor Sias,,,,,,,,,,,1,13,7,6,32,15,7,5,6,8,6,5,4,1,9,21,80,12,3,All
Leon Goodman,,,,,,,,,,,,0,42,27,25,20,14,20,12,15,9,10,11,9,14,41,41,25,7,All
Terri M Booker,,,,,,,,,,,,,2,42,23,26,7,20,15,11,13,12,11,7,4,37,50,16,5,All
Kendra Mccrae,,,,,,,,,,,,,,1,15,19,16,11,13,17,13,6,11,6,5,41,33,24,2,All
Sherman Toppin,,,,,,,,,,,,,,,0,8,4,8,1,3,10,8,6,3,3,24,50,8,2,All
Kay Yu,,,,,,,,,,,,,,,,0,15,16,13,13,7,12,2,2,5,34,20,23,5,All
Nicola Serianni,,,,,,,,,,,,,,,,,0,7,14,15,9,11,8,3,1,41,21,14,1,All
Chris Hall,,,,,,,,,,,,,,,,,,1,6,5,10,4,4,5,6,27,16,18,4,All
Beth Grossman,,,,,,,,,,,,,,,,,,,1,7,13,14,7,5,5,28,19,13,1,All
Janine D Momasso,,,,,,,,,,,,,,,,,,,,0,7,12,4,4,9,32,16,10,1,All
Laurie Dow,,,,,,,,,,,,,,,,,,,,,0,8,5,2,3,28,17,9,1,All
Vicki Markovitz,,,,,,,,,,,,,,,,,,,,,,0,5,2,6,24,16,8,0,All
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,,0,5,5,18,13,6,1,All
Gregory Weyer,,,,,,,,,,,,,,,,,,,,,,,,5,2,14,6,7,3,All
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,,,0,17,7,9,1,All
Rochelle Bilal,,,,,,,,,,,,,,,,,,,,,,,,,,19,0,0,0,All
Jewell Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,31,0,0,All
Malika Rahman,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,0,All
Larry King Sr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,All
Total,336,289,210,197,191,178,166,153,128,126,125,122,117,105,92,83,81,68,64,62,57,51,40,36,34,315,309,167,22,All
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,Sheriff - Democrat,,,,1
,Joshua Roberts,James C Crumlish,Jennifer Schultz,Anthony Kyriakakis,Craig Levin,Leon Goodman,Tiffany Palmer,Carmella Jacquinto,Jon Marshall,Wendi Barish,Nicola Serianni,Terri M Booker,Kay Yu,Kendra Mccrae,Cateria R Mccabe,Gregory Weyer,Henry Mcgregor Sias,Chris Hall,Janine D Momasso,Vicki Markovitz,Beth Grossman,James F Berardinelli,Robert Trimble,Sherman Toppin,Laurie Dow,Jewell Williams,Malika Rahman,Rochelle Bilal,Larry King Sr,1
Joshua Roberts,0,12,7,7,6,7,3,8,5,7,3,2,2,1,1,2,5,2,2,1,1,0,1,2,0,12,6,6,0,1
James C Crumlish,,1,4,9,2,4,3,7,2,7,3,3,3,2,2,0,5,3,0,2,0,0,1,1,1,7,3,6,1,1
Jennifer Schultz,,,1,5,7,4,7,2,4,2,3,1,1,3,1,2,0,2,3,2,0,2,0,1,1,2,12,2,1,1
Anthony Kyriakakis,,,,0,4,2,6,5,2,7,1,1,0,3,0,0,6,3,1,2,0,3,2,2,1,6,4,5,0,1
Craig Levin,,,,,0,3,3,2,4,2,2,0,1,1,0,2,2,3,2,1,1,1,2,2,0,4,5,3,1,1
Leon Goodman,,,,,,0,5,2,5,3,5,3,3,5,3,0,1,1,1,0,1,2,1,1,0,1,5,5,0,1
Tiffany Palmer,,,,,,,0,1,1,2,3,2,3,4,3,0,0,4,2,2,1,3,1,0,1,2,8,2,0,1
Carmella Jacquinto,,,,,,,,0,0,6,1,5,4,2,1,0,4,0,2,1,2,0,0,1,0,5,2,3,1,1
Jon Marshall,,,,,,,,,1,1,3,3,0,2,2,2,0,1,1,1,0,0,1,1,0,1,4,4,0,1
Wendi Barish,,,,,,,,,,0,4,1,0,1,1,0,5,1,3,0,1,0,0,0,0,3,2,5,0,1
Nicola Serianni,,,,,,,,,,,0,1,1,0,1,0,1,1,2,0,1,0,1,0,0,1,4,3,0,1
Terri M Booker,,,,,,,,,,,,0,4,4,4,0,0,1,3,2,1,0,0,1,0,2,2,4,0,1
Kay Yu,,,,,,,,,,,,,0,4,3,0,0,1,1,0,1,0,0,0,0,1,4,1,1,1
Kendra Mccrae,,,,,,,,,,,,,,0,4,0,0,0,2,0,0,2,0,0,0,0,3,3,1,1
Cateria R Mccabe,,,,,,,,,,,,,,,0,0,0,1,2,1,0,0,0,0,0,1,2,3,0,1
Gregory Weyer,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,2,3,0,1
Henry Mcgregor Sias,,,,,,,,,,,,,,,,,0,1,1,0,0,0,1,1,0,4,0,2,0,1
Chris Hall,,,,,,,,,,,,,,,,,,0,1,1,0,0,1,1,0,0,3,2,0,1
Janine D Momasso,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,2,3,0,1
Vicki Markovitz,,,,,,,,,,,,,,,,,,,,0,0,1,1,0,1,1,1,2,0,1
Beth Grossman,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,0,1
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,2,0,0,1
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,2,0,1
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,0,1,0,1
Laurie Dow,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,1
