col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,division
,District Council 6th District - Democrat,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Bobby Henon,Helen Gym,Allan Domb,Katherine Gilmore Richardson,Derek S Green,Isaiah Thomas,Justin Diberardinis,Eryn Santamoor,Adrián Rivera-reyes,Deja Lynn Alvarez,Beth Finn,Willie Floyd Singletary,Erika Almirón,Sandra Dungee Glenn,Joseph A Diorio,Ogbonna Paul Hagins,Fernando Treviño,Billy Thompson,Bobbie Curry,Vinny Black,Hena Veit,Asa Khalif,Ethelind Baylor,Mark Ross,Latrice Y Bryant,Fareed Abdullah,Edwin Santana,Wayne Allen,Wayne Edmund Dorsey,Devon Cade,Sherrie Cohen,All
Bobby Henon,167,768,623,346,333,328,227,195,225,212,154,144,97,110,108,94,67,75,69,59,56,46,41,34,47,37,37,26,16,19,1,All
Helen Gym,,36,511,316,285,290,181,173,132,117,119,82,98,81,41,68,43,38,37,21,29,22,34,27,22,14,13,7,9,8,0,All
Allan Domb,,,41,288,317,278,212,166,56,45,77,24,54,64,70,15,36,46,35,32,23,15,16,31,9,13,15,17,9,11,1,All
Katherine Gilmore Richardson,,,,3,239,229,65,76,27,27,60,10,44,50,23,7,22,18,17,11,16,6,10,9,15,8,5,5,9,4,0,All
Derek S Green,,,,,1,246,79,57,26,17,21,10,19,18,16,6,12,14,15,16,8,9,17,11,10,11,8,9,5,4,0,All
Isaiah Thomas,,,,,,4,59,29,32,27,20,13,26,21,19,8,11,16,8,7,7,23,18,6,18,19,8,6,9,3,0,All
Justin Diberardinis,,,,,,,10,88,25,14,49,4,35,24,36,1,11,9,15,14,13,13,19,17,7,6,10,5,5,3,0,All
Eryn Santamoor,,,,,,,,7,35,37,46,14,47,36,26,11,29,17,18,12,22,11,10,7,13,3,16,2,3,5,0,All
Adrián Rivera-reyes,,,,,,,,,8,99,27,75,22,13,15,64,37,10,9,7,12,4,11,4,14,7,17,3,3,3,1,All
Deja Lynn Alvarez,,,,,,,,,,7,24,78,25,15,9,63,28,12,7,9,12,15,10,4,9,4,12,6,3,2,1,All
Beth Finn,,,,,,,,,,,0,9,36,49,33,11,12,24,25,12,19,10,10,13,10,2,9,9,8,4,0,All
Willie Floyd Singletary,,,,,,,,,,,,4,6,4,12,58,7,7,7,7,8,5,2,4,8,7,5,5,4,3,0,All
Erika Almirón,,,,,,,,,,,,,1,25,12,3,13,4,6,3,10,15,13,2,10,2,6,1,0,3,1,All
Sandra Dungee Glenn,,,,,,,,,,,,,,1,16,5,4,10,12,8,13,8,11,8,17,3,2,7,3,3,0,All
Joseph A Diorio,,,,,,,,,,,,,,,6,10,12,24,17,16,9,5,4,11,4,0,5,3,4,2,0,All
Ogbonna Paul Hagins,,,,,,,,,,,,,,,,5,9,5,2,5,6,6,2,1,2,4,1,1,0,1,0,All
Fernando Treviño,,,,,,,,,,,,,,,,,0,9,5,3,4,4,3,7,4,4,11,3,2,1,0,All
Billy Thompson,,,,,,,,,,,,,,,,,,0,16,7,8,4,1,6,4,1,3,7,2,4,0,All
Bobbie Curry,,,,,,,,,,,,,,,,,,,0,6,5,1,1,7,4,1,10,6,2,3,0,All
Vinny Black,,,,,,,,,,,,,,,,,,,,1,9,3,4,5,3,1,2,1,1,8,0,All
Hena Veit,,,,,,,,,,,,,,,,,,,,,0,6,1,4,7,4,1,1,0,4,0,All
Asa Khalif,,,,,,,,,,,,,,,,,,,,,,0,7,4,7,16,4,6,0,2,0,All
Ethelind Baylor,,,,,,,,,,,,,,,,,,,,,,,0,1,3,3,2,5,1,0,0,All
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,,0,3,5,1,8,7,1,0,All
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,,,,,,,2,7,2,2,1,2,0,All
Fareed Abdullah,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,7,1,1,0,All
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,2,0,All
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,2,0,All
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,All
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"1,513","1,005",876,442,423,404,344,298,271,246,210,162,144,144,138,109,95,94,82,74,69,65,60,59,58,50,47,37,27,24,1,All
,District Council 6th District - Democrat,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Bobby Henon,Helen Gym,Allan Domb,Katherine Gilmore Richardson,Eryn Santamoor,Isaiah Thomas,Justin Diberardinis,Derek S Green,Beth Finn,Deja Lynn Alvarez,Joseph A Diorio,Erika Almirón,Sandra Dungee Glenn,Bobbie Curry,Vinny Black,Wayne Allen,Adrián Rivera-reyes,Fernando Treviño,Mark Ross,Willie Floyd Singletary,Billy Thompson,Edwin Santana,Ethelind Baylor,Latrice Y Bryant,Fareed Abdullah,Hena Veit,Ogbonna Paul Hagins,Wayne Edmund Dorsey,Asa Khalif,Devon Cade,Sherrie Cohen,1
Bobby Henon,10,44,34,24,13,19,14,17,13,7,7,6,6,5,3,5,4,3,2,3,3,2,3,3,2,2,1,0,0,0,0,1
Helen Gym,,0,27,23,14,19,11,18,10,7,3,4,6,3,2,2,3,1,3,0,2,1,3,3,1,0,1,0,0,0,0,1
Allan Domb,,,2,17,15,16,8,16,4,1,3,3,3,2,2,3,1,0,2,0,2,1,0,0,1,1,0,0,0,0,0,1
Katherine Gilmore Richardson,,,,0,8,15,6,16,4,5,2,2,1,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Eryn Santamoor,,,,,0,0,5,3,2,2,1,4,1,1,1,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,1
Isaiah Thomas,,,,,,0,6,15,1,1,0,0,1,0,0,1,2,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1
Justin Diberardinis,,,,,,,1,3,1,3,1,1,2,1,0,0,1,1,2,0,0,0,1,0,0,0,0,1,0,0,0,1
Derek S Green,,,,,,,,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
Beth Finn,,,,,,,,,0,4,4,4,4,2,4,2,1,1,1,0,2,0,2,2,0,2,0,0,0,0,0,1
Deja Lynn Alvarez,,,,,,,,,,0,0,1,1,1,0,2,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1
