col_1,col_2,col_3,division
,District Council 4th District - Democrat,,All
,Curtis Jones Jr,Ron Adams,All
Curtis Jones Jr,"2,080",0,All
Ron Adams,,602,All
Total,"2,080",602,All
,District Council 4th District - Democrat,,1
,Curtis Jones Jr,Ron Adams,1
Curtis Jones Jr,81,0,1
Ron Adams,,23,1
Total,81,23,1
,District Council 4th District - Democrat,,2
,Curtis Jones Jr,Ron Adams,2
Curtis Jones Jr,101,0,2
Ron Adams,,36,2
Total,101,36,2
,District Council 4th District - Democrat,,3
,Curtis Jones Jr,Ron Adams,3
Curtis Jones Jr,114,0,3
Ron Adams,,27,3
Total,114,27,3
,District Council 4th District - Democrat,,4
,Curtis Jones Jr,Ron Adams,4
Curtis Jones Jr,59,0,4
Ron Adams,,25,4
Total,59,25,4
,District Council 4th District - Democrat,,5
,Curtis Jones Jr,Ron Adams,5
Curtis Jones Jr,107,0,5
Ron Adams,,35,5
Total,107,35,5
,District Council 4th District - Democrat,,6
,Curtis Jones Jr,Ron Adams,6
Curtis Jones Jr,98,0,6
Ron Adams,,19,6
Total,98,19,6
,District Council 4th District - Democrat,,7
,Curtis Jones Jr,Ron Adams,7
Curtis Jones Jr,106,0,7
Ron Adams,,33,7
Total,106,33,7
,District Council 4th District - Democrat,,8
,Curtis Jones Jr,Ron Adams,8
Curtis Jones Jr,125,0,8
Ron Adams,,28,8
Total,125,28,8
,District Council 4th District - Democrat,,9
,Curtis Jones Jr,Ron Adams,9
Curtis Jones Jr,134,0,9
Ron Adams,,21,9
Total,134,21,9
,District Council 4th District - Democrat,,10
,Curtis Jones Jr,Ron Adams,10
Curtis Jones Jr,94,0,10
Ron Adams,,46,10
Total,94,46,10
,District Council 4th District - Democrat,,11
,Curtis Jones Jr,Ron Adams,11
Curtis Jones Jr,104,0,11
Ron Adams,,19,11
Total,104,19,11
,District Council 4th District - Democrat,,12
,Curtis Jones Jr,Ron Adams,12
Curtis Jones Jr,101,0,12
Ron Adams,,15,12
Total,101,15,12
,District Council 4th District - Democrat,,13
,Curtis Jones Jr,Ron Adams,13
Curtis Jones Jr,92,0,13
Ron Adams,,32,13
Total,92,32,13
,District Council 4th District - Democrat,,14
,Curtis Jones Jr,Ron Adams,14
Curtis Jones Jr,76,0,14
Ron Adams,,30,14
Total,76,30,14
,District Council 4th District - Democrat,,15
,Curtis Jones Jr,Ron Adams,15
Curtis Jones Jr,113,0,15
Ron Adams,,19,15
Total,113,19,15
,District Council 4th District - Democrat,,16
,Curtis Jones Jr,Ron Adams,16
Curtis Jones Jr,80,0,16
Ron Adams,,34,16
Total,80,34,16
,District Council 4th District - Democrat,,17
,Curtis Jones Jr,Ron Adams,17
Curtis Jones Jr,99,0,17
Ron Adams,,31,17
Total,99,31,17
,District Council 4th District - Democrat,,18
,Curtis Jones Jr,Ron Adams,18
Curtis Jones Jr,99,0,18
Ron Adams,,36,18
Total,99,36,18
,District Council 4th District - Democrat,,19
,Curtis Jones Jr,Ron Adams,19
Curtis Jones Jr,66,0,19
Ron Adams,,30,19
Total,66,30,19
,District Council 4th District - Democrat,,20
,Curtis Jones Jr,Ron Adams,20
Curtis Jones Jr,86,0,20
Ron Adams,,32,20
Total,86,32,20
,District Council 4th District - Democrat,,21
,Curtis Jones Jr,Ron Adams,21
Curtis Jones Jr,145,0,21
Ron Adams,,31,21
Total,145,31,21
