col_1,col_2,division
,District Council 1st District - Republican,All
,Daniel Orsino,All
Daniel Orsino,196,All
Total,196,All
,District Council 1st District - Republican,1
,Daniel Orsino,1
Daniel Orsino,3,1
Total,3,1
,District Council 1st District - Republican,3
,Daniel Orsino,3
Daniel Orsino,6,3
Total,6,3
,District Council 1st District - Republican,4
,Daniel Orsino,4
Daniel Orsino,13,4
Total,13,4
,District Council 1st District - Republican,5
,Daniel Orsino,5
Daniel Orsino,12,5
Total,12,5
,District Council 1st District - Republican,6
,Daniel Orsino,6
Daniel Orsino,3,6
Total,3,6
,District Council 1st District - Republican,7
,Daniel Orsino,7
Daniel Orsino,26,7
Total,26,7
,District Council 1st District - Republican,8
,Daniel Orsino,8
Daniel Orsino,7,8
Total,7,8
,District Council 1st District - Republican,10
,Daniel Orsino,10
Daniel Orsino,8,10
Total,8,10
,District Council 1st District - Republican,11
,Daniel Orsino,11
Daniel Orsino,11,11
Total,11,11
,District Council 1st District - Republican,12
,Daniel Orsino,12
Daniel Orsino,3,12
Total,3,12
,District Council 1st District - Republican,13
,Daniel Orsino,13
Daniel Orsino,14,13
Total,14,13
,District Council 1st District - Republican,14
,Daniel Orsino,14
Daniel Orsino,15,14
Total,15,14
,District Council 1st District - Republican,15
,Daniel Orsino,15
Daniel Orsino,14,15
Total,14,15
,District Council 1st District - Republican,16
,Daniel Orsino,16
Daniel Orsino,16,16
Total,16,16
,District Council 1st District - Republican,17
,Daniel Orsino,17
Daniel Orsino,18,17
Total,18,17
,District Council 1st District - Republican,18
,Daniel Orsino,18
Daniel Orsino,11,18
Total,11,18
,District Council 1st District - Republican,19
,Daniel Orsino,19
Daniel Orsino,16,19
Total,16,19
