col_1,col_2,division
,District Council 5th District - Democrat,All
,Darrell L Clarke,All
Darrell L Clarke,741,All
Total,741,All
,District Council 5th District - Democrat,1
,Darrell L Clarke,1
Darrell L Clarke,61,1
Total,61,1
,District Council 5th District - Democrat,9
,Darrell L Clarke,9
Darrell L Clarke,49,9
Total,49,9
,District Council 5th District - Democrat,10
,Darrell L Clarke,10
Darrell L Clarke,48,10
Total,48,10
,District Council 5th District - Democrat,13
,Darrell L Clarke,13
Darrell L Clarke,58,13
Total,58,13
,District Council 5th District - Democrat,14
,Darrell L Clarke,14
Darrell L Clarke,61,14
Total,61,14
,District Council 5th District - Democrat,15
,Darrell L Clarke,15
Darrell L Clarke,46,15
Total,46,15
,District Council 5th District - Democrat,16
,Darrell L Clarke,16
Darrell L Clarke,69,16
Total,69,16
,District Council 5th District - Democrat,21
,Darrell L Clarke,21
Darrell L Clarke,69,21
Total,69,21
,District Council 5th District - Democrat,22
,Darrell L Clarke,22
Darrell L Clarke,63,22
Total,63,22
,District Council 5th District - Democrat,23
,Darrell L Clarke,23
Darrell L Clarke,66,23
Total,66,23
,District Council 5th District - Democrat,24
,Darrell L Clarke,24
Darrell L Clarke,85,24
Total,85,24
,District Council 5th District - Democrat,25
,Darrell L Clarke,25
Darrell L Clarke,66,25
Total,66,25
