col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Register Of Wills - Democrat,,,All
,Helen Gym,Allan Domb,Justin Diberardinis,Katherine Gilmore Richardson,Derek S Green,Adrián Rivera-reyes,Eryn Santamoor,Deja Lynn Alvarez,Isaiah Thomas,Beth Finn,Erika Almirón,Joseph A Diorio,Sandra Dungee Glenn,Billy Thompson,Willie Floyd Singletary,Ogbonna Paul Hagins,Fernando Treviño,Bobbie Curry,Vinny Black,Mark Ross,Wayne Edmund Dorsey,Ethelind Baylor,Hena Veit,Asa Khalif,Latrice Y Bryant,Edwin Santana,Wayne Allen,Fareed Abdullah,Devon Cade,Sherrie Cohen,Ronald R Donatucci,Tracey Gordon,Jacque P Whaumbush,All
Helen Gym,21,221,120,145,138,105,114,88,128,69,78,45,49,39,50,59,27,18,15,18,16,36,24,15,15,8,8,8,4,0,238,210,66,All
Allan Domb,,22,115,126,130,20,81,35,100,64,25,63,42,42,20,7,18,28,31,25,20,10,14,11,9,8,11,6,14,0,238,97,38,All
Justin Diberardinis,,,8,50,69,20,69,25,49,37,38,35,20,24,4,5,11,18,17,18,10,23,2,8,3,5,4,3,5,0,120,71,23,All
Katherine Gilmore Richardson,,,,2,96,16,58,18,89,45,29,21,39,18,2,5,16,14,2,13,10,9,12,4,7,2,6,2,2,0,128,65,18,All
Derek S Green,,,,,1,19,30,14,92,11,22,17,8,14,4,5,8,10,10,7,8,20,4,6,7,6,6,3,4,0,127,46,18,All
Adrián Rivera-reyes,,,,,,9,31,90,14,17,30,12,15,9,50,52,30,4,6,5,3,7,7,10,4,11,4,6,1,0,39,115,32,All
Eryn Santamoor,,,,,,,3,32,12,43,43,20,21,17,7,7,19,14,8,13,6,5,12,10,10,8,7,5,4,0,74,77,24,All
Deja Lynn Alvarez,,,,,,,,5,15,21,30,12,7,11,47,50,25,6,4,7,7,5,9,10,8,9,5,4,4,0,46,96,36,All
Isaiah Thomas,,,,,,,,,6,10,25,11,20,7,3,3,11,1,6,7,6,24,3,3,5,7,4,7,7,0,97,57,13,All
Beth Finn,,,,,,,,,,1,31,31,32,24,7,4,6,21,10,14,13,2,13,7,7,4,6,8,6,0,60,73,18,All
Erika Almirón,,,,,,,,,,,1,9,18,5,4,1,21,1,2,1,3,15,9,7,5,7,3,4,3,0,27,62,20,All
Joseph A Diorio,,,,,,,,,,,,0,10,23,8,7,9,21,16,15,8,5,4,1,8,4,7,4,8,0,74,31,14,All
Sandra Dungee Glenn,,,,,,,,,,,,,1,5,4,2,3,10,4,11,10,3,8,3,3,3,5,5,2,0,27,52,15,All
Billy Thompson,,,,,,,,,,,,,,3,7,4,9,23,8,16,12,1,8,3,4,4,3,1,2,0,47,36,12,All
Willie Floyd Singletary,,,,,,,,,,,,,,,1,42,8,3,3,3,6,0,3,1,5,1,0,1,1,0,24,50,21,All
Ogbonna Paul Hagins,,,,,,,,,,,,,,,,0,9,1,3,2,3,1,5,1,3,1,2,0,1,0,22,46,15,All
Fernando Treviño,,,,,,,,,,,,,,,,,1,4,4,2,3,3,5,1,4,11,0,2,1,0,26,32,11,All
Bobbie Curry,,,,,,,,,,,,,,,,,,0,6,10,6,1,3,0,2,2,9,1,3,0,36,22,3,All
Vinny Black,,,,,,,,,,,,,,,,,,,4,7,2,0,4,4,6,3,5,0,2,0,33,15,5,All
Mark Ross,,,,,,,,,,,,,,,,,,,,0,11,2,3,2,4,2,3,1,2,0,26,22,9,All
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,0,2,4,3,2,3,4,1,4,0,21,17,10,All
Ethelind Baylor,,,,,,,,,,,,,,,,,,,,,,1,3,1,3,2,2,0,0,0,16,24,4,All
Hena Veit,,,,,,,,,,,,,,,,,,,,,,,1,4,2,2,1,2,3,0,6,28,8,All
Asa Khalif,,,,,,,,,,,,,,,,,,,,,,,,0,3,6,0,3,3,0,9,16,8,All
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,1,3,0,8,18,8,All
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,1,0,11,15,4,All
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,14,12,2,All
Fareed Abdullah,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,3,14,6,All
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,12,8,2,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,All
Ronald R Donatucci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,0,0,All
Tracey Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,All
Jacque P Whaumbush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,All
Total,575,439,255,231,218,208,202,194,189,156,125,124,105,101,98,85,78,65,60,59,50,49,46,36,36,35,30,25,24,0,494,393,141,All
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Register Of Wills - Democrat,,,1
,Allan Domb,Helen Gym,Justin Diberardinis,Beth Finn,Eryn Santamoor,Billy Thompson,Joseph A Diorio,Katherine Gilmore Richardson,Erika Almirón,Isaiah Thomas,Bobbie Curry,Derek S Green,Ethelind Baylor,Vinny Black,Wayne Edmund Dorsey,Sandra Dungee Glenn,Adrián Rivera-reyes,Mark Ross,Deja Lynn Alvarez,Edwin Santana,Fernando Treviño,Hena Veit,Ogbonna Paul Hagins,Wayne Allen,Devon Cade,Latrice Y Bryant,Willie Floyd Singletary,Asa Khalif,Fareed Abdullah,Sherrie Cohen,Tracey Gordon,Ronald R Donatucci,Jacque P Whaumbush,1
Allan Domb,1,11,6,6,4,4,7,3,3,3,2,4,2,1,4,1,1,3,1,0,1,1,0,2,0,1,0,0,0,0,8,8,6,1
Helen Gym,,0,5,6,7,3,4,5,4,2,1,2,3,0,1,3,2,1,2,1,1,1,1,0,0,1,0,0,0,0,12,5,2,1
Justin Diberardinis,,,2,3,3,3,3,3,5,3,2,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,4,1
Beth Finn,,,,0,2,2,1,5,4,1,3,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,8,2,3,1
Eryn Santamoor,,,,,0,2,2,2,1,1,1,1,1,1,2,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,5,4,0,1
Billy Thompson,,,,,,1,3,1,0,2,2,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,3,4,2,1
Joseph A Diorio,,,,,,,0,1,0,1,2,0,1,0,2,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,4,4,1,1
Katherine Gilmore Richardson,,,,,,,,0,4,0,0,0,1,0,0,3,1,1,0,0,0,0,1,1,0,0,0,0,0,0,5,2,2,1
Erika Almirón,,,,,,,,,0,2,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,1
Isaiah Thomas,,,,,,,,,,0,0,1,2,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2,0,2,1
Bobbie Curry,,,,,,,,,,,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,0,1
Derek S Green,,,,,,,,,,,,0,2,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,2,2,1
Ethelind Baylor,,,,,,,,,,,,,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,1,0,1
Vinny Black,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1
Wayne Edmund Dorsey,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,1,1
