col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,division
,District Council 3rd District - Democrat,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Jamie Gauthier,Jannie L Blackwell,Joshua Roberts,Jennifer Schultz,Cateria R Mccabe,Tiffany Palmer,Craig Levin,Carmella Jacquinto,Sherman Toppin,Anthony Kyriakakis,Henry Mcgregor Sias,Wendi Barish,Leon Goodman,Jon Marshall,Terri M Booker,Kendra Mccrae,Nicola Serianni,Janine D Momasso,James C Crumlish,Kay Yu,Laurie Dow,Beth Grossman,Chris Hall,James F Berardinelli,Robert Trimble,Vicki Markovitz,Gregory Weyer,All
Jamie Gauthier,279,0,422,520,418,529,278,245,220,293,249,314,220,171,211,257,278,248,192,246,177,157,175,114,55,64,39,All
Jannie L Blackwell,,307,686,398,392,182,345,343,335,269,262,133,205,233,194,146,117,142,156,60,121,90,63,67,58,43,43,All
Joshua Roberts,,,30,235,410,81,251,382,443,350,334,84,153,220,163,87,86,44,160,34,84,64,47,28,36,25,17,All
Jennifer Schultz,,,,11,234,304,243,88,49,81,104,226,86,212,76,115,266,136,99,132,68,91,55,45,27,45,16,All
Cateria R Mccabe,,,,,2,275,85,333,428,371,387,164,115,47,124,131,192,219,44,114,89,45,34,71,17,25,26,All
Tiffany Palmer,,,,,,4,70,106,50,184,167,248,131,40,129,189,226,180,121,202,81,90,142,73,27,41,35,All
Craig Levin,,,,,,,8,64,77,26,24,63,91,198,80,59,81,50,95,22,104,53,41,37,31,22,18,All
Carmella Jacquinto,,,,,,,,2,320,309,291,70,119,24,107,108,39,66,98,51,68,43,29,37,20,25,14,All
Sherman Toppin,,,,,,,,,0,343,330,36,106,36,114,70,28,54,51,30,70,20,26,28,22,17,10,All
Anthony Kyriakakis,,,,,,,,,,0,371,59,60,24,30,72,55,38,105,92,24,27,113,33,12,10,13,All
Henry Mcgregor Sias,,,,,,,,,,,1,45,36,18,15,36,78,39,32,108,24,17,28,35,11,13,18,All
Wendi Barish,,,,,,,,,,,,0,61,48,69,89,192,164,80,78,62,90,49,43,19,29,20,All
