col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,division
,District Council 2nd District - Democrat,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Kenyatta Johnson,Lauren Vidas,Tiffany Palmer,Anthony Kyriakakis,Jennifer Schultz,Joshua Roberts,Kay Yu,James C Crumlish,Henry Mcgregor Sias,Craig Levin,Carmella Jacquinto,Wendi Barish,Leon Goodman,Cateria R Mccabe,Nicola Serianni,Chris Hall,Vicki Markovitz,Beth Grossman,Kendra Mccrae,Jon Marshall,Terri M Booker,Sherman Toppin,Laurie Dow,James F Berardinelli,Janine D Momasso,Robert Trimble,Gregory Weyer,All
Kenyatta Johnson,"2,258",0,"2,989","3,110","3,202","3,546","1,814","2,389","2,106","2,364","2,615","1,648","1,852","2,141","1,452","1,144",887,"1,196","1,286","1,279","1,253","1,241",798,853,867,360,284,All
Lauren Vidas,,874,"4,154","3,686","2,885","1,110","2,762","1,971","2,184","1,450",957,"1,884","1,481","1,116","1,520","1,572","1,679","1,348",937,563,462,302,757,662,625,202,237,All
Tiffany Palmer,,,8,"4,747","2,353",483,"3,615","2,210","2,920",837,797,"1,897","1,714","1,327","1,418","2,253","1,534",907,"1,020",199,568,195,567,619,672,117,195,All
Anthony Kyriakakis,,,,30,"1,376","1,418","3,131","2,581","3,468",914,"1,457","1,270","1,534","1,569",724,"2,194","1,408",615,478,133,239,862,298,645,213,112,116,All
Jennifer Schultz,,,,,81,"1,231","1,470",821,924,"1,502",727,"1,622",625,"1,235","1,782",675,735,"1,167",855,999,394,217,599,447,714,195,119,All
Joshua Roberts,,,,,,79,265,"1,327","1,085","1,402","1,596",601,741,"1,281",541,255,234,430,355,"1,034",525,989,214,233,123,167,82,All
Kay Yu,,,,,,,17,827,"2,413",555,525,867,"1,218",744,757,928,"1,179",501,544,98,339,145,299,404,267,78,179,All
James C Crumlish,,,,,,,,30,764,896,"1,295",895,710,599,583,"1,923",309,469,392,340,418,194,310,429,141,164,58,All
Henry Mcgregor Sias,,,,,,,,,5,414,"1,079",667,"1,175","1,399",564,458,"1,061",219,212,62,117,765,112,278,166,55,110,All
Craig Levin,,,,,,,,,,62,608,650,725,401,587,362,459,593,301,919,297,219,293,383,268,194,102,All
Carmella Jacquinto,,,,,,,,,,,31,656,607,"1,356",498,253,380,554,634,119,550,862,399,285,389,118,65,All
Wendi Barish,,,,,,,,,,,,10,657,758,"1,252",493,758,987,679,234,427,158,583,279,640,105,86,All
Leon Goodman,,,,,,,,,,,,,13,481,383,338,"1,250",532,512,334,661,289,329,281,299,153,137,All
Cateria R Mccabe,,,,,,,,,,,,,,7,912,173,280,321,571,144,316,940,262,220,708,71,77,All
Nicola Serianni,,,,,,,,,,,,,,,9,253,430,710,562,354,229,162,382,339,689,97,123,All
Chris Hall,,,,,,,,,,,,,,,,0,233,338,346,124,248,94,241,378,83,132,63,All
Vicki Markovitz,,,,,,,,,,,,,,,,,5,705,327,95,204,106,318,224,275,68,67,All
Beth Grossman,,,,,,,,,,,,,,,,,,13,626,189,350,109,567,366,309,113,99,All
Kendra Mccrae,,,,,,,,,,,,,,,,,,,4,174,530,252,426,170,326,146,87,All
Jon Marshall,,,,,,,,,,,,,,,,,,,,24,218,141,143,85,65,110,44,All
Terri M Booker,,,,,,,,,,,,,,,,,,,,,9,265,315,80,202,122,99,All
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,,8,170,87,139,87,64,All
Laurie Dow,,,,,,,,,,,,,,,,,,,,,,,15,159,215,71,61,All
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,,6,315,128,101,All
Janine D Momasso,,,,,,,,,,,,,,,,,,,,,,,,,6,49,70,All
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,,,,,7,51,All
Gregory Weyer,,,,,,,,,,,,,,,,,,,,,,,,,,,4,All
Total,"13,154","8,774","7,532","7,267","6,407","5,011","4,819","4,706","4,558","4,095","3,856","3,761","3,582","3,538","3,167","2,874","2,725","2,665","2,298","1,955","1,814","1,720","1,647","1,635","1,612",604,555,All
