col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,division
,City Commissioners - Democrat,,,,,,,,,,,,,All
,Omar Sabir,Lisa Deeley,Marwan Kreidie,Annette Thompson,Kahlil Williams,Carla Cain,Dennis Lee,Luigi Borda,Jen Devor,Lewis Harris Jr,Warren Bloom,Robin Trent,Moira Bohannon,All
Omar Sabir,152,181,43,10,26,6,12,3,4,1,1,0,0,All
Lisa Deeley,,123,30,33,11,11,12,9,5,2,3,2,0,All
Marwan Kreidie,,,78,3,2,4,2,7,2,0,0,0,0,All
Annette Thompson,,,,8,9,11,2,1,3,3,4,0,0,All
Kahlil Williams,,,,,18,1,1,2,5,4,2,1,0,All
Carla Cain,,,,,,9,4,3,3,2,0,2,1,All
Dennis Lee,,,,,,,10,5,1,2,2,1,1,All
Luigi Borda,,,,,,,,5,1,0,1,1,1,All
Jen Devor,,,,,,,,,3,1,0,1,0,All
Lewis Harris Jr,,,,,,,,,,2,0,2,0,All
Warren Bloom,,,,,,,,,,,1,1,1,All
Robin Trent,,,,,,,,,,,,0,1,All
Moira Bohannon,,,,,,,,,,,,,2,All
Total,439,422,171,87,82,57,55,39,29,19,16,12,7,All
,City Commissioners - Democrat,,,,,,,,,,,,,1
,Omar Sabir,Lisa Deeley,Marwan Kreidie,Annette Thompson,Carla Cain,Luigi Borda,Kahlil Williams,Dennis Lee,Jen Devor,Lewis Harris Jr,Moira Bohannon,Robin Trent,Warren Bloom,1
Omar Sabir,11,9,1,0,1,1,2,0,0,0,0,0,0,1
Lisa Deeley,,6,3,4,0,0,0,0,0,0,0,0,0,1
Marwan Kreidie,,,1,0,0,1,0,2,1,0,0,0,0,1
Annette Thompson,,,,0,2,0,1,0,0,1,0,0,0,1
Carla Cain,,,,,0,1,0,0,1,0,0,0,0,1
Luigi Borda,,,,,,1,0,0,0,0,1,0,0,1
Kahlil Williams,,,,,,,0,1,0,0,0,0,0,1
Dennis Lee,,,,,,,,0,0,0,0,0,0,1
Jen Devor,,,,,,,,,0,0,0,0,0,1
Lewis Harris Jr,,,,,,,,,,0,0,0,0,1
Moira Bohannon,,,,,,,,,,,0,0,0,1
Robin Trent,,,,,,,,,,,,0,0,1
Warren Bloom,,,,,,,,,,,,,0,1
Total,25,22,9,8,5,5,4,3,2,1,1,0,0,1
,City Commissioners - Democrat,,,,,,,,,,,,,2
,Lisa Deeley,Omar Sabir,Marwan Kreidie,Annette Thompson,Carla Cain,Kahlil Williams,Jen Devor,Luigi Borda,Dennis Lee,Lewis Harris Jr,Moira Bohannon,Robin Trent,Warren Bloom,2
Lisa Deeley,10,8,1,1,0,0,1,0,0,0,0,0,0,2
Omar Sabir,,7,3,1,0,0,0,0,0,0,0,0,0,2
Marwan Kreidie,,,5,0,0,0,0,0,0,0,0,0,0,2
Annette Thompson,,,,2,1,0,0,0,0,1,0,0,0,2
Carla Cain,,,,,0,1,1,0,0,0,0,0,0,2
Kahlil Williams,,,,,,2,0,0,0,0,0,0,0,2
Jen Devor,,,,,,,0,0,0,0,0,0,0,2
Luigi Borda,,,,,,,,2,0,0,0,0,0,2
Dennis Lee,,,,,,,,,1,0,0,0,0,2
Lewis Harris Jr,,,,,,,,,,0,0,0,0,2
Moira Bohannon,,,,,,,,,,,0,0,0,2
Robin Trent,,,,,,,,,,,,0,0,2
Warren Bloom,,,,,,,,,,,,,0,2
Total,21,19,9,6,3,3,2,2,1,1,0,0,0,2
,City Commissioners - Democrat,,,,,,,,,,,,,3
,Lisa Deeley,Omar Sabir,Annette Thompson,Marwan Kreidie,Carla Cain,Dennis Lee,Jen Devor,Kahlil Williams,Luigi Borda,Lewis Harris Jr,Moira Bohannon,Robin Trent,Warren Bloom,3
Lisa Deeley,6,2,3,1,0,1,0,2,2,0,0,0,0,3
Omar Sabir,,6,0,2,0,0,2,0,0,0,0,0,0,3
Annette Thompson,,,1,0,2,0,0,0,0,0,0,0,0,3
Marwan Kreidie,,,,1,1,0,0,1,0,0,0,0,0,3
Carla Cain,,,,,0,1,0,0,0,0,0,0,0,3
Dennis Lee,,,,,,1,0,0,0,0,0,0,0,3
Jen Devor,,,,,,,0,0,1,0,0,0,0,3
Kahlil Williams,,,,,,,,0,0,0,0,0,0,3
Luigi Borda,,,,,,,,,0,0,0,0,0,3
Lewis Harris Jr,,,,,,,,,,0,0,1,0,3
Moira Bohannon,,,,,,,,,,,1,0,0,3
