col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,col_53,col_54,col_55,col_56,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Isaiah Thomas,Allan Domb,Helen Gym,Derek S Green,Katherine Gilmore Richardson,Eryn Santamoor,Sandra Dungee Glenn,Adrián Rivera-reyes,Willie Floyd Singletary,Deja Lynn Alvarez,Justin Diberardinis,Fareed Abdullah,Erika Almirón,Ogbonna Paul Hagins,Asa Khalif,Billy Thompson,Latrice Y Bryant,Edwin Santana,Fernando Treviño,Beth Finn,Ethelind Baylor,Joseph A Diorio,Hena Veit,Wayne Allen,Vinny Black,Devon Cade,Bobbie Curry,Mark Ross,Wayne Edmund Dorsey,Sherrie Cohen,Joshua Roberts,Cateria R Mccabe,Carmella Jacquinto,James C Crumlish,Anthony Kyriakakis,Jennifer Schultz,Kendra Mccrae,Henry Mcgregor Sias,Tiffany Palmer,Leon Goodman,Craig Levin,Terri M Booker,Laurie Dow,Jon Marshall,Beth Grossman,Wendi Barish,Janine D Momasso,Kay Yu,Sherman Toppin,Nicola Serianni,Chris Hall,Vicki Markovitz,James F Berardinelli,Robert Trimble,Gregory Weyer,All
Isaiah Thomas,17,"1,128",710,"1,253","1,084",731,394,141,124,81,151,179,122,43,150,95,106,105,35,50,86,41,30,37,28,37,20,26,18,0,909,928,913,775,700,261,431,630,367,389,240,396,275,151,176,189,197,188,234,128,153,115,96,69,52,All
Allan Domb,,45,727,"1,091",988,797,325,123,102,71,133,126,66,43,92,85,55,75,58,65,41,40,24,38,29,29,18,31,23,0,862,797,787,726,648,277,340,554,281,294,254,308,244,171,229,191,156,182,160,130,145,138,90,64,39,All
Helen Gym,,,63,727,691,355,397,315,209,236,227,121,245,187,121,146,116,83,85,101,89,42,61,28,34,28,26,22,12,0,557,538,456,427,383,523,484,204,431,400,329,354,301,257,268,284,251,277,189,213,186,134,118,54,37,All
Derek S Green,,,,19,"1,097",745,337,97,78,53,174,138,95,33,112,78,78,80,30,37,71,27,13,32,18,20,19,15,11,0,870,881,839,752,689,221,394,601,355,348,203,359,261,133,175,173,150,185,194,113,150,100,96,50,35,All
Katherine Gilmore Richardson,,,,,27,755,383,110,90,72,114,97,145,48,94,115,95,74,57,66,50,29,37,21,35,26,23,23,13,0,842,844,825,717,715,277,419,563,310,327,186,295,272,130,194,191,177,166,184,137,132,121,73,51,41,All
Eryn Santamoor,,,,,,7,131,92,39,55,100,50,69,22,36,23,55,31,48,38,19,18,28,10,17,14,16,9,6,0,709,623,624,662,586,192,192,510,169,115,133,132,136,75,132,113,77,94,70,84,90,80,44,38,15,All
Sandra Dungee Glenn,,,,,,,11,53,42,41,106,65,102,31,74,90,52,69,54,35,30,48,21,10,20,8,19,6,6,0,183,332,328,190,173,122,265,99,208,235,163,200,197,78,102,88,192,109,107,69,65,77,86,22,13,All
Adrián Rivera-reyes,,,,,,,,11,168,211,40,40,46,155,32,31,45,38,48,37,17,19,26,20,19,6,16,14,4,0,279,110,111,142,81,319,125,60,123,95,197,100,69,174,68,85,47,81,39,88,57,35,30,30,14,All
