col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,col_53,col_54,col_55,col_56,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Joshua Roberts,Anthony Kyriakakis,Jennifer Schultz,Carmella Jacquinto,Craig Levin,Cateria R Mccabe,Tiffany Palmer,Beth Grossman,James C Crumlish,Sherman Toppin,Leon Goodman,Wendi Barish,Jon Marshall,Kendra Mccrae,Nicola Serianni,Kay Yu,Vicki Markovitz,Terri M Booker,Henry Mcgregor Sias,Laurie Dow,Janine D Momasso,James F Berardinelli,Chris Hall,Robert Trimble,Gregory Weyer,Allan Domb,Helen Gym,Derek S Green,Isaiah Thomas,Joseph A Diorio,Katherine Gilmore Richardson,Adrián Rivera-reyes,Deja Lynn Alvarez,Justin Diberardinis,Willie Floyd Singletary,Eryn Santamoor,Erika Almirón,Ogbonna Paul Hagins,Sandra Dungee Glenn,Beth Finn,Billy Thompson,Fernando Treviño,Fareed Abdullah,Ethelind Baylor,Latrice Y Bryant,Asa Khalif,Vinny Black,Hena Veit,Edwin Santana,Wayne Allen,Bobbie Curry,Mark Ross,Devon Cade,Wayne Edmund Dorsey,Sherrie Cohen,All
Joshua Roberts,20,405,149,315,131,149,66,90,116,146,79,54,103,56,62,45,57,60,109,21,22,33,29,21,18,460,305,406,296,243,167,120,117,66,91,69,47,69,24,32,40,21,38,23,35,26,20,21,13,11,22,15,9,6,0,All
Anthony Kyriakakis,,1,62,297,44,144,69,62,102,123,49,45,19,44,32,53,25,19,109,19,28,33,43,13,7,384,204,354,229,193,153,45,34,60,17,58,51,10,23,23,23,27,17,20,17,17,16,9,13,5,11,8,6,5,0,All
Jennifer Schultz,,,17,67,143,46,89,90,61,23,45,90,101,50,82,50,62,38,9,32,32,18,21,15,5,105,214,64,96,65,65,158,124,44,81,57,58,62,38,45,31,35,23,21,22,19,14,27,15,14,15,10,8,5,0,All
Carmella Jacquinto,,,,0,32,125,55,47,54,113,42,44,20,54,29,35,30,39,87,26,30,14,15,14,10,279,143,281,199,174,121,40,43,33,21,28,41,12,29,19,17,24,27,11,23,24,8,18,18,10,8,6,3,5,0,All
Craig Levin,,,,,4,14,41,62,48,19,58,42,84,25,48,14,38,20,3,19,16,21,16,9,7,87,146,48,64,44,29,99,82,26,71,41,20,51,13,18,27,21,14,10,15,13,9,14,12,11,9,12,2,3,0,All
Cateria R Mccabe,,,,,,0,53,33,35,113,33,35,18,40,31,34,20,25,89,17,31,12,7,9,5,145,126,125,145,90,113,28,15,33,13,19,42,3,24,21,23,14,21,18,17,17,8,4,8,4,10,8,5,4,0,All
Tiffany Palmer,,,,,,,2,60,55,27,56,62,21,70,43,49,45,59,14,40,23,27,44,13,8,90,136,83,93,29,75,45,46,52,27,41,69,12,34,28,16,26,33,24,29,26,16,13,12,12,7,6,6,9,0,All
Beth Grossman,,,,,,,,2,38,10,48,72,16,40,50,31,65,32,13,35,27,31,21,8,8,117,122,62,59,52,56,44,32,41,18,49,39,10,24,41,17,21,18,16,15,16,20,17,10,14,16,21,7,6,0,All
James C Crumlish,,,,,,,,,2,27,39,37,32,23,31,24,13,23,15,13,8,22,36,12,4,102,127,86,71,41,60,38,28,49,19,38,20,19,18,18,14,21,7,14,10,7,10,6,8,11,8,6,5,2,0,All
Sherman Toppin,,,,,,,,,,0,27,16,11,28,13,11,17,19,86,10,10,9,10,7,6,146,90,128,134,79,97,20,18,15,9,18,14,8,14,8,10,13,15,10,11,12,8,4,9,3,2,5,1,3,0,All
Leon Goodman,,,,,,,,,,,0,32,28,50,21,34,26,56,11,29,19,15,25,20,7,79,98,70,76,32,46,31,26,21,27,29,30,9,15,16,30,15,25,26,20,23,11,15,3,11,10,9,4,5,0,All
Wendi Barish,,,,,,,,,,,,0,18,39,57,27,41,25,8,30,21,18,15,9,2,72,108,48,60,28,47,44,38,46,14,36,47,11,26,27,10,25,12,19,11,11,14,17,12,6,10,4,5,5,0,All
Jon Marshall,,,,,,,,,,,,,6,15,33,15,10,17,3,6,8,7,7,9,5,31,90,24,30,25,18,78,68,9,61,19,15,50,9,11,14,11,10,5,13,11,7,14,6,6,8,2,3,0,0,All
Kendra Mccrae,,,,,,,,,,,,,,1,22,31,16,45,5,23,30,12,17,12,4,75,85,63,75,27,51,32,29,22,22,25,38,7,30,14,20,15,24,11,25,22,7,6,8,12,2,5,5,4,0,All
Nicola Serianni,,,,,,,,,,,,,,,0,25,40,16,12,18,19,18,15,11,8,45,93,29,50,32,32,46,44,28,22,28,38,18,17,23,17,17,13,15,17,9,11,14,11,9,9,11,1,5,0,All
Kay Yu,,,,,,,,,,,,,,,,0,28,22,13,20,16,14,18,6,10,60,90,40,45,24,34,37,28,28,6,28,40,7,22,18,12,13,14,22,9,17,6,13,7,5,7,3,5,1,0,All
Vicki Markovitz,,,,,,,,,,,,,,,,,1,22,10,20,20,21,6,12,7,68,73,35,45,28,31,33,28,26,11,27,28,8,11,23,17,16,14,11,9,11,12,13,8,7,14,14,5,7,0,All
Terri M Booker,,,,,,,,,,,,,,,,,,0,4,21,14,5,21,16,4,61,61,67,78,22,35,20,23,15,28,15,16,7,19,14,13,6,22,19,18,21,8,8,6,15,7,7,5,6,0,All
Henry Mcgregor Sias,,,,,,,,,,,,,,,,,,,0,5,8,14,7,8,6,93,68,89,98,62,76,9,11,19,5,11,15,4,9,4,10,7,5,6,6,3,1,2,3,3,5,4,1,2,0,All
Laurie Dow,,,,,,,,,,,,,,,,,,,,1,18,11,13,10,8,41,46,30,35,18,22,15,15,14,8,14,16,2,19,20,11,10,11,14,12,9,13,7,9,9,5,7,4,3,0,All
Janine D Momasso,,,,,,,,,,,,,,,,,,,,,1,13,7,8,1,37,56,23,36,16,25,15,15,18,6,9,25,4,16,20,13,10,8,10,5,8,8,13,12,5,4,5,3,2,0,All
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,0,11,15,7,46,39,21,18,26,13,13,12,27,5,20,12,5,8,15,11,6,4,7,4,3,10,4,7,9,7,12,8,3,0,All
Chris Hall,,,,,,,,,,,,,,,,,,,,,,,0,14,9,46,50,35,30,14,24,16,10,20,8,32,13,4,8,7,10,14,5,12,12,9,7,5,5,13,1,4,2,3,0,All
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,,,0,5,34,17,21,21,20,11,6,10,13,10,6,6,2,6,12,14,7,2,5,4,3,4,5,6,8,4,5,2,2,0,All
Gregory Weyer,,,,,,,,,,,,,,,,,,,,,,,,,1,16,10,7,10,7,5,9,10,4,8,7,3,5,5,5,3,3,4,5,3,1,3,2,4,3,3,4,1,2,0,All
Allan Domb,,,,,,,,,,,,,,,,,,,,,,,,,,17,250,412,269,218,168,60,39,71,32,71,35,17,39,32,29,28,34,21,14,25,26,16,16,17,12,16,9,6,0,All
Helen Gym,,,,,,,,,,,,,,,,,,,,,,,,,,,9,218,216,79,166,127,97,108,77,85,87,65,58,48,38,32,25,52,27,23,16,30,12,14,15,15,7,7,0,All
Derek S Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,273,173,176,31,22,72,25,39,25,7,21,14,19,12,24,22,19,21,15,7,6,12,4,7,4,3,0,All
Isaiah Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,146,173,36,37,61,31,28,43,9,26,7,22,17,36,42,25,32,10,10,7,17,4,9,8,5,0,All
Joseph A Diorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,72,30,26,28,14,15,16,10,11,15,25,10,11,6,10,9,11,10,12,7,5,8,3,3,0,All
Katherine Gilmore Richardson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,16,21,44,14,43,34,5,33,17,13,17,16,13,16,12,6,6,7,5,3,5,6,3,0,All
Adrián Rivera-reyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,100,13,74,31,31,62,8,17,11,29,8,6,16,9,6,10,17,7,6,4,3,1,0,All
Deja Lynn Alvarez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,69,22,40,61,10,17,12,19,11,9,16,13,3,16,13,4,12,4,1,1,0,All
Justin Diberardinis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,43,30,4,12,11,10,6,4,22,10,2,6,7,5,2,5,5,3,1,0,All
Willie Floyd Singletary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,5,48,2,4,15,7,5,2,12,9,5,5,3,8,2,3,2,2,0,All
Eryn Santamoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,24,14,16,17,11,15,7,10,11,3,4,10,10,6,6,5,4,1,0,All
Erika Almirón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,21,21,14,18,16,19,17,18,5,8,11,4,6,2,3,3,0,All
Ogbonna Paul Hagins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,6,9,3,1,2,2,1,2,5,1,2,3,1,3,0,All
Sandra Dungee Glenn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,11,5,8,6,6,5,4,9,2,7,6,0,3,2,0,All
Beth Finn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,6,6,7,5,5,7,14,5,7,10,8,6,5,0,All
Billy Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,14,3,4,5,2,10,2,4,2,5,6,3,4,0,All
Fernando Treviño,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,6,1,3,4,12,3,5,1,0,3,0,All
Fareed Abdullah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,12,23,5,4,6,6,5,5,1,2,0,All
Ethelind Baylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,3,3,1,4,3,5,3,2,0,0,All
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,2,3,3,4,3,2,1,1,0,All
Asa Khalif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,1,6,1,4,1,1,0,All
Vinny Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,4,3,3,5,3,3,0,All
Hena Veit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,3,1,1,2,0,All
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,2,1,1,2,0,All
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,4,2,0,0,All
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,3,2,0,All
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,0,All
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,All
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,797,539,443,428,262,245,243,235,214,197,187,185,172,167,161,145,145,143,139,100,95,93,92,61,36,689,626,564,505,336,306,271,231,170,170,162,155,106,91,90,87,82,78,75,75,68,56,53,48,46,41,37,23,19,0,All
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,1
,Isaiah Thomas,Allan Domb,Derek S Green,Helen Gym,Joseph A Diorio,Katherine Gilmore Richardson,Adrián Rivera-reyes,Deja Lynn Alvarez,Fernando Treviño,Ethelind Baylor,Asa Khalif,Beth Finn,Edwin Santana,Erika Almirón,Eryn Santamoor,Fareed Abdullah,Justin Diberardinis,Ogbonna Paul Hagins,Sandra Dungee Glenn,Willie Floyd Singletary,Latrice Y Bryant,Mark Ross,Wayne Allen,Bobbie Curry,Hena Veit,Vinny Black,Billy Thompson,Devon Cade,Sherrie Cohen,Wayne Edmund Dorsey,Joshua Roberts,Carmella Jacquinto,Jennifer Schultz,Anthony Kyriakakis,Craig Levin,Cateria R Mccabe,Sherman Toppin,Tiffany Palmer,James C Crumlish,Leon Goodman,Jon Marshall,Terri M Booker,Vicki Markovitz,Kay Yu,Henry Mcgregor Sias,Kendra Mccrae,Robert Trimble,Beth Grossman,Chris Hall,Nicola Serianni,Laurie Dow,Janine D Momasso,Wendi Barish,Gregory Weyer,James F Berardinelli,1
Isaiah Thomas,0,24,22,15,12,16,3,4,0,8,3,1,1,3,2,3,3,1,3,0,2,1,2,0,1,0,0,0,0,0,23,15,10,15,9,9,10,6,4,5,1,6,5,4,8,1,2,4,2,3,2,0,2,0,0,1
Allan Domb,,0,23,10,14,10,1,2,2,4,1,3,0,0,2,1,2,1,2,0,1,1,1,1,1,0,0,0,0,0,23,15,9,14,6,7,8,3,3,5,1,6,7,1,6,0,5,3,2,2,3,0,2,0,1,1
Derek S Green,,,0,11,11,12,2,1,1,4,4,1,1,0,1,2,2,0,1,0,1,0,1,1,1,1,0,0,0,0,19,16,3,16,1,6,8,4,3,5,1,5,1,1,6,1,4,1,2,0,2,0,2,0,1,1
Helen Gym,,,,0,2,5,9,3,1,6,2,2,1,2,4,3,4,2,5,3,1,3,1,1,0,0,0,0,0,0,11,6,11,8,6,3,2,4,7,5,3,3,2,4,2,2,3,1,2,2,1,0,1,0,0,1
Joseph A Diorio,,,,,0,8,0,2,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,18,12,3,13,1,6,6,1,2,3,0,3,2,2,6,1,3,3,1,1,0,1,0,0,1,1
Katherine Gilmore Richardson,,,,,,0,2,2,1,2,1,3,1,0,0,2,0,2,1,0,2,2,1,0,0,0,0,0,0,0,10,11,4,8,2,5,7,3,2,4,0,1,2,1,6,1,1,2,1,0,1,1,0,1,0,1
Adrián Rivera-reyes,,,,,,,0,7,4,0,0,2,3,3,2,1,3,2,2,3,1,0,1,0,0,0,0,0,0,0,6,5,9,5,4,3,2,5,5,0,6,0,1,4,1,2,0,0,2,2,0,1,1,1,0,1
Deja Lynn Alvarez,,,,,,,,0,4,1,2,1,4,4,0,2,0,3,0,2,3,1,0,1,1,1,0,0,0,0,7,6,9,3,6,3,3,4,2,3,7,2,3,3,0,3,1,1,0,3,1,3,1,1,0,1
Fernando Treviño,,,,,,,,,0,0,0,1,4,3,1,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,3,5,5,1,1,2,1,1,2,1,4,0,2,0,0,2,1,0,1,2,1,2,1,0,0,1
Ethelind Baylor,,,,,,,,,,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
Asa Khalif,,,,,,,,,,,0,0,0,1,0,2,0,0,0,0,1,0,1,1,1,1,0,0,0,0,2,2,1,2,2,0,1,4,0,5,1,2,1,2,0,1,0,0,0,0,2,0,0,0,0,1
