col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Helen Gym,Justin Diberardinis,Erika Almirón,Eryn Santamoor,Isaiah Thomas,Adrián Rivera-reyes,Derek S Green,Katherine Gilmore Richardson,Allan Domb,Deja Lynn Alvarez,Ethelind Baylor,Beth Finn,Fernando Treviño,Sandra Dungee Glenn,Asa Khalif,Ogbonna Paul Hagins,Willie Floyd Singletary,Billy Thompson,Latrice Y Bryant,Hena Veit,Fareed Abdullah,Edwin Santana,Joseph A Diorio,Vinny Black,Mark Ross,Wayne Allen,Bobbie Curry,Wayne Edmund Dorsey,Devon Cade,Sherrie Cohen,All
Helen Gym,91,"1,075",780,582,580,498,516,495,288,287,353,221,106,82,87,88,47,49,45,55,39,21,21,24,17,20,13,7,10,0,All
Justin Diberardinis,,81,586,484,473,307,398,320,248,133,284,118,44,40,49,30,10,33,21,12,13,14,15,15,6,12,12,8,9,0,All
Erika Almirón,,,10,202,395,255,152,151,62,152,302,92,50,50,55,19,2,6,21,21,13,18,5,8,4,4,4,1,3,0,All
Eryn Santamoor,,,,5,130,177,310,303,202,88,41,104,55,40,26,14,6,18,19,18,10,13,11,8,4,5,8,4,7,0,All
Isaiah Thomas,,,,,4,141,232,172,143,79,242,33,28,25,27,15,5,13,19,8,24,10,6,6,7,7,5,3,4,0,All
Adrián Rivera-reyes,,,,,,54,107,81,84,209,78,105,87,28,39,75,49,23,22,21,25,23,20,15,5,6,10,3,6,0,All
Derek S Green,,,,,,,4,346,187,118,49,56,26,22,23,22,5,31,16,5,13,5,8,6,9,12,9,7,3,0,All
Katherine Gilmore Richardson,,,,,,,,4,127,94,44,86,40,47,25,19,3,25,26,21,15,12,4,2,9,4,4,5,5,0,All
Allan Domb,,,,,,,,,23,68,17,58,29,27,12,7,17,42,7,11,18,5,21,16,13,8,11,8,8,0,All
Deja Lynn Alvarez,,,,,,,,,,40,45,61,49,27,43,59,47,11,23,23,19,23,7,9,2,10,3,6,5,0,All
Ethelind Baylor,,,,,,,,,,,2,29,14,9,11,12,0,4,12,3,6,6,1,5,3,5,1,2,2,0,All
Beth Finn,,,,,,,,,,,,13,28,50,18,14,6,25,25,30,11,7,12,9,9,5,6,10,6,0,All
Fernando Treviño,,,,,,,,,,,,,4,6,13,9,8,10,10,10,8,19,12,8,3,5,4,2,2,0,All
