col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,division
,Sheriff - Democrat,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Rochelle Bilal,Malika Rahman,Jewell Williams,Larry King Sr,Tiffany Palmer,Jennifer Schultz,Anthony Kyriakakis,Wendi Barish,Henry Mcgregor Sias,Cateria R Mccabe,Nicola Serianni,Kay Yu,Joshua Roberts,Carmella Jacquinto,James C Crumlish,Beth Grossman,Chris Hall,Janine D Momasso,Sherman Toppin,Kendra Mccrae,Vicki Markovitz,Craig Levin,Laurie Dow,Jon Marshall,James F Berardinelli,Leon Goodman,Terri M Booker,Robert Trimble,Gregory Weyer,All
Rochelle Bilal,43,0,0,0,669,535,447,424,343,289,429,391,142,152,219,179,177,164,47,129,92,91,74,60,61,37,37,22,25,All
Malika Rahman,,28,0,0,254,228,192,163,129,139,146,175,87,101,117,110,87,60,24,89,67,60,74,40,29,47,36,13,10,All
Jewell Williams,,,8,0,47,69,181,44,162,179,38,27,212,186,37,53,14,17,164,18,38,23,21,20,14,17,14,11,8,All
Larry King Sr,,,,10,30,42,35,21,14,16,14,16,30,15,27,27,21,8,7,9,9,13,14,13,14,16,8,12,5,All
Tiffany Palmer,,,,,1,498,580,474,413,355,441,493,53,131,307,151,271,182,14,107,75,37,80,14,66,44,33,17,32,All
Jennifer Schultz,,,,,,16,232,375,205,340,396,267,135,130,122,213,83,179,25,139,103,120,97,95,38,44,53,19,9,All
Anthony Kyriakakis,,,,,,,6,236,500,326,187,372,274,267,320,92,273,24,217,50,33,31,38,17,59,30,16,14,8,All
Wendi Barish,,,,,,,,1,197,207,395,248,63,97,112,155,68,183,14,108,84,44,81,23,36,41,43,15,15,All
Henry Mcgregor Sias,,,,,,,,,3,339,193,344,215,213,84,41,67,27,194,30,27,17,24,6,19,19,5,11,11,All
Cateria R Mccabe,,,,,,,,,,2,241,187,242,244,44,61,23,157,207,61,40,20,32,12,18,24,19,8,10,All
Nicola Serianni,,,,,,,,,,,0,241,73,83,76,133,39,183,10,117,88,52,64,45,23,33,32,12,19,All
Kay Yu,,,,,,,,,,,,4,24,90,102,76,94,47,15,79,60,19,55,9,44,26,25,14,20,All
Joshua Roberts,,,,,,,,,,,,,25,235,78,70,23,15,219,25,33,99,22,84,20,30,13,20,3,All
Carmella Jacquinto,,,,,,,,,,,,,,5,62,105,39,52,204,78,69,18,49,11,14,17,32,12,10,All
James C Crumlish,,,,,,,,,,,,,,,3,64,251,12,15,41,25,42,34,33,39,35,14,17,7,All
Beth Grossman,,,,,,,,,,,,,,,,10,43,53,18,100,94,46,87,29,28,34,33,11,9,All
Chris Hall,,,,,,,,,,,,,,,,,0,8,4,30,22,16,26,7,35,15,8,12,3,All
Janine D Momasso,,,,,,,,,,,,,,,,,,0,8,31,30,12,25,9,21,10,26,4,13,All
