col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Register Of Wills - Democrat,,,All
,Helen Gym,Allan Domb,Isaiah Thomas,Derek S Green,Katherine Gilmore Richardson,Justin Diberardinis,Adrián Rivera-reyes,Eryn Santamoor,Erika Almirón,Deja Lynn Alvarez,Willie Floyd Singletary,Sandra Dungee Glenn,Ethelind Baylor,Beth Finn,Ogbonna Paul Hagins,Fernando Treviño,Fareed Abdullah,Asa Khalif,Billy Thompson,Latrice Y Bryant,Joseph A Diorio,Hena Veit,Edwin Santana,Wayne Allen,Vinny Black,Mark Ross,Bobbie Curry,Devon Cade,Wayne Edmund Dorsey,Sherrie Cohen,Tracey Gordon,Ronald R Donatucci,Jacque P Whaumbush,All
Helen Gym,"2,404","38,120","39,135","38,528","29,252","30,495","20,009","22,605","27,166","14,241","8,080","8,758","10,036","8,043","7,989","6,315","3,985","4,429","3,778","3,614","2,517","2,907","1,791","1,673","1,617","1,385","1,404","1,055",894,6,"40,851","36,813","13,561",All
Allan Domb,,"2,296","28,958","33,901","23,812","13,627","5,288","15,818","4,234","3,483","2,842","5,895","1,787","3,882","1,319","2,802","3,448","2,602","2,900","1,680","3,106","1,238","1,525","1,619","1,613","1,546","1,267","1,096",968,8,"15,421","32,959","7,101",All
Isaiah Thomas,,,997,"34,207","24,341","16,393","5,707","7,675","13,456","3,401","2,870","7,084","8,662","2,084","1,433","1,678","4,460","3,744","2,595","2,766","1,474",849,"1,433","1,530","1,012","1,121",596,988,704,13,"20,975","26,150","6,739",All
Derek S Green,,,,620,"25,789","15,973","4,493","12,598","8,146","3,426","2,086","6,200","3,509","2,188","1,069","1,640","3,387","2,809","2,213","2,011","1,112",501,"1,160","1,363","1,020",836,758,442,666,9,"16,911","28,463","6,157",All
Katherine Gilmore Richardson,,,,,322,"6,960","3,477","10,240","6,575","2,739","1,332","5,744","1,581","3,571",925,"2,916","1,863","1,604","1,819","2,102","1,089","1,172",875,753,797,725,721,500,469,11,"12,739","21,982","4,927",All
Justin Diberardinis,,,,,,390,"6,308","13,147","16,105","3,180",497,"3,046","7,362","2,884",685,"2,287",784,"1,111",854,763,"1,752",554,847,435,646,634,500,315,273,8,"15,375","13,602","4,845",All
Adrián Rivera-reyes,,,,,,,643,"5,581","6,943","11,909","7,382","1,837","1,760","3,221","6,930","3,407","1,432","1,801","1,354","1,603","1,247","1,168","1,211",628,626,469,553,362,346,7,"19,815","6,639","5,296",All
Eryn Santamoor,,,,,,,,285,"7,808","3,439","1,211","2,745","1,156","3,606","1,008","4,106",993,"1,043","1,214","1,355","1,127","1,411",728,436,680,643,729,438,288,7,"12,404","11,576","4,846",All
Erika Almirón,,,,,,,,,188,"4,850",549,"3,266","7,348","3,409",865,"3,389","1,072","1,914",903,"1,496",449,"1,005",589,390,377,306,356,273,227,7,"17,459","5,573","4,282",All
Deja Lynn Alvarez,,,,,,,,,,480,"6,980","1,377","1,395","2,267","6,348","2,300","1,150","1,583",978,"1,705",992,"1,118",824,476,468,487,498,340,269,7,"13,905","5,268","4,818",All
Willie Floyd Singletary,,,,,,,,,,,509,768,286,583,"5,366",831,"1,091",798,"1,370","1,033",900,474,342,551,502,427,443,265,365,2,"9,189","4,213","3,157",All
Sandra Dungee Glenn,,,,,,,,,,,,215,"1,641","2,391",534,930,"1,361","1,634","1,229","1,562",985,895,948,465,441,342,520,264,330,3,"7,612","4,388","3,632",All
