col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,col_53,col_54,col_55,col_56,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Helen Gym,Justin Diberardinis,Erika Almirón,Isaiah Thomas,Eryn Santamoor,Allan Domb,Ethelind Baylor,Derek S Green,Katherine Gilmore Richardson,Adrián Rivera-reyes,Deja Lynn Alvarez,Fernando Treviño,Beth Finn,Sandra Dungee Glenn,Ogbonna Paul Hagins,Asa Khalif,Willie Floyd Singletary,Joseph A Diorio,Latrice Y Bryant,Billy Thompson,Fareed Abdullah,Hena Veit,Edwin Santana,Mark Ross,Devon Cade,Wayne Allen,Vinny Black,Bobbie Curry,Wayne Edmund Dorsey,Sherrie Cohen,Tiffany Palmer,Anthony Kyriakakis,Jennifer Schultz,Kay Yu,Chris Hall,James F Berardinelli,Wendi Barish,Henry Mcgregor Sias,James C Crumlish,Nicola Serianni,Cateria R Mccabe,Beth Grossman,Carmella Jacquinto,Vicki Markovitz,Joshua Roberts,Craig Levin,Kendra Mccrae,Leon Goodman,Janine D Momasso,Laurie Dow,Terri M Booker,Jon Marshall,Sherman Toppin,Robert Trimble,Gregory Weyer,All
Helen Gym,46,"2,313","2,119","1,947","1,224",868,"1,170",764,802,719,514,398,382,197,159,125,81,73,68,72,63,71,40,31,28,35,26,26,12,0,"2,786","2,499","2,305","2,115","1,779","1,286",862,851,780,682,566,446,386,358,348,294,277,241,275,244,174,135,103,84,44,All
Justin Diberardinis,,6,"1,561","1,536",813,508,"1,029",467,391,388,221,145,165,48,37,42,10,40,22,20,16,16,18,18,17,7,8,8,6,1,"2,056","1,915","1,646","1,632","1,368","1,134",477,574,452,402,344,204,169,207,103,143,105,135,163,88,64,30,23,38,30,All
Erika Almirón,,,1,"1,371",531,191,"1,079",275,294,349,288,221,179,110,31,60,5,6,33,11,24,23,12,2,10,10,14,7,1,1,"1,907","1,620","1,532","1,482","1,226",910,462,529,402,437,378,156,147,152,63,71,140,89,177,124,62,22,19,25,20,All
Isaiah Thomas,,,,6,489,352,"1,026",371,381,205,112,98,97,72,45,54,29,37,28,31,40,17,17,11,17,13,7,5,6,1,"1,687","1,560","1,510","1,392","1,213","1,041",339,437,273,306,322,134,200,145,159,107,114,134,147,64,89,38,80,40,27,All
Eryn Santamoor,,,,,1,525,94,367,526,256,163,253,188,88,37,39,9,27,34,30,20,40,14,10,17,10,9,13,6,1,"1,120","1,074",748,739,756,444,383,364,487,238,123,239,159,203,97,111,118,123,76,125,61,29,26,42,20,All
Allan Domb,,,,,,28,56,428,250,165,98,153,150,91,34,48,30,91,17,52,23,34,23,34,28,16,14,22,11,0,619,718,416,402,374,277,336,291,350,202,140,255,195,221,194,176,103,148,84,102,83,61,79,62,23,All
Ethelind Baylor,,,,,,,0,67,47,112,81,38,58,19,18,13,2,2,17,8,7,8,5,5,4,9,8,3,2,1,"1,094",943,"1,022",930,801,710,179,169,110,225,209,46,69,51,35,34,53,40,106,37,35,8,13,5,19,All
Derek S Green,,,,,,,,3,304,132,154,72,75,59,26,33,22,14,21,23,21,12,16,16,13,12,7,8,6,0,622,622,304,389,315,174,280,301,297,156,130,139,162,154,163,94,95,135,59,63,72,36,85,34,16,All
Katherine Gilmore Richardson,,,,,,,,,1,124,98,168,127,87,27,18,12,24,35,20,23,22,10,9,4,13,6,11,4,0,647,636,472,436,455,277,252,209,284,157,143,154,177,113,137,79,108,61,67,83,58,28,75,23,7,All
Adrián Rivera-reyes,,,,,,,,,,7,312,115,135,52,115,49,66,20,30,26,25,17,21,11,7,10,18,8,5,0,587,465,500,388,280,115,283,266,268,230,177,147,119,104,132,130,114,79,92,90,48,89,17,27,16,All
Deja Lynn Alvarez,,,,,,,,,,,4,87,90,43,92,46,70,21,35,24,24,25,13,7,9,11,9,7,3,0,428,342,335,271,181,86,243,226,163,179,98,124,111,89,105,112,88,66,45,77,49,72,16,30,13,All
Fernando Treviño,,,,,,,,,,,,4,80,24,30,24,16,26,18,23,19,15,21,5,6,9,6,5,3,1,361,348,230,216,253,94,165,122,224,106,58,87,95,68,65,66,52,44,36,53,38,30,12,33,16,All
Beth Finn,,,,,,,,,,,,,0,83,27,29,12,17,25,28,12,29,10,17,10,15,6,10,7,1,306,242,279,204,162,105,211,105,138,168,64,169,89,115,38,62,94,46,52,90,47,25,12,31,5,All
Sandra Dungee Glenn,,,,,,,,,,,,,,0,19,30,2,10,31,11,17,23,7,5,6,8,3,7,4,0,161,102,144,112,56,42,117,53,49,90,59,94,88,90,30,34,68,39,69,67,45,11,17,11,3,All
Ogbonna Paul Hagins,,,,,,,,,,,,,,,1,20,56,3,11,9,12,13,5,0,1,2,7,3,1,0,81,83,136,61,42,29,58,28,58,65,32,43,36,32,71,64,23,26,19,18,20,55,9,8,5,All
Asa Khalif,,,,,,,,,,,,,,,,0,9,1,15,4,37,7,3,4,6,7,3,3,1,0,89,68,78,77,51,31,66,36,34,57,30,43,45,34,21,19,43,23,36,31,38,9,10,9,4,All
Willie Floyd Singletary,,,,,,,,,,,,,,,,,2,14,15,16,18,4,5,4,4,2,5,5,5,0,32,19,93,21,17,8,24,14,24,32,4,27,15,16,68,71,20,37,8,10,19,67,11,19,4,All
Joseph A Diorio,,,,,,,,,,,,,,,,,,2,10,22,5,14,4,18,9,6,8,8,5,0,31,53,62,22,23,48,32,24,31,57,20,39,31,25,37,33,10,21,35,13,12,29,9,22,6,All
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,1,15,18,15,1,5,7,7,7,5,4,0,73,37,68,41,25,12,54,24,23,42,25,41,46,32,16,15,53,26,20,29,28,10,11,15,0,All
Billy Thompson,,,,,,,,,,,,,,,,,,,,0,8,8,3,13,6,7,9,10,5,1,48,44,55,35,31,34,40,20,41,29,22,40,13,29,30,34,21,32,9,12,19,31,13,22,8,All
Fareed Abdullah,,,,,,,,,,,,,,,,,,,,,0,9,5,0,4,8,4,4,1,0,54,30,50,44,22,18,44,17,18,30,20,32,33,20,15,13,31,22,26,16,32,17,9,13,4,All
Hena Veit,,,,,,,,,,,,,,,,,,,,,,0,3,6,3,1,6,5,0,0,43,23,64,38,10,16,58,14,19,55,27,44,39,44,16,20,30,11,10,23,17,9,6,7,3,All
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,,0,3,4,4,5,3,3,0,30,30,35,27,20,14,12,9,21,18,10,19,14,13,14,14,11,9,7,12,5,6,4,7,4,All
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,7,7,3,0,22,23,35,16,16,20,18,7,18,15,5,29,5,16,19,25,14,10,9,6,7,16,4,7,1,All
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,0,5,8,3,2,0,22,23,21,13,24,16,19,14,22,12,8,22,12,15,15,14,6,13,3,9,6,3,3,6,3,All
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,4,1,0,29,25,22,19,18,10,18,11,13,16,9,17,15,15,9,7,11,9,13,14,10,11,6,2,5,All
Vinny Black,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,4,0,20,24,21,13,10,10,18,9,17,17,11,21,8,17,8,13,12,20,3,8,9,8,7,2,3,All
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0,14,18,24,12,11,10,16,11,13,14,9,19,8,17,11,8,8,19,5,11,6,8,7,9,4,All
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,9,12,16,3,7,8,4,9,5,9,7,8,4,10,3,5,6,7,5,1,5,6,6,4,2,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,All
Tiffany Palmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"2,486","1,950","2,021","1,873","1,235",668,754,783,516,434,251,227,238,97,97,203,177,194,170,105,31,36,37,33,All
Anthony Kyriakakis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"1,698","1,867","1,885","1,297",482,667,838,299,253,201,241,200,174,127,108,153,62,92,67,31,80,44,28,All
Jennifer Schultz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,"1,666","1,349","1,198",533,434,252,501,379,318,187,206,186,223,187,103,193,143,95,131,35,53,24,All
Kay Yu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"1,400","1,176",332,538,305,322,300,158,159,135,74,75,146,89,89,106,83,19,24,31,33,All
Chris Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"1,158",201,210,709,70,47,93,84,66,54,67,68,58,16,51,36,15,11,33,14,All
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,94,135,124,79,48,93,61,69,53,51,30,57,65,28,19,19,14,40,17,All
Wendi Barish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,260,246,389,201,272,177,235,117,125,158,117,181,172,81,45,24,34,22,All
Henry Mcgregor Sias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,156,204,249,95,132,106,99,44,58,99,48,44,41,16,68,38,16,All
James C Crumlish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,112,54,131,120,67,106,112,71,79,22,51,38,46,22,30,7,All
Nicola Serianni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,270,178,134,143,88,78,117,63,197,105,54,51,27,33,19,All
Cateria R Mccabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,64,120,74,76,36,95,63,165,55,43,18,69,9,13,All
Beth Grossman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,129,198,76,115,107,90,73,131,68,39,11,22,14,All
Carmella Jacquinto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,101,122,60,104,64,71,76,57,22,63,26,3,All
Vicki Markovitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,37,93,84,99,61,87,50,20,14,21,12,All
Joshua Roberts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,152,21,50,19,25,29,116,75,28,12,All
Craig Levin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,33,67,28,28,32,104,16,33,11,All
Kendra Mccrae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,58,50,62,66,20,25,27,5,All
Leon Goodman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,36,34,50,35,38,28,5,All
Janine D Momasso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54,47,13,18,11,18,All
Laurie Dow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,46,6,18,14,6,All
Terri M Booker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,26,22,5,All
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,20,6,All
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,2,All
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,All
Gregory Weyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"4,085","2,642","2,324","2,221","1,574","1,325","1,273","1,033","1,002",987,747,562,548,306,234,191,167,163,146,138,125,118,73,70,64,64,59,56,30,2,"3,256","2,979","2,763","2,424","2,046","1,504","1,115","1,050","1,036",887,669,656,558,537,500,473,398,372,368,337,256,218,164,146,71,All
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,1
,Helen Gym,Justin Diberardinis,Erika Almirón,Isaiah Thomas,Ethelind Baylor,Allan Domb,Eryn Santamoor,Derek S Green,Adrián Rivera-reyes,Katherine Gilmore Richardson,Beth Finn,Deja Lynn Alvarez,Fernando Treviño,Sandra Dungee Glenn,Billy Thompson,Asa Khalif,Willie Floyd Singletary,Ogbonna Paul Hagins,Joseph A Diorio,Mark Ross,Devon Cade,Hena Veit,Vinny Black,Fareed Abdullah,Latrice Y Bryant,Wayne Allen,Bobbie Curry,Edwin Santana,Sherrie Cohen,Wayne Edmund Dorsey,Tiffany Palmer,Anthony Kyriakakis,Jennifer Schultz,Chris Hall,Kay Yu,James F Berardinelli,James C Crumlish,Wendi Barish,Nicola Serianni,Henry Mcgregor Sias,Beth Grossman,Cateria R Mccabe,Vicki Markovitz,Craig Levin,Carmella Jacquinto,Leon Goodman,Kendra Mccrae,Janine D Momasso,Joshua Roberts,Laurie Dow,Robert Trimble,Gregory Weyer,Terri M Booker,Jon Marshall,Sherman Toppin,1
Helen Gym,4,126,116,102,86,33,41,24,23,18,16,15,13,12,5,5,3,4,4,3,2,1,1,2,1,2,0,0,0,0,134,129,114,112,113,91,30,22,19,23,19,18,12,14,11,9,7,11,7,6,4,3,1,2,2,1
Justin Diberardinis,,0,101,94,84,27,39,30,19,8,7,11,6,6,3,4,1,1,2,1,2,2,0,0,1,0,1,0,1,0,122,123,98,100,101,90,30,18,18,19,11,14,9,8,8,5,6,6,5,3,4,4,1,2,1,1
Erika Almirón,,,0,96,85,8,18,10,12,13,7,10,5,4,0,1,1,1,0,0,1,1,2,0,0,0,0,0,1,0,112,103,94,95,96,83,14,11,11,14,6,14,3,3,5,6,1,8,2,4,1,1,0,0,0,1
Isaiah Thomas,,,,0,84,6,12,16,5,8,4,0,3,5,3,2,1,2,0,1,0,0,0,1,1,0,0,0,1,0,96,91,92,84,89,77,10,12,7,14,8,11,3,6,3,4,3,5,0,3,3,1,2,0,1,1
Ethelind Baylor,,,,,0,2,4,8,4,2,6,3,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,88,80,81,75,77,71,5,5,8,6,2,9,2,2,2,3,4,4,1,3,2,2,1,0,1,1
Allan Domb,,,,,,5,23,16,5,8,9,1,7,6,7,4,0,1,6,3,3,3,2,0,0,2,0,0,0,0,24,29,22,25,21,16,21,14,12,7,13,6,11,8,7,5,6,2,4,4,4,4,3,1,2,1
Eryn Santamoor,,,,,,,0,17,12,10,7,3,11,5,2,3,0,0,2,0,3,3,1,0,1,2,0,0,0,0,41,42,21,31,29,19,27,13,8,10,10,7,7,3,6,5,6,4,4,3,3,4,1,1,0,1
Derek S Green,,,,,,,,0,5,7,3,5,2,7,2,1,0,2,1,1,0,0,0,1,0,2,0,0,0,0,26,25,12,14,17,10,17,12,11,11,4,3,8,1,7,1,4,4,2,0,3,2,2,1,1,1
Adrián Rivera-reyes,,,,,,,,,1,4,1,5,4,4,0,1,2,4,1,0,1,0,1,1,0,1,1,0,0,0,19,16,18,14,13,8,7,5,9,5,8,6,1,5,2,3,3,5,4,1,2,1,1,1,0,1
Katherine Gilmore Richardson,,,,,,,,,,0,5,1,5,6,1,1,0,1,0,0,0,0,1,3,1,1,0,0,0,0,13,14,13,13,9,9,7,6,6,4,9,4,6,1,5,0,3,2,2,2,1,0,2,1,1,1
Beth Finn,,,,,,,,,,,0,2,2,5,2,2,1,1,0,1,0,3,0,0,0,0,0,1,0,0,12,12,12,11,9,6,6,6,5,3,5,2,8,1,0,0,4,2,2,3,2,1,1,0,0,1
