col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,division
,Register Of Wills - Democrat,,,Sheriff - Democrat,,,,All
,Ronald R Donatucci,Tracey Gordon,Jacque P Whaumbush,Jewell Williams,Rochelle Bilal,Malika Rahman,Larry King Sr,All
Ronald R Donatucci,123,0,0,307,133,94,42,All
Tracey Gordon,,36,0,104,267,161,42,All
Jacque P Whaumbush,,,20,47,66,73,23,All
Jewell Williams,,,,52,0,0,0,All
Rochelle Bilal,,,,,37,0,0,All
Malika Rahman,,,,,,33,0,All
Larry King Sr,,,,,,,29,All
Total,699,610,229,510,503,361,136,All
,Register Of Wills - Democrat,,,Sheriff - Democrat,,,,1
,Tracey Gordon,Ronald R Donatucci,Jacque P Whaumbush,Malika Rahman,Rochelle Bilal,Jewell Williams,Larry King Sr,1
Tracey Gordon,3,0,0,8,10,2,2,1
Ronald R Donatucci,,5,0,5,4,3,3,1
Jacque P Whaumbush,,,2,5,0,0,0,1
Malika Rahman,,,,3,0,0,0,1
Rochelle Bilal,,,,,3,0,0,1
Jewell Williams,,,,,,1,0,1
Larry King Sr,,,,,,,1,1
Total,25,20,7,21,17,6,6,1
,Register Of Wills - Democrat,,,Sheriff - Democrat,,,,2
,Tracey Gordon,Ronald R Donatucci,Jacque P Whaumbush,Rochelle Bilal,Malika Rahman,Larry King Sr,Jewell Williams,2
Tracey Gordon,1,0,0,19,14,1,5,2
Ronald R Donatucci,,3,0,4,3,3,2,2
Jacque P Whaumbush,,,2,1,4,2,1,2
Rochelle Bilal,,,,0,0,0,0,2
Malika Rahman,,,,,2,0,0,2
Larry King Sr,,,,,,4,0,2
Jewell Williams,,,,,,,0,2
Total,40,15,10,24,23,10,8,2
,Register Of Wills - Democrat,,,Sheriff - Democrat,,,,3
,Tracey Gordon,Ronald R Donatucci,Jacque P Whaumbush,Rochelle Bilal,Jewell Williams,Malika Rahman,Larry King Sr,3
Tracey Gordon,0,0,0,10,4,7,1,3
Ronald R Donatucci,,4,0,4,6,4,0,3
Jacque P Whaumbush,,,0,2,4,3,0,3
Rochelle Bilal,,,,2,0,0,0,3
Jewell Williams,,,,,3,0,0,3
Malika Rahman,,,,,,1,0,3
Larry King Sr,,,,,,,0,3
Total,22,18,9,18,17,15,1,3
,Register Of Wills - Democrat,,,Sheriff - Democrat,,,,4
,Tracey Gordon,Ronald R Donatucci,Jacque P Whaumbush,Rochelle Bilal,Jewell Williams,Malika Rahman,Larry King Sr,4
Tracey Gordon,0,0,0,17,7,6,2,4
Ronald R Donatucci,,2,0,6,9,7,2,4
Jacque P Whaumbush,,,2,8,4,3,1,4
Rochelle Bilal,,,,0,0,0,0,4
Jewell Williams,,,,,2,0,0,4
Malika Rahman,,,,,,1,0,4
Larry King Sr,,,,,,,2,4
Total,32,26,18,31,22,17,7,4
,Register Of Wills - Democrat,,,Sheriff - Democrat,,,,5
,Ronald R Donatucci,Tracey Gordon,Jacque P Whaumbush,Jewell Williams,Rochelle Bilal,Malika Rahman,Larry King Sr,5
Ronald R Donatucci,6,0,0,11,7,4,2,5
Tracey Gordon,,1,0,0,7,4,0,5
Jacque P Whaumbush,,,0,4,2,2,1,5
Jewell Williams,,,,3,0,0,0,5
Rochelle Bilal,,,,,1,0,0,5
Malika Rahman,,,,,,0,0,5
Larry King Sr,,,,,,,0,5
Total,30,12,9,18,17,10,3,5
,Register Of Wills - Democrat,,,Sheriff - Democrat,,,,6
,Ronald R Donatucci,Tracey Gordon,Jacque P Whaumbush,Rochelle Bilal,Jewell Williams,Malika Rahman,Larry King Sr,6
Ronald R Donatucci,6,0,0,6,12,3,1,6
Tracey Gordon,,2,0,11,6,6,2,6
Jacque P Whaumbush,,,0,4,1,8,1,6
Rochelle Bilal,,,,3,0,0,0,6
Jewell Williams,,,,,3,0,0,6
Malika Rahman,,,,,,2,0,6
Larry King Sr,,,,,,,2,6
Total,28,27,14,24,22,19,6,6
,Sheriff - Democrat,,,,Register Of Wills - Democrat,,,7
,Rochelle Bilal,Jewell Williams,Malika Rahman,Larry King Sr,Tracey Gordon,Ronald R Donatucci,Jacque P Whaumbush,7
Rochelle Bilal,3,0,0,0,15,9,5,7
Jewell Williams,,2,0,0,7,9,1,7
Malika Rahman,,,0,0,7,5,2,7
Larry King Sr,,,,0,1,1,2,7
Tracey Gordon,,,,,1,0,0,7
Ronald R Donatucci,,,,,,6,0,7
Jacque P Whaumbush,,,,,,,1,7
Total,32,19,14,4,31,30,11,7
