col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,division
,Judge Of The Municipal Court - Democrat,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,David H Conroy,Theresa Brunson,Joshua Roberts,Wendi Barish,Jennifer Schultz,Beth Grossman,James C Crumlish,Craig Levin,Nicola Serianni,Anthony Kyriakakis,Carmella Jacquinto,Tiffany Palmer,Vicki Markovitz,Leon Goodman,James F Berardinelli,Jon Marshall,Chris Hall,Cateria R Mccabe,Laurie Dow,Kay Yu,Kendra Mccrae,Terri M Booker,Janine D Momasso,Robert Trimble,Henry Mcgregor Sias,Sherman Toppin,Gregory Weyer,All
David H Conroy,74,0,692,506,364,376,601,396,397,485,312,233,211,187,199,175,183,123,90,105,80,83,49,68,70,51,36,All
Theresa Brunson,,24,206,306,441,318,128,247,214,102,141,187,191,152,94,118,76,102,143,111,132,108,85,41,31,35,17,All
Joshua Roberts,,,33,446,251,214,415,334,337,309,270,69,129,153,76,187,54,72,59,35,43,60,22,40,41,39,14,All
Wendi Barish,,,,7,287,321,431,228,382,324,265,172,192,159,77,71,81,77,99,65,80,82,57,28,19,29,10,All
Jennifer Schultz,,,,,31,283,136,304,245,78,109,149,186,108,70,199,63,104,114,90,88,70,67,35,33,26,7,All
Beth Grossman,,,,,,30,183,270,178,169,112,165,293,176,153,57,86,78,137,84,102,61,55,38,23,17,16,All
James C Crumlish,,,,,,,8,174,334,439,250,201,72,124,112,69,199,54,36,48,40,45,21,52,20,18,21,All
Craig Levin,,,,,,,,52,170,107,52,66,185,175,63,180,46,39,70,36,36,35,22,35,12,18,11,All
Nicola Serianni,,,,,,,,,5,252,212,106,104,72,82,78,29,76,71,60,60,31,55,19,23,26,9,All
Anthony Kyriakakis,,,,,,,,,,10,232,225,68,71,92,27,184,49,31,73,28,23,19,21,50,31,18,All
Carmella Jacquinto,,,,,,,,,,,5,72,76,61,42,17,27,57,61,51,59,65,41,24,34,23,6,All
Tiffany Palmer,,,,,,,,,,,,2,82,55,63,30,186,74,65,101,60,55,34,18,39,15,7,All
Vicki Markovitz,,,,,,,,,,,,,0,91,78,23,30,56,86,55,64,34,42,21,21,23,11,All
