col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,division
,City Commissioners - Democrat,,,,,,,,,,,,,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Omar Sabir,Lisa Deeley,Annette Thompson,Kahlil Williams,Marwan Kreidie,Dennis Lee,Jen Devor,Carla Cain,Robin Trent,Lewis Harris Jr,Luigi Borda,Warren Bloom,Moira Bohannon,Helen Gym,Isaiah Thomas,Allan Domb,Derek S Green,Katherine Gilmore Richardson,Willie Floyd Singletary,Adrián Rivera-reyes,Deja Lynn Alvarez,Fareed Abdullah,Billy Thompson,Ogbonna Paul Hagins,Sandra Dungee Glenn,Latrice Y Bryant,Eryn Santamoor,Asa Khalif,Beth Finn,Erika Almirón,Joseph A Diorio,Hena Veit,Fernando Treviño,Wayne Allen,Justin Diberardinis,Mark Ross,Ethelind Baylor,Vinny Black,Bobbie Curry,Wayne Edmund Dorsey,Edwin Santana,Devon Cade,Sherrie Cohen,All
Omar Sabir,37,283,134,68,57,11,2,7,5,3,4,3,0,456,378,309,311,249,164,129,139,75,59,81,64,48,33,48,17,22,17,14,20,17,19,13,18,17,9,10,14,15,0,All
Lisa Deeley,,9,32,13,19,6,1,4,0,0,4,0,0,302,208,187,195,169,73,66,66,12,28,44,30,18,24,13,12,22,15,13,18,6,15,4,10,10,6,3,3,4,0,All
Annette Thompson,,,55,51,7,6,10,6,7,4,2,5,2,169,174,135,128,89,41,30,33,67,76,14,43,26,27,26,15,22,16,18,10,14,12,22,8,12,10,11,10,8,0,All
Kahlil Williams,,,,6,7,5,5,6,3,3,1,1,1,97,104,100,97,50,27,25,22,44,31,7,24,22,16,32,6,14,8,7,2,10,9,5,10,8,8,8,5,4,0,All
Marwan Kreidie,,,,,10,5,0,0,1,0,2,1,1,64,16,14,15,9,62,79,62,4,8,44,4,9,13,5,6,2,6,8,10,5,1,1,0,0,3,1,1,0,0,All
Dennis Lee,,,,,,1,14,1,0,5,2,1,1,24,22,15,19,14,11,7,5,6,15,2,6,13,10,8,20,3,9,5,5,2,4,2,3,3,5,3,1,4,0,All
Jen Devor,,,,,,,1,1,1,0,1,0,0,12,18,8,4,6,3,9,3,11,5,1,2,3,0,2,19,4,2,2,2,2,1,4,3,0,1,0,0,0,0,All
Carla Cain,,,,,,,,1,2,0,0,1,0,19,13,9,9,8,2,3,6,4,4,2,7,5,3,6,6,6,4,3,0,2,0,2,3,2,1,2,0,0,0,All
Robin Trent,,,,,,,,,0,0,0,1,1,12,11,8,8,6,4,0,5,5,2,2,5,4,4,1,5,2,2,2,1,2,1,2,1,5,3,3,0,1,0,All
Lewis Harris Jr,,,,,,,,,,1,0,0,0,5,5,4,6,2,5,2,0,2,7,0,4,4,1,3,1,1,2,1,0,1,0,0,0,1,1,3,0,4,0,All
Luigi Borda,,,,,,,,,,,0,0,0,7,4,3,1,3,4,5,5,1,5,2,2,0,6,0,2,5,7,6,5,0,1,0,2,2,0,0,1,0,0,All
Warren Bloom,,,,,,,,,,,,0,0,6,8,7,7,3,1,2,2,1,0,1,3,3,2,2,1,2,0,0,1,1,0,1,2,1,0,1,1,1,0,All
Moira Bohannon,,,,,,,,,,,,,0,4,3,1,1,4,0,1,2,2,0,0,0,0,1,0,1,1,0,0,1,3,1,0,2,0,1,2,2,0,0,All
Helen Gym,,,,,,,,,,,,,,16,332,310,307,244,112,106,85,42,53,77,50,28,36,35,20,40,17,21,18,12,25,14,19,10,11,9,10,9,0,All
Isaiah Thomas,,,,,,,,,,,,,,,13,334,354,272,44,27,41,91,57,5,60,41,18,45,19,31,6,10,9,14,23,29,24,7,3,10,7,9,0,All
Allan Domb,,,,,,,,,,,,,,,,23,323,250,37,21,22,43,41,6,53,11,34,30,9,18,9,11,8,13,11,9,7,6,5,6,9,8,0,All
Derek S Green,,,,,,,,,,,,,,,,,3,264,25,14,26,40,48,4,62,25,23,34,9,24,5,4,4,9,22,4,13,9,5,7,6,4,0,All
Katherine Gilmore Richardson,,,,,,,,,,,,,,,,,,2,15,15,18,18,20,4,43,17,17,13,10,14,6,4,2,10,9,2,4,8,7,4,4,5,0,All
Willie Floyd Singletary,,,,,,,,,,,,,,,,,,,3,97,97,20,27,76,11,7,16,7,11,2,11,10,16,5,3,3,2,6,4,3,0,1,0,All
Adrián Rivera-reyes,,,,,,,,,,,,,,,,,,,,4,86,12,14,78,5,14,7,7,11,9,14,9,13,3,1,3,2,7,5,3,4,4,0,All
Deja Lynn Alvarez,,,,,,,,,,,,,,,,,,,,,4,14,19,76,6,11,13,9,7,4,11,12,15,4,4,2,2,5,4,3,4,6,0,All
Fareed Abdullah,,,,,,,,,,,,,,,,,,,,,,3,16,3,11,18,8,22,6,2,1,5,5,9,2,19,4,5,3,6,6,2,0,All
Billy Thompson,,,,,,,,,,,,,,,,,,,,,,,4,9,10,13,17,14,5,4,17,8,9,9,2,4,3,7,5,5,0,3,0,All
Ogbonna Paul Hagins,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,7,2,1,1,3,3,8,0,0,0,1,1,0,1,0,0,0,All
Sandra Dungee Glenn,,,,,,,,,,,,,,,,,,,,,,,,,1,18,6,11,5,17,4,4,0,6,4,2,6,7,5,1,1,3,0,All
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,17,7,6,10,5,3,4,1,6,5,6,4,4,7,8,0,All
Eryn Santamoor,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,5,9,10,9,6,6,1,0,2,7,3,4,0,0,All
Asa Khalif,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,6,1,3,2,3,4,3,4,6,2,3,3,2,0,All
Beth Finn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,5,4,4,3,0,1,3,4,2,0,1,0,0,All
Erika Almirón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,3,2,1,3,2,4,1,0,0,2,2,0,All
Joseph A Diorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,9,1,2,0,0,7,2,2,0,7,0,All
Hena Veit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,2,2,0,0,4,4,1,1,3,0,All
Fernando Treviño,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,1,1,0,2,1,0,All
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,4,5,5,1,0,0,All
Justin Diberardinis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,11,1,1,1,0,0,0,All
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,2,2,3,1,0,0,All
Ethelind Baylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,2,2,0,0,All
Vinny Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,3,1,2,0,All
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0,2,0,All
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,All
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,All
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,838,466,427,201,165,75,39,31,25,18,18,14,9,725,592,517,484,353,252,239,224,150,145,123,112,90,84,82,64,61,49,45,42,40,38,38,34,33,27,26,23,22,0,All
,City Commissioners - Democrat,,,,,,,,,,,,,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Omar Sabir,Lisa Deeley,Marwan Kreidie,Kahlil Williams,Annette Thompson,Carla Cain,Dennis Lee,Jen Devor,Lewis Harris Jr,Luigi Borda,Moira Bohannon,Robin Trent,Warren Bloom,Helen Gym,Willie Floyd Singletary,Allan Domb,Deja Lynn Alvarez,Adrián Rivera-reyes,Derek S Green,Isaiah Thomas,Fareed Abdullah,Billy Thompson,Latrice Y Bryant,Ogbonna Paul Hagins,Sandra Dungee Glenn,Vinny Black,Wayne Allen,Asa Khalif,Eryn Santamoor,Joseph A Diorio,Katherine Gilmore Richardson,Beth Finn,Bobbie Curry,Devon Cade,Edwin Santana,Erika Almirón,Ethelind Baylor,Fernando Treviño,Hena Veit,Justin Diberardinis,Mark Ross,Sherrie Cohen,Wayne Edmund Dorsey,1
Omar Sabir,1,7,2,3,0,1,0,0,0,0,0,0,0,12,8,5,5,4,5,5,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Lisa Deeley,,1,0,0,0,0,0,0,0,0,0,0,0,7,3,1,2,3,2,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Marwan Kreidie,,,1,1,0,0,0,0,0,0,0,0,0,1,1,2,3,2,1,0,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
