col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Superior Court - Democrat,,,All
,Helen Gym,Allan Domb,Eryn Santamoor,Justin Diberardinis,Derek S Green,Erika Almirón,Katherine Gilmore Richardson,Adrián Rivera-reyes,Isaiah Thomas,Deja Lynn Alvarez,Beth Finn,Fernando Treviño,Sandra Dungee Glenn,Ethelind Baylor,Ogbonna Paul Hagins,Willie Floyd Singletary,Asa Khalif,Hena Veit,Latrice Y Bryant,Joseph A Diorio,Fareed Abdullah,Billy Thompson,Mark Ross,Edwin Santana,Bobbie Curry,Wayne Allen,Vinny Black,Devon Cade,Wayne Edmund Dorsey,Sherrie Cohen,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,All
Helen Gym,39,"2,473","2,735","2,518","1,975","1,339",900,722,621,480,503,516,270,264,164,111,114,109,77,67,84,66,46,40,44,35,28,42,13,0,"3,464","1,470","1,137",All
Allan Domb,,130,"2,195","1,914","1,699",367,467,251,361,153,287,248,167,53,47,46,51,55,37,91,51,66,66,38,40,35,44,38,21,0,"2,662",781,716,All
Eryn Santamoor,,,11,"2,027","1,768",730,758,365,319,198,299,454,143,56,45,27,32,58,58,27,32,37,29,27,25,27,21,20,7,0,"2,685",908,733,All
Justin Diberardinis,,,,15,"1,678",684,339,374,548,190,214,203,99,187,40,15,34,25,32,52,33,25,34,21,19,15,21,17,3,0,"2,468",818,606,All
Derek S Green,,,,,3,387,390,193,389,156,120,105,79,56,27,18,43,12,21,19,34,33,12,18,12,15,8,10,10,0,"2,080",628,437,All
Erika Almirón,,,,,,1,444,287,331,199,215,271,127,196,32,5,49,39,46,7,18,11,7,21,16,7,3,6,4,0,"1,007",655,445,All
Katherine Gilmore Richardson,,,,,,,1,137,152,93,174,274,135,47,33,13,29,37,37,16,26,24,19,21,13,15,6,19,3,0,822,465,382,All
Adrián Rivera-reyes,,,,,,,,12,131,339,138,120,55,70,121,83,50,28,30,26,26,26,12,29,13,8,18,8,3,0,675,476,387,All
Isaiah Thomas,,,,,,,,,1,62,65,57,82,151,20,25,38,16,19,12,35,29,11,11,6,7,10,16,7,0,611,445,246,All
Deja Lynn Alvarez,,,,,,,,,,7,100,67,45,52,113,76,42,36,39,17,16,13,7,19,7,9,11,2,4,0,470,345,291,All
Beth Finn,,,,,,,,,,,4,44,116,41,24,12,26,58,44,26,24,30,28,11,23,15,17,6,5,0,455,331,318,All
Fernando Treviño,,,,,,,,,,,,0,19,21,18,7,15,11,12,15,27,16,8,20,9,5,10,5,3,0,485,232,194,All
Sandra Dungee Glenn,,,,,,,,,,,,,0,25,12,8,30,34,32,24,16,16,8,7,17,6,8,7,4,0,238,255,195,All
Ethelind Baylor,,,,,,,,,,,,,,0,11,0,12,14,16,4,9,8,1,5,2,6,1,5,3,0,183,203,114,All
Ogbonna Paul Hagins,,,,,,,,,,,,,,,5,64,11,9,6,4,9,6,0,7,5,1,4,1,3,0,139,119,109,All
Willie Floyd Singletary,,,,,,,,,,,,,,,,2,8,6,10,12,7,15,6,4,5,8,5,4,5,0,129,73,79,All
Asa Khalif,,,,,,,,,,,,,,,,,0,18,19,4,35,4,5,8,4,5,6,2,1,0,106,100,80,All
Hena Veit,,,,,,,,,,,,,,,,,,0,19,11,9,10,6,5,9,5,9,6,5,0,97,89,100,All
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,0,8,16,8,4,8,5,5,8,8,2,0,99,97,79,All
Joseph A Diorio,,,,,,,,,,,,,,,,,,,,1,6,19,10,6,11,7,16,11,4,0,115,51,66,All
Fareed Abdullah,,,,,,,,,,,,,,,,,,,,,1,11,6,9,6,6,7,10,3,0,102,82,59,All
Billy Thompson,,,,,,,,,,,,,,,,,,,,,,2,7,7,10,12,6,5,7,0,102,73,54,All
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,1,6,16,9,4,3,5,0,77,36,40,All
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,,,1,6,9,1,2,2,0,65,56,37,All
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,,,,0,8,4,4,2,0,60,38,40,All
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,3,7,0,61,36,32,All
Vinny Black,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,0,0,60,32,33,All
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,52,32,28,All
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,27,21,10,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,All
Daniel D Mccaffery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,"1,050",741,All
Amanda Green-hawkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,659,All
Beth Tarasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,All
Total,"4,700","3,516","3,429","3,129","2,488","1,550","1,225","1,050",943,720,711,680,428,339,234,186,183,170,164,154,151,146,105,100,90,79,78,73,37,0,"4,616","1,995","1,630",All
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Superior Court - Democrat,,,1
