col_1,col_2,col_3,col_4,col_5,division
,District Council 3rd District - Democrat,,Judge Of The Municipal Court - Democrat,,All
,Jamie Gauthier,Jannie L Blackwell,David H Conroy,Theresa Brunson,All
Jamie Gauthier,754,0,"1,579","1,144",All
Jannie L Blackwell,,487,622,553,All
David H Conroy,,,83,0,All
Theresa Brunson,,,,67,All
Total,"3,477","1,662","2,284","1,764",All
,District Council 3rd District - Democrat,,Judge Of The Municipal Court - Democrat,,1
,Jamie Gauthier,Jannie L Blackwell,David H Conroy,Theresa Brunson,1
Jamie Gauthier,36,0,161,77,1
Jannie L Blackwell,,7,23,9,1
David H Conroy,,,7,0,1
Theresa Brunson,,,,8,1
Total,274,39,191,94,1
,District Council 3rd District - Democrat,,Judge Of The Municipal Court - Democrat,,2
,Jamie Gauthier,Jannie L Blackwell,Theresa Brunson,David H Conroy,2
Jamie Gauthier,52,0,65,75,2
Jannie L Blackwell,,18,28,16,2
Theresa Brunson,,,2,0,2
David H Conroy,,,,2,2
Total,192,62,95,93,2
,District Council 3rd District - Democrat,,Judge Of The Municipal Court - Democrat,,3
,Jamie Gauthier,Jannie L Blackwell,Theresa Brunson,David H Conroy,3
Jamie Gauthier,48,0,66,53,3
Jannie L Blackwell,,18,29,35,3
Theresa Brunson,,,2,0,3
David H Conroy,,,,4,3
Total,167,82,97,92,3
,District Council 3rd District - Democrat,,Judge Of The Municipal Court - Democrat,,4
,Jamie Gauthier,Jannie L Blackwell,Theresa Brunson,David H Conroy,4
Jamie Gauthier,21,0,35,21,4
Jannie L Blackwell,,28,13,16,4
Theresa Brunson,,,4,0,4
David H Conroy,,,,3,4
Total,77,57,52,40,4
,District Council 3rd District - Democrat,,Judge Of The Municipal Court - Democrat,,5
,Jannie L Blackwell,Jamie Gauthier,David H Conroy,Theresa Brunson,5
Jannie L Blackwell,32,0,40,26,5
Jamie Gauthier,,15,23,27,5
David H Conroy,,,3,0,5
Theresa Brunson,,,,2,5
Total,98,65,66,55,5
,District Council 3rd District - Democrat,,Judge Of The Municipal Court - Democrat,,6
,Jannie L Blackwell,Jamie Gauthier,David H Conroy,Theresa Brunson,6
Jannie L Blackwell,32,0,36,24,6
Jamie Gauthier,,17,21,26,6
David H Conroy,,,11,0,6
Theresa Brunson,,,,1,6
Total,92,64,68,51,6
,District Council 3rd District - Democrat,,Judge Of The Municipal Court - Democrat,,7
,Jamie Gauthier,Jannie L Blackwell,David H Conroy,Theresa Brunson,7
Jamie Gauthier,26,0,68,59,7
Jannie L Blackwell,,10,24,26,7
David H Conroy,,,5,0,7
Theresa Brunson,,,,3,7
Total,153,60,97,88,7
,District Council 3rd District - Democrat,,Judge Of The Municipal Court - Democrat,,8
,Jamie Gauthier,Jannie L Blackwell,David H Conroy,Theresa Brunson,8
Jamie Gauthier,53,0,126,66,8
Jannie L Blackwell,,7,19,18,8
David H Conroy,,,3,0,8
Theresa Brunson,,,,2,8
Total,245,44,148,86,8
,District Council 3rd District - Democrat,,Judge Of The Municipal Court - Democrat,,9
,Jamie Gauthier,Jannie L Blackwell,Theresa Brunson,David H Conroy,9
Jamie Gauthier,45,0,63,71,9
Jannie L Blackwell,,8,31,24,9
Theresa Brunson,,,4,0,9
David H Conroy,,,,1,9
Total,179,63,98,96,9
,District Council 3rd District - Democrat,,Judge Of The Municipal Court - Democrat,,10
,Jamie Gauthier,Jannie L Blackwell,Theresa Brunson,David H Conroy,10
Jamie Gauthier,31,0,47,58,10
Jannie L Blackwell,,22,34,24,10
Theresa Brunson,,,8,0,10
David H Conroy,,,,6,10
Total,136,80,89,88,10
,District Council 3rd District - Democrat,,Judge Of The Municipal Court - Democrat,,11
,Jannie L Blackwell,Jamie Gauthier,David H Conroy,Theresa Brunson,11
Jannie L Blackwell,35,0,48,23,11
Jamie Gauthier,,23,37,36,11
David H Conroy,,,4,0,11
Theresa Brunson,,,,3,11
Total,106,96,89,62,11
,District Council 3rd District - Democrat,,Judge Of The Municipal Court - Democrat,,12
,Jannie L Blackwell,Jamie Gauthier,Theresa Brunson,David H Conroy,12
Jannie L Blackwell,31,0,39,28,12
Jamie Gauthier,,24,32,17,12
Theresa Brunson,,,3,0,12
David H Conroy,,,,1,12
Total,98,73,74,46,12
,District Council 3rd District - Democrat,,Judge Of The Municipal Court - Democrat,,13
,Jannie L Blackwell,Jamie Gauthier,Theresa Brunson,David H Conroy,13
Jannie L Blackwell,41,0,38,33,13
Jamie Gauthier,,20,43,15,13
Theresa Brunson,,,1,0,13
David H Conroy,,,,1,13
Total,112,78,82,49,13
,District Council 3rd District - Democrat,,Judge Of The Municipal Court - Democrat,,14
,Jannie L Blackwell,Jamie Gauthier,Theresa Brunson,David H Conroy,14
Jannie L Blackwell,22,0,27,23,14
Jamie Gauthier,,11,17,11,14
Theresa Brunson,,,3,0,14
David H Conroy,,,,2,14
Total,72,39,47,36,14
,District Council 3rd District - Democrat,,Judge Of The Municipal Court - Democrat,,15
,Jannie L Blackwell,Jamie Gauthier,Theresa Brunson,David H Conroy,15
Jannie L Blackwell,39,0,26,24,15
Jamie Gauthier,,15,31,11,15
Theresa Brunson,,,3,0,15
David H Conroy,,,,1,15
Total,89,57,60,36,15
,District Council 3rd District - Democrat,,Judge Of The Municipal Court - Democrat,,16
,Jamie Gauthier,Jannie L Blackwell,David H Conroy,Theresa Brunson,16
Jamie Gauthier,61,0,139,56,16
Jannie L Blackwell,,10,21,14,16
David H Conroy,,,3,0,16
Theresa Brunson,,,,3,16
