col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,District Council 2nd District - Democrat,,All
,Helen Gym,Allan Domb,Eryn Santamoor,Justin Diberardinis,Derek S Green,Erika Almirón,Katherine Gilmore Richardson,Adrián Rivera-reyes,Isaiah Thomas,Deja Lynn Alvarez,Beth Finn,Fernando Treviño,Sandra Dungee Glenn,Ethelind Baylor,Ogbonna Paul Hagins,Latrice Y Bryant,Asa Khalif,Hena Veit,Fareed Abdullah,Joseph A Diorio,Billy Thompson,Willie Floyd Singletary,Mark Ross,Wayne Allen,Edwin Santana,Bobbie Curry,Vinny Black,Devon Cade,Wayne Edmund Dorsey,Sherrie Cohen,Lauren Vidas,Kenyatta Johnson,All
Helen Gym,13,"1,128","1,275","1,231",881,646,392,316,283,227,233,249,117,136,68,36,51,49,39,21,21,31,19,19,17,19,13,15,9,0,"1,061",924,All
Allan Domb,,30,"1,033",935,761,168,204,114,167,71,128,127,71,21,26,16,26,22,25,35,23,13,30,13,10,17,18,14,12,0,725,712,All
Eryn Santamoor,,,1,992,816,348,359,168,157,94,151,222,66,27,20,27,12,27,19,8,16,9,14,11,9,10,8,9,5,0,789,710,All
Justin Diberardinis,,,,4,789,338,158,177,267,96,117,108,41,100,13,17,19,12,14,19,12,4,12,7,10,9,11,6,0,0,757,657,All
Derek S Green,,,,,3,179,149,83,169,74,56,48,26,29,11,8,21,5,10,8,10,3,3,6,5,2,2,1,5,0,472,566,All
Erika Almirón,,,,,,0,214,141,168,106,108,131,64,100,16,20,22,14,9,3,6,0,4,6,10,7,2,2,3,0,380,302,All
Katherine Gilmore Richardson,,,,,,,1,62,65,45,77,130,60,18,17,19,9,14,13,9,12,6,10,10,8,7,0,5,2,0,304,207,All
Adrián Rivera-reyes,,,,,,,,3,61,162,65,46,25,44,48,11,20,14,8,9,9,27,2,1,13,5,9,1,0,0,310,141,All
Isaiah Thomas,,,,,,,,,0,25,35,26,37,72,9,8,15,4,13,9,11,9,8,2,3,4,3,4,4,0,212,183,All
Deja Lynn Alvarez,,,,,,,,,,3,53,29,27,30,44,21,18,16,11,8,4,23,1,6,5,2,3,1,2,0,212,113,All
Beth Finn,,,,,,,,,,,1,22,58,24,8,25,9,31,12,8,11,1,10,6,1,8,7,3,3,0,227,100,All
Fernando Treviño,,,,,,,,,,,,0,8,10,11,3,6,6,13,5,7,3,4,0,7,4,4,1,1,0,185,126,All
Sandra Dungee Glenn,,,,,,,,,,,,,0,12,10,16,15,17,10,14,3,2,2,4,1,8,3,1,2,0,109,68,All
Ethelind Baylor,,,,,,,,,,,,,,0,8,11,7,4,5,3,2,0,0,5,3,0,0,2,1,0,95,61,All
Ogbonna Paul Hagins,,,,,,,,,,,,,,,2,4,3,3,4,4,6,18,0,1,3,2,2,1,0,0,62,35,All
Latrice Y Bryant,,,,,,,,,,,,,,,,0,6,10,8,5,4,4,3,3,3,0,5,4,2,0,39,36,All
Asa Khalif,,,,,,,,,,,,,,,,,0,10,14,1,0,0,1,2,4,2,2,0,1,0,40,34,All
Hena Veit,,,,,,,,,,,,,,,,,,0,6,6,5,0,1,4,3,4,4,3,3,0,52,19,All
Fareed Abdullah,,,,,,,,,,,,,,,,,,,0,4,2,2,1,4,1,3,3,4,2,0,29,36,All
Joseph A Diorio,,,,,,,,,,,,,,,,,,,,0,8,5,3,4,1,3,5,5,4,0,29,21,All
Billy Thompson,,,,,,,,,,,,,,,,,,,,,1,5,3,4,2,2,1,2,3,0,28,23,All
Willie Floyd Singletary,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,2,1,2,0,28,23,All
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,0,5,2,4,0,0,4,0,22,14,All
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,,1,4,3,3,1,3,0,19,16,All
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,1,0,22,12,All
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,0,22,12,All
Vinny Black,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,0,0,14,12,All
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,11,10,All
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,6,13,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,All
Lauren Vidas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,0,All
Kenyatta Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,All
Total,"2,146","1,611","1,611","1,539","1,116",750,551,468,442,340,339,324,194,171,101,79,77,76,67,63,55,52,41,39,36,34,31,24,20,0,"1,497","1,228",All
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,District Council 2nd District - Democrat,,1
,Helen Gym,Eryn Santamoor,Justin Diberardinis,Allan Domb,Derek S Green,Erika Almirón,Katherine Gilmore Richardson,Adrián Rivera-reyes,Beth Finn,Sandra Dungee Glenn,Isaiah Thomas,Ethelind Baylor,Deja Lynn Alvarez,Fernando Treviño,Hena Veit,Latrice Y Bryant,Asa Khalif,Fareed Abdullah,Ogbonna Paul Hagins,Billy Thompson,Edwin Santana,Joseph A Diorio,Vinny Black,Bobbie Curry,Devon Cade,Willie Floyd Singletary,Mark Ross,Wayne Edmund Dorsey,Sherrie Cohen,Wayne Allen,Lauren Vidas,Kenyatta Johnson,1
Helen Gym,0,121,107,93,90,46,41,25,20,15,14,16,8,9,4,3,3,3,1,1,0,0,2,0,0,2,0,0,0,0,112,51,1
Eryn Santamoor,,0,98,93,84,22,39,11,15,13,6,1,5,9,3,2,2,3,3,2,1,1,2,1,2,1,0,0,0,0,98,40,1
Justin Diberardinis,,,0,86,74,23,16,16,7,3,12,10,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,76,41,1
Allan Domb,,,,1,72,8,18,6,5,5,4,1,1,4,2,0,2,1,3,1,1,0,1,1,0,0,0,1,0,0,74,37,1
Derek S Green,,,,,0,16,21,9,4,5,6,5,2,3,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,67,35,1
Erika Almirón,,,,,,0,12,18,5,8,11,13,4,6,1,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,30,20,1
Katherine Gilmore Richardson,,,,,,,0,1,7,7,5,3,0,6,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,40,6,1
Adrián Rivera-reyes,,,,,,,,0,5,0,3,8,5,2,0,1,1,0,2,1,2,0,1,0,1,2,0,0,0,0,22,12,1
Beth Finn,,,,,,,,,0,9,1,1,3,1,3,2,0,1,0,1,0,0,1,0,1,0,0,0,0,0,18,5,1
Sandra Dungee Glenn,,,,,,,,,,0,1,1,4,0,4,4,1,2,1,1,0,1,0,0,0,0,0,0,0,0,16,7,1
Isaiah Thomas,,,,,,,,,,,0,11,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,13,6,1
Ethelind Baylor,,,,,,,,,,,,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,8,1
Deja Lynn Alvarez,,,,,,,,,,,,,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,12,0,1
Fernando Treviño,,,,,,,,,,,,,,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,7,5,1
Hena Veit,,,,,,,,,,,,,,,0,3,2,1,0,0,1,1,1,1,0,0,0,1,0,0,6,2,1
Latrice Y Bryant,,,,,,,,,,,,,,,,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,5,1,1
Asa Khalif,,,,,,,,,,,,,,,,,0,1,0,0,1,0,1,0,0,0,0,0,0,0,4,1,1
Fareed Abdullah,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,1
Ogbonna Paul Hagins,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,0,0,0,0,0,3,2,1
Billy Thompson,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,3,0,1
Edwin Santana,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,1,0,0,2,1,1
Joseph A Diorio,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,1,2,1
Vinny Black,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,1,1,1
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,0,0,1,1,1
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,1
Willie Floyd Singletary,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,0,1
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
Lauren Vidas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,1
Kenyatta Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1
Total,169,145,123,118,106,52,47,35,24,23,22,19,13,12,8,6,5,5,5,3,3,3,3,2,2,2,1,1,0,0,144,68,1
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,District Council 2nd District - Democrat,,2
,Helen Gym,Eryn Santamoor,Justin Diberardinis,Allan Domb,Derek S Green,Erika Almirón,Katherine Gilmore Richardson,Isaiah Thomas,Adrián Rivera-reyes,Deja Lynn Alvarez,Beth Finn,Fernando Treviño,Ethelind Baylor,Sandra Dungee Glenn,Ogbonna Paul Hagins,Asa Khalif,Fareed Abdullah,Latrice Y Bryant,Vinny Black,Willie Floyd Singletary,Bobbie Curry,Hena Veit,Joseph A Diorio,Mark Ross,Billy Thompson,Devon Cade,Edwin Santana,Wayne Allen,Sherrie Cohen,Wayne Edmund Dorsey,Kenyatta Johnson,Lauren Vidas,2
Helen Gym,2,82,80,66,62,36,20,13,20,16,6,12,11,2,6,3,1,0,1,2,1,0,1,1,0,0,0,0,0,0,71,53,2
Eryn Santamoor,,0,82,69,71,23,26,12,9,2,9,9,3,2,0,0,0,3,0,0,0,2,0,1,1,0,1,0,0,0,63,49,2
Justin Diberardinis,,,1,54,68,21,10,25,12,6,8,3,10,0,2,2,3,3,3,0,1,0,0,1,1,1,1,1,0,0,60,49,2
Allan Domb,,,,0,57,8,14,8,5,2,4,5,1,0,1,2,1,0,1,0,1,1,2,1,0,1,0,0,0,0,56,36,2
Derek S Green,,,,,0,11,16,14,8,6,2,3,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,51,38,2
Erika Almirón,,,,,,0,13,7,4,7,8,8,7,4,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,16,25,2
Katherine Gilmore Richardson,,,,,,,0,6,5,1,3,8,1,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,19,2
Isaiah Thomas,,,,,,,,0,1,0,4,2,6,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,12,16,2
Adrián Rivera-reyes,,,,,,,,,0,10,1,2,2,1,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,10,14,2
Deja Lynn Alvarez,,,,,,,,,,1,3,1,1,2,4,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,9,9,2
Beth Finn,,,,,,,,,,,0,0,3,4,0,0,0,2,0,0,1,2,0,1,1,0,0,0,0,0,8,9,2
Fernando Treviño,,,,,,,,,,,,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,2
Ethelind Baylor,,,,,,,,,,,,,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,7,7,2
Sandra Dungee Glenn,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2
Ogbonna Paul Hagins,,,,,,,,,,,,,,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,3,2
Asa Khalif,,,,,,,,,,,,,,,,0,3,0,1,0,1,0,0,0,0,0,0,1,0,0,2,3,2
