col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,division
,City Commissioners - Democrat,,,,,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Omar Sabir,Lisa Deeley,Kahlil Williams,Marwan Kreidie,Dennis Lee,Annette Thompson,Jen Devor,Luigi Borda,Carla Cain,Robin Trent,Moira Bohannon,Lewis Harris Jr,Warren Bloom,Joshua Roberts,Jennifer Schultz,Cateria R Mccabe,Tiffany Palmer,Craig Levin,Carmella Jacquinto,Sherman Toppin,Anthony Kyriakakis,Henry Mcgregor Sias,Wendi Barish,Leon Goodman,Jon Marshall,Terri M Booker,Kendra Mccrae,Nicola Serianni,Janine D Momasso,James C Crumlish,Kay Yu,Laurie Dow,Beth Grossman,Chris Hall,James F Berardinelli,Robert Trimble,Vicki Markovitz,Gregory Weyer,All
Omar Sabir,87,578,173,126,105,56,11,7,17,17,6,13,16,885,388,549,227,352,452,480,390,366,147,265,257,234,199,125,177,186,84,132,104,85,97,51,45,28,All
Lisa Deeley,,25,29,57,30,31,9,8,11,6,5,2,1,617,240,376,97,188,344,355,315,284,100,128,121,103,81,82,61,119,40,79,59,45,31,21,31,16,All
Kahlil Williams,,,32,33,22,53,94,12,13,18,16,16,13,113,178,179,315,75,100,74,124,122,123,108,58,136,152,107,92,79,151,78,73,94,58,36,31,24,All
Marwan Kreidie,,,,13,13,11,11,21,8,5,2,2,2,160,247,59,91,146,23,28,46,42,67,36,127,24,38,82,39,66,42,26,30,35,18,21,10,10,All
Dennis Lee,,,,,13,8,2,16,14,4,3,7,2,99,50,89,35,77,61,80,38,22,50,79,38,81,48,29,78,44,32,68,46,20,44,22,11,10,All
Annette Thompson,,,,,,2,2,2,10,10,10,5,4,46,83,54,89,55,49,29,31,21,69,58,27,61,70,44,40,30,24,46,56,35,12,20,25,12,All
Jen Devor,,,,,,,0,33,9,2,4,3,1,7,109,80,155,7,13,4,61,74,84,15,8,5,37,76,36,33,101,16,13,32,23,2,7,7,All
Luigi Borda,,,,,,,,3,7,2,2,0,2,21,55,54,78,13,15,10,32,40,43,20,7,8,18,58,33,39,36,7,7,24,8,7,6,10,All
Carla Cain,,,,,,,,,0,2,9,1,1,13,39,29,41,29,32,11,14,8,34,17,10,23,32,29,39,28,26,34,24,14,17,3,18,5,All
Robin Trent,,,,,,,,,,1,5,1,0,15,28,24,44,13,15,9,16,12,21,25,13,22,28,27,20,11,17,8,10,12,4,5,8,6,All
Moira Bohannon,,,,,,,,,,,0,2,0,6,33,27,43,8,17,3,13,13,35,3,5,8,18,32,22,10,17,9,9,9,6,1,5,3,All
Lewis Harris Jr,,,,,,,,,,,,1,0,17,10,12,18,12,4,9,11,4,14,18,10,25,17,4,9,6,12,14,10,15,6,9,4,6,All
Warren Bloom,,,,,,,,,,,,,6,12,12,8,13,14,7,11,6,5,8,15,11,16,12,5,6,7,1,5,8,9,6,7,4,1,All
Joshua Roberts,,,,,,,,,,,,,,38,235,410,81,251,382,443,350,334,84,153,220,163,87,86,44,160,34,84,64,47,28,36,25,17,All
Jennifer Schultz,,,,,,,,,,,,,,,31,234,304,243,88,49,81,104,226,86,212,76,115,266,136,99,132,68,91,55,45,27,45,16,All
Cateria R Mccabe,,,,,,,,,,,,,,,,5,275,85,333,428,371,387,164,115,47,124,131,192,219,44,114,89,45,34,71,17,25,26,All
Tiffany Palmer,,,,,,,,,,,,,,,,,7,70,106,50,184,167,248,131,40,129,189,226,180,121,202,81,90,142,73,27,41,35,All
Craig Levin,,,,,,,,,,,,,,,,,,25,64,77,26,24,63,91,198,80,59,81,50,95,22,104,53,41,37,31,22,18,All
Carmella Jacquinto,,,,,,,,,,,,,,,,,,,14,320,309,291,70,119,24,107,108,39,66,98,51,68,43,29,37,20,25,14,All
Sherman Toppin,,,,,,,,,,,,,,,,,,,,4,343,330,36,106,36,114,70,28,54,51,30,70,20,26,28,22,17,10,All
Anthony Kyriakakis,,,,,,,,,,,,,,,,,,,,,0,371,59,60,24,30,72,55,38,105,92,24,27,113,33,12,10,13,All
Henry Mcgregor Sias,,,,,,,,,,,,,,,,,,,,,,4,45,36,18,15,36,78,39,32,108,24,17,28,35,11,13,18,All
Wendi Barish,,,,,,,,,,,,,,,,,,,,,,,1,61,48,69,89,192,164,80,78,62,90,49,43,19,29,20,All
Leon Goodman,,,,,,,,,,,,,,,,,,,,,,,,3,62,164,124,56,91,132,47,69,59,59,50,42,26,25,All
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,,,16,39,48,68,13,79,14,25,42,35,12,24,14,9,All
Terri M Booker,,,,,,,,,,,,,,,,,,,,,,,,,,10,133,35,69,90,49,101,48,57,31,41,24,12,All
Kendra Mccrae,,,,,,,,,,,,,,,,,,,,,,,,,,,7,56,75,57,77,65,73,70,35,26,25,14,All
Nicola Serianni,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,136,69,82,42,36,28,21,17,30,24,All
Janine D Momasso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,38,55,60,61,15,70,9,21,19,All
James C Crumlish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,30,45,32,108,34,21,14,3,All
Kay Yu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,29,37,44,46,10,17,20,All
Laurie Dow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,47,39,39,23,14,16,All
Beth Grossman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,41,33,18,38,12,All
Chris Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,20,25,11,11,All
